A0_1;C9_0;ccaa_etapa;pernoc_etapa
20200800009743;01;13;15
20200800009743;02;10;15
20200800023219;01;04;9
20200800023220;01;04;31
20200800023221;01;04;9
20200800036372;01;01;178
20200800036372;02;01;2
20200900011750;01;14;11
20200900011751;01;08;3
20200900011751;02;01;4
20200900017153;01;09;7
20200900021298;01;10;30
20200900021299;01;09;45
20210700037020;01;13;5
20210800007443;01;04;7
20210800007775;01;09;177
20210800007775;02;13;3
20210800007775;03;10;1
20210800034074;01;13;21
20210800034074;02;12;3
20210900003112;01;13;1
20210900007642;01;09;60
20210900011915;01;09;24
20210900012744;01;04;7
20210900021527;01;04;7
20210900021528;01;04;7
20210900021529;01;04;7
20210900021561;01;04;14
20210900021562;01;04;10
20210900021564;01;04;7
20210900023993;01;16;12
20210900045286;01;10;5
20210900046827;01;05;60
20220700000395;01;04;7
20220700000396;01;04;6
20220700000397;01;04;7
20220700000398;01;04;7
20220700000419;01;04;7
20220700000420;01;04;7
20220700000421;01;04;7
20220700000422;01;04;7
20220700001477;01;13;2
20220700001477;02;10;5
20220700001593;01;13;6
20220700001593;02;01;8
20220700002799;01;04;7
20220700002846;01;04;9
20220700004527;01;04;3
20220700004529;01;04;5
20220700009886;01;09;1
20220700010250;01;01;3
20220700017254;01;04;3
20220700022662;01;13;10
20220700022829;01;04;14
20220700022830;01;04;7
20220700027008;01;13;7
20220700027994;01;13;1
20220700028172;01;04;7
20220700028174;01;04;7
20220700028315;01;10;3
20220700028316;01;10;7
20220700030832;01;09;14
20220700034608;01;13;14
20220700034747;01;13;6
20220700035151;01;09;16
20220700037700;01;04;7
20220700037965;01;10;3
20220700037965;02;13;5
20220700037967;01;10;6
20220700037967;02;09;2
20220700037968;01;10;8
20220700038019;01;10;23
20220700041697;01;04;7
20220700042203;01;14;8
20220700044696;01;16;1
20220700048216;01;04;5
20220700048242;01;04;7
20220700048477;01;10;7
20220800000001;01;16;1
20220800000001;02;09;7
20220800000001;03;16;7
20220800000002;01;16;30
20220800000389;01;13;4
20220800000389;02;03;10
20220800001036;01;07;1
20220800001048;01;07;3
20220800001050;01;12;1
20220800001050;02;12;1
20220800001050;03;12;1
20220800001050;04;12;1
20220800001050;05;12;1
20220800001072;01;12;40
20220800001076;01;12;7
20220800001538;01;04;6
20220800001541;01;04;7
20220800001573;01;04;14
20220800001574;01;04;5
20220800001575;01;04;7
20220800001576;01;04;5
20220800001577;01;04;7
20220800001578;01;04;7
20220800001840;01;16;1
20220800002446;01;09;3
20220800002449;01;09;2
20220800002449;02;09;9
20220800002459;01;04;4
20220800002459;02;09;1
20220800002466;01;09;5
20220800002472;01;09;6
20220800002477;01;09;3
20220800002496;01;10;3
20220800002496;02;13;3
20220800002509;01;13;2
20220800002509;02;09;2
20220800002522;01;09;1
20220800002522;02;09;6
20220800002522;03;09;1
20220800002533;01;09;63
20220800002543;01;09;1
20220800002543;02;16;3
20220800002550;01;13;3
20220800002550;02;09;1
20220800003436;01;16;1
20220800003436;02;16;1
20220800003900;01;10;17
20220800003912;01;09;21
20220800003912;02;09;4
20220800003917;01;09;5
20220800003921;01;10;60
20220800003934;01;09;5
20220800003939;01;09;30
20220800003953;01;09;3
20220800003965;01;09;6
20220800003970;01;15;7
20220800003970;02;07;9
20220800003970;03;12;6
20220800003970;04;09;1
20220800003979;01;09;2
20220800003983;01;09;1
20220800003987;01;09;6
20220800003994;01;09;4
20220800004006;01;09;1
20220800004006;02;13;2
20220800004012;01;09;4
20220800004530;01;16;1
20220800004539;01;07;21
20220800005099;01;09;1
20220800005099;02;02;3
20220800005114;01;12;2
20220800005648;01;06;14
20220800005652;01;03;7
20220800006414;01;09;2
20220800006421;01;09;4
20220800006421;02;09;5
20220800006428;01;13;4
20220800006428;02;09;4
20220800006442;01;09;14
20220800006448;01;09;5
20220800006449;01;09;4
20220800006462;01;09;2
20220800006467;01;10;5
20220800006467;02;09;2
20220800006475;01;12;4
20220800006475;02;13;1
20220800006483;01;09;2
20220800006490;01;09;5
20220800006499;01;09;3
20220800006516;01;10;120
20220800006518;01;09;10
20220800007101;01;10;7
20220800007102;01;10;6
20220800007103;01;10;6
20220800007104;01;10;10
20220800007105;01;10;7
20220800007106;01;10;7
20220800007107;01;10;10
20220800007347;01;01;10
20220800007651;01;01;1
20220800007658;01;10;4
20220800007660;01;10;1
20220800008197;01;13;3
20220800008197;02;09;7
20220800008204;01;09;2
20220800008209;01;09;10
20220800008223;01;09;2
20220800008227;01;09;3
20220800008229;01;09;7
20220800008240;01;09;21
20220800008240;02;01;3
20220800008244;01;09;3
20220800008249;01;09;3
20220800008258;01;13;5
20220800008258;02;09;1
20220800008267;01;09;4
20220800008271;01;09;6
20220800008279;01;09;4
20220800008286;01;09;6
20220800008286;02;13;2
20220800008302;01;13;7
20220800008302;02;09;5
20220800009707;01;10;10
20220800009712;01;10;15
20220800009713;01;10;2
20220800009714;01;16;1
20220800009714;02;12;9
20220800009714;03;10;7
20220800009716;01;10;21
20220800009717;01;10;3
20220800009720;01;10;21
20220800010237;01;13;2
20220800010237;02;09;3
20220800010237;03;09;2
20220800010237;04;09;1
20220800010241;01;09;2
20220800010253;01;09;1
20220800010260;01;09;1
20220800010260;02;10;17
20220800010268;01;13;2
20220800010268;02;09;1
20220800010280;01;09;3
20220800010287;01;09;7
20220800010297;01;09;7
20220800010301;01;09;4
20220800010308;01;13;5
20220800010308;02;09;4
20220800010313;01;09;7
20220800010316;01;09;20
20220800010332;01;09;2
20220800010332;02;09;21
20220800010352;01;10;7
20220800010354;01;10;2
20220800010380;01;10;35
20220800010382;01;10;3
20220800010383;01;10;10
20220800010437;01;09;4
20220800010439;01;09;5
20220800010440;01;09;4
20220800010441;01;09;1
20220800010443;01;09;6
20220800011612;01;16;1
20220800012770;01;04;10
20220800013306;01;10;30
20220800013307;01;08;7
20220800013308;01;14;7
20220800013310;01;10;6
20220800013311;01;10;7
20220800013312;01;10;7
20220800013313;01;10;3
20220800013314;01;10;4
20220800013315;01;10;7
20220800013316;01;10;3
20220800013317;01;09;7
20220800013317;02;10;14
20220800013318;01;10;7
20220800013319;01;10;6
20220800013320;01;10;10
20220800013321;01;10;7
20220800013322;01;10;7
20220800013324;01;10;4
20220800013325;01;10;6
20220800013326;01;10;7
20220800013327;01;10;28
20220800013328;01;10;1
20220800013329;01;10;14
20220800013330;01;10;6
20220800013331;01;09;4
20220800014510;01;09;2
20220800014522;01;12;36
20220800014570;01;13;5
20220800014685;01;10;60
20220800014741;01;04;5
20220800014743;01;04;5
20220800014744;01;04;8
20220800014746;01;04;7
20220800014953;01;04;7
20220800014955;01;04;11
20220800014956;01;04;10
20220800015114;01;10;7
20220800015291;01;07;1
20220800015294;01;06;7
20220800015387;01;10;5
20220800015387;02;09;5
20220800015389;01;09;5
20220800015389;02;10;5
20220800015390;01;09;5
20220800015390;02;10;5
20220800015697;01;09;30
20220800015707;01;10;12
20220800015716;01;09;3
20220800015725;01;09;1
20220800015731;01;09;3
20220800015739;01;09;2
20220800015739;02;10;3
20220800015748;01;09;4
20220800015750;01;09;7
20220800015756;01;09;2
20220800015767;01;09;4
20220800015772;01;09;3
20220800015775;01;09;1
20220800015775;02;01;12
20220800015775;03;09;1
20220800015782;01;13;6
20220800015782;02;09;10
20220800015785;01;09;15
20220800015797;01;09;3
20220800015801;01;13;2
20220800015801;02;09;2
20220800015809;01;09;2
20220800016797;01;10;2
20220800016798;01;10;11
20220800016799;01;10;7
20220800016800;01;10;6
20220800016801;01;10;60
20220800016802;01;10;6
20220800016804;01;01;10
20220800016805;01;10;10
20220800016806;01;10;4
20220800016807;01;10;11
20220800017676;01;09;10
20220800018418;01;04;8
20220800019159;01;01;7
20220800019162;01;10;6
20220800019207;01;10;7
20220800019207;02;09;7
20220800019208;01;10;14
20220800019257;01;09;3
20220800019257;02;01;2
20220800019258;01;09;7
20220800019348;01;09;7
20220800019349;01;09;6
20220800019350;01;09;5
20220800020088;01;04;10
20220800020089;01;04;2
20220800020280;01;04;7
20220800020805;01;09;8
20220800021342;01;01;1
20220800021345;01;02;1
20220800021345;02;10;1
20220800021345;03;14;1
20220800021346;01;09;5
20220800021346;02;14;5
20220800021347;01;09;8
20220800021350;01;16;2
20220800021350;02;13;1
20220800021350;03;01;1
20220800021575;01;16;1
20220800021576;01;12;7
20220800021820;01;09;7
20220800022511;01;12;14
20220800022511;02;09;14
20220800022512;01;09;7
