mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
092022;2;20200800009743;2;2;15;13;30;3;3;6;3944.8844794;483.50921248
092022;2;20200800023219;2;2;06;04;9;1;1;1;1522.7493596;277.78412125
092022;2;20200800023220;2;2;06;04;31;3;1;6;2241.9975516;194.21078108
092022;2;20200800023221;2;2;06;04;9;1;1;1;1522.7493596;370.37882834
092022;2;20200800036372;2;2;15;01;180;2;3;6;26856.265773;366.03535058
092022;2;20200900011750;2;2;04;14;11;3;1;6;1231.0564702;231.65539954
092022;2;20200900011751;2;2;04;01;7;3;3;6;704.73467717;95.955343252
092022;2;20200900017153;2;2;15;09;7;1;1;6;3113.3198043;308.47577478
092022;2;20200900021298;2;2;15;10;30;1;2;6;11102.877987;3.3847887869
092022;2;20200900021299;2;2;15;09;45;3;1;6;4271.5803692;166.17067093
092022;2;20210700037020;2;2;15;13;5;1;3;6;3428.0165114;255.42840209
092022;2;20210800007443;2;2;06;04;7;1;1;6;1237.2227862;442.00166278
092022;2;20210800007775;2;2;15;09;181;2;3;6;15265.660912;299.02590504
092022;2;20210800034074;2;2;15;13;24;3;3;6;5274.1152758;226.60464253
092022;2;20210900003112;8;2;12;13;1;1;2;6;978.3199449;857.94746621
092022;2;20210900007642;2;2;15;09;60;3;3;6;4627.163757;84.771908672
092022;2;20210900011915;2;2;15;09;24;3;2;6;3604.8363802;153.77255892
092022;2;20210900012744;2;2;06;04;7;1;1;1;1367.8299255;247.19147536
092022;2;20210900021527;2;2;12;04;7;1;1;1;1009.4963154;778.85873594
092022;2;20210900021528;2;2;12;04;7;1;1;1;1442.644552;311.54349438
092022;2;20210900021529;2;2;12;04;7;1;1;1;1176.2198938;311.54349438
092022;2;20210900021561;2;2;12;04;14;1;1;1;2102.9927703;92.089413409
092022;2;20210900021562;2;2;12;04;10;1;1;1;1655.2637139;184.78724091
092022;2;20210900021564;2;2;12;04;7;1;1;1;1103.0296288;467.31524156
092022;2;20210900023993;2;2;12;16;12;3;3;6;1536.6725999;75.102068656
092022;2;20210900045286;2;2;15;10;5;1;2;6;3464.2730187;428.89692002
092022;2;20210900046827;2;2;15;05;60;3;3;6;9676.9040111;128.19812483
092022;2;20220700000395;2;2;07;04;7;1;1;1;1295.6522706;277.06411413
092022;2;20220700000396;2;2;07;04;6;1;1;1;1328.0810592;323.8809551
092022;2;20220700000397;2;2;07;04;7;1;1;1;1376.233894;277.06411413
092022;2;20220700000398;2;2;07;04;7;1;1;1;1425.3449201;969.72439947
092022;2;20220700000419;2;2;07;04;7;1;1;1;1118.1579769;753.82021448
092022;2;20220700000420;2;2;07;04;7;1;1;6;938.85555693;224.65026875
092022;2;20220700000421;2;2;07;04;7;1;1;1;1295.6522706;251.27340483
092022;2;20220700000422;2;2;07;04;7;1;1;1;1425.3449201;251.27340483
092022;2;20220700001477;2;2;12;10;7;1;1;6;1978.4352636;211.6569959
092022;2;20220700001593;2;2;12;01;14;3;3;6;1501.1813253;109.23794878
092022;2;20220700002799;2;2;02;04;7;1;1;6;1508.7320646;959.49819982
092022;2;20220700002846;2;2;02;04;9;1;1;6;1347.9384259;752.34277817
092022;2;20220700004527;2;2;06;04;3;2;1;6;909.64055191;276.5681336
092022;2;20220700004529;2;2;13;04;5;1;1;6;2183.4010638;723.70834701
092022;2;20220700009886;2;2;12;09;1;1;2;6;725.20275027;1977.8125301
092022;2;20220700010250;8;2;12;01;3;1;2;6;888.84477587;504.02962689
092022;2;20220700017254;2;2;15;04;3;1;1;6;2490.7438257;993.82683982
092022;2;20220700022662;2;2;12;13;10;3;1;6;941.78415338;665.15561903
092022;2;20220700022829;2;2;02;04;14;3;1;6;599.20808615;347.3328434
092022;2;20220700022830;2;2;02;04;7;1;1;6;1480.4962185;289.91106062
092022;2;20220700027008;2;2;15;13;7;1;1;6;4147.9031682;115.2372504
092022;2;20220700027994;8;2;15;13;1;1;3;6;2300.0671535;602.74917071
092022;2;20220700028172;2;2;07;04;7;1;1;1;1068.6571696;376.91010724
092022;2;20220700028174;2;2;07;04;7;1;1;1;1068.6571696;753.82021448
092022;2;20220700028315;2;2;09;10;3;3;3;6;469.26075574;164.76716164
092022;2;20220700028316;2;2;09;10;7;1;1;6;1346.0402815;2207.1783909
092022;2;20220700030832;2;2;15;09;14;1;1;6;4345.9582815;103.88677713
092022;2;20220700034608;2;2;12;13;14;1;1;6;3440.0987068;11.378003685
092022;2;20220700034747;2;2;12;13;6;3;1;6;716.5362048;332.57780952
092022;2;20220700035151;2;2;12;09;16;3;1;6;1398.1831414;1520.0694758
092022;2;20220700037700;2;2;02;04;7;1;1;6;1040.4357186;1439.2472997
092022;2;20220700037965;2;2;09;13;8;1;1;6;1883.7995426;563.50911776
092022;2;20220700037967;2;2;09;10;8;3;1;6;994.68748438;275.16767633
092022;2;20220700037968;2;2;09;10;8;3;3;6;755.21208952;164.76716164
092022;2;20220700038019;2;2;09;10;23;1;3;1;4532.3280105;94.863953109
092022;2;20220700041697;2;2;02;04;7;1;1;6;1712.4597779;2194.6352684
092022;2;20220700042203;2;2;04;14;8;3;1;6;818.37256488;694.96619861
092022;2;20220700044696;2;2;12;16;1;1;1;6;634.92327333;2151.3779973
092022;2;20220700048216;2;2;12;04;5;1;1;6;1444.3215506;1776.4260216
092022;2;20220700048242;2;2;12;04;7;1;1;6;1701.9664231;836.03552117
092022;2;20220700048477;2;2;12;10;7;3;2;6;1228.1369211;202.73979339
