mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
062023;2;20210500025840;2;2;12;13;4;3;3;6;960.13171655;283.64407842
062023;2;20210600006137;2;2;15;13;3;1;1;6;3435.9168323;934.80287318
062023;2;20210600029572;8;2;15;13;4;1;1;6;4132.2771228;600.53837682
062023;2;20210600033101;2;2;12;09;3;1;2;6;1216.161993;1145.0220554
062023;2;20220400001556;2;2;12;13;60;2;2;6;7438.7383907;1224.6207158
062023;2;20220400008542;2;2;15;16;3;1;2;6;3312.6261113;863.14523442
062023;2;20220400008546;2;2;12;16;4;1;2;6;1954.5110847;323.34483408
062023;2;20220400018163;2;2;04;10;7;3;1;6;627.40163136;659.96345066
062023;2;20220400018164;2;2;04;10;18;3;1;6;1306.4963336;122.84565832
062023;2;20220400018165;2;2;04;14;5;1;1;6;1046.5575795;710.29900162
062023;2;20220400018166;2;2;04;14;7;3;1;6;676.32579227;255.68456389
062023;2;20220400023197;2;2;02;14;6;2;1;6;1362.5254611;254.92027254
062023;2;20220400023198;2;2;02;10;3;1;3;6;913.52150868;61.638538068
062023;2;20220400023199;2;2;02;14;10;3;1;6;1011.6589034;68.395156924
062023;2;20220400023200;2;2;02;14;8;3;1;6;1143.4566137;122.4797153
062023;2;20220400023201;2;2;02;10;10;3;1;6;876.3694731;87.629308554
062023;2;20220400038768;2;2;12;09;7;3;1;6;998.15223833;643.82918803
062023;2;20220400039850;2;2;12;05;60;3;3;6;4779.0342412;492.14085446
062023;2;20220500000330;2;2;12;13;60;3;1;6;4317.1955602;487.25301441
062023;2;20220500005005;2;2;02;14;4;1;1;6;945.34806802;148.96831863
062023;2;20220500005007;2;2;02;14;7;2;1;6;1499.1210171;254.92027254
062023;2;20220500009560;2;2;12;13;4;3;1;6;1180.5374828;906.97321591
062023;2;20220500010597;2;2;12;09;7;3;3;6;833.73335413;374.79159964
062023;2;20220500013413;2;2;12;09;8;1;1;6;2122.240916;416.41523539
062023;2;20220500013501;2;2;12;09;1;1;2;6;720.40307829;1539.5836794
062023;2;20220500024263;2;2;12;13;4;1;1;6;1901.6592833;504.53460202
062023;2;20220500026292;2;2;02;14;6;2;1;6;1362.5254611;254.92027254
062023;2;20220500026293;2;2;02;01;6;3;1;6;702.67443515;103.86915647
062023;2;20220500026294;2;2;02;14;3;1;3;1;1285.0820083;48.844649625
062023;2;20220500026295;2;2;02;14;8;3;1;6;1081.1015123;48.991886122
062023;2;20220500026297;2;2;02;14;7;3;1;6;738.9680667;91.193542566
062023;2;20220600000116;2;2;15;13;6;3;1;6;3133.8216661;1014.4784759
062023;2;20220600000118;2;2;12;13;7;3;1;6;1237.7574915;487.25301441
062023;2;20220600009486;2;2;12;10;2;1;1;6;999.87108478;1316.1165319
062023;2;20220600009489;2;2;12;09;60;3;2;6;3571.1337355;22.082047219
062023;2;20220600017781;2;2;12;09;12;1;1;6;2344.2616893;312.72636348
062023;2;20220600017924;2;2;12;09;9;1;1;6;1958.0270508;487.58312269
062023;2;20220600024168;2;2;04;14;22;3;1;6;2236.7720422;255.68456389
062023;2;20220600024169;2;2;04;01;28;2;1;6;3634.3737166;757.66503615
062023;2;20220600024170;2;2;04;10;42;3;1;6;3865.5490628;245.69131664
062023;2;20220600024172;2;2;04;10;16;1;1;6;1811.9868355;234.59489794
062023;2;20220600024173;2;2;04;10;10;3;1;6;938.50241572;263.98538027
062023;2;20220600028101;2;2;15;13;4;1;2;6;4121.3100534;1160.2928331
062023;2;20220600036648;2;2;12;16;3;1;2;6;1784.0240808;357.42162149
062023;2;20220600037247;2;2;15;01;6;1;2;6;3541.8267949;624.16887335
062023;2;20220600039872;2;2;12;09;19;1;1;6;3201.4729211;110.94338998
062023;2;20220600044152;2;2;15;03;31;1;2;6;5839.1658146;63.420694555
062023;2;20220600044333;2;2;12;13;60;3;3;6;4317.1955602;283.64407842
062023;2;20230400000810;2;2;12;09;8;1;1;6;1825.5900689;1130.7676709
062023;2;20230400000855;2;2;15;09;1;1;1;6;1883.944858;4133.3848864
062023;2;20230400001181;2;2;12;09;31;1;3;6;4587.1130051;12.672977479
062023;2;20230400002135;2;3;04;10;12;3;1;6;1550.3976314;67.888891268
062023;2;20230400002149;2;3;07;07;2;1;1;6;549.95546685;74.844038361
062023;2;20230400002155;8;3;07;07;1;1;3;6;440.22551282;42.989934588
062023;2;20230400007792;8;3;07;12;2;1;1;6;585.39888078;113.12778775
062023;2;20230400008744;2;3;01;04;6;2;1;1;539.5532949;1950.3854632
062023;2;20230400009437;2;2;15;09;30;1;1;6;6562.7029912;9.3158952016
062023;2;20230400013232;2;2;15;13;9;2;2;6;4440.7675337;1566.5201323
062023;2;20230400013398;2;2;15;09;3;2;1;6;2550.2674904;732.91998319
062023;2;20230400014478;2;2;12;13;4;1;2;6;2173.7635076;243.70127929
062023;2;20230400016848;2;2;15;01;7;1;1;6;3544.9097643;338.58591059
062023;2;20230400023262;8;3;07;07;1;1;3;6;273.35613741;42.989934588
062023;2;20230400025553;2;3;04;14;14;3;1;6;2207.9640772;73.216673805
062023;2;20230400025554;2;3;04;08;21;3;1;6;2877.279833;29.001807428
062023;2;20230400025555;2;3;04;01;11;1;3;6;2755.2318021;52.150548571
062023;2;20230400025556;2;3;04;01;15;1;1;6;9768.2387724;39.605915944
062023;2;20230400025557;2;3;04;04;4;1;1;6;1841.5812942;119.61963011
062023;2;20230400025559;2;3;04;10;60;3;1;6;6813.7772584;67.888891268
062023;2;20230400025561;8;3;04;07;1;1;1;6;741.08287615;159.1572731
062023;2;20230400028137;2;2;15;13;7;1;2;6;3002.4728711;153.81539169
062023;2;20230400028903;8;2;15;09;1;1;1;6;1903.7526342;2066.6924432
062023;2;20230400029876;2;2;12;06;35;3;3;6;2524.4392071;140.29968117
062023;2;20230400035997;2;2;12;09;10;1;1;6;2088.4581046;420.48832425
062023;2;20230400036073;2;2;15;09;3;1;1;6;2675.4577337;746.80962533
062023;2;20230400039433;2;2;15;09;2;1;2;6;2567.6989352;848.64240641
062023;2;20230400041190;2;3;09;04;7;1;1;1;652.9950566;331.80677897
062023;2;20230500000012;2;2;12;09;10;1;1;6;2088.4581046;840.97664851
062023;2;20230500000111;2;2;02;04;2;1;2;6;607.26781584;262.96499515
062023;2;20230500000125;8;2;02;04;4;1;1;6;1271.9668484;403.81947706
062023;2;20230500001261;8;1;07;09;4;2;1;6;668.84181282;221.22243307
062023;2;20230500003165;2;2;12;09;3;3;3;6;660.47564112;374.79159964
062023;2;20230500003166;2;2;12;09;14;3;1;6;1007.8189057;599.21214154
062023;2;20230500003213;8;2;12;09;1;1;2;6;845.62403838;1539.5836794
062023;2;20230500004656;8;1;07;16;1;1;1;6;304.97997567;339.53581563
062023;2;20230500005604;2;2;02;10;60;3;3;6;3407.20532;61.804791938
062023;2;20230500005734;2;2;09;10;7;3;1;6;746.46188585;304.2132162
062023;2;20230500005735;2;2;09;10;1;1;1;6;403.01143879;844.8411315
062023;2;20230500005736;2;2;09;10;6;1;1;1;1365.5375756;1143.3539754
062023;2;20230500005738;2;2;09;10;5;1;1;6;1009.3095648;1110.9911817
