A0_1;C9_0;ccaa_etapa;pernoc_etapa
20210500025840;01;13;4
20210600006137;01;13;3
20210600029572;01;13;4
20210600033101;01;09;3
20220400001556;01;13;60
20220400008542;01;16;3
20220400008546;01;16;4
20220400018163;01;10;7
20220400018164;01;10;18
20220400018165;01;14;5
20220400018166;01;14;7
20220400023197;01;14;6
20220400023198;01;10;3
20220400023199;01;14;10
20220400023200;01;14;8
20220400023201;01;10;10
20220400038768;01;09;7
20220400039850;01;05;57
20220400039850;02;05;3
20220500000330;01;13;58
20220500000330;02;08;2
20220500005005;01;14;4
20220500005007;01;14;7
20220500009560;01;13;4
20220500010597;01;09;7
20220500013413;01;01;1
20220500013413;02;01;1
20220500013413;03;01;1
20220500013413;04;01;1
20220500013413;05;09;4
20220500013501;01;09;1
20220500024263;01;13;4
20220500026292;01;14;6
20220500026293;01;01;6
20220500026294;01;14;3
20220500026295;01;14;8
20220500026297;01;14;7
20220600000116;01;13;6
20220600000118;01;13;7
20220600009486;01;10;2
20220600009489;01;09;15
20220600009489;02;09;45
20220600017781;01;09;12
20220600017924;01;09;9
20220600024168;01;14;22
20220600024169;01;01;28
20220600024170;01;10;42
20220600024172;01;10;16
20220600024173;01;10;10
20220600028101;01;13;4
20220600036648;01;16;3
20220600037247;01;01;6
20220600039872;01;09;19
20220600044152;01;03;31
20220600044333;01;13;60
20230400000810;01;09;8
20230400000855;01;09;1
20230400001181;01;09;31
20230400002135;01;10;12
20230400002149;01;07;1
20230400002149;02;07;1
20230400002155;01;07;1
20230400007792;01;12;1
20230400007792;02;16;1
20230400008744;01;04;2
20230400008744;02;12;2
20230400008744;03;12;2
20230400009437;01;09;30
20230400013232;01;09;3
20230400013232;02;13;6
20230400013398;01;09;3
20230400014478;01;13;4
20230400016848;01;13;2
20230400016848;02;01;5
20230400023262;01;07;1
20230400025553;01;14;12
20230400025553;02;13;1
20230400025553;03;16;1
20230400025554;01;08;20
20230400025554;02;07;1
20230400025555;01;07;2
20230400025555;02;08;2
20230400025555;03;01;3
20230400025555;04;01;2
20230400025555;05;10;1
20230400025555;06;07;1
20230400025556;01;01;12
20230400025556;02;16;2
20230400025556;03;02;1
20230400025557;01;04;4
20230400025559;01;10;60
20230400025561;01;07;1
20230400028137;01;13;7
20230400028903;01;09;1
20230400029876;01;06;35
20230400035997;01;09;10
20230400036073;01;09;3
20230400039433;01;09;2
20230400041190;01;04;4
20230400041190;02;04;1
20230400041190;03;01;1
20230400041190;04;16;1
20230500000012;01;09;10
20230500000111;01;04;2
20230500000125;01;04;4
20230500001261;01;01;1
20230500001261;02;01;1
20230500001261;03;09;2
20230500003165;01;09;3
20230500003166;01;09;14
20230500003213;01;09;1
20230500004656;01;16;1
20230500005604;01;10;60
20230500005734;01;10;7
20230500005735;01;10;1
20230500005736;01;10;6
20230500005738;01;10;5
20230500005750;01;10;3
20230500005750;02;13;1
20230500005823;01;10;14
20230500006358;01;16;1
20230500007866;01;02;1
