A0_1;C9_0;ccaa_etapa;pernoc_etapa
20230100000641;01;09;6
20230100000645;01;09;2
20230100000645;02;13;2
20230100001558;01;10;9
20230100005656;01;04;5
20230100005657;01;04;5
20230100005693;01;10;37
20230100010681;01;09;12
20230100014234;01;09;7
20230100014348;01;09;3
20230100015203;01;16;16
20230100018826;01;09;2
20230100022674;01;09;1
20230100027414;01;09;7
20230100027523;01;09;3
20230100027550;01;09;4
20230100035048;01;09;6
20230200004227;01;13;2
20230200020227;01;14;3
20230200024718;01;10;10
20230300001734;01;13;3
20230300003179;01;16;2
20230300003182;01;05;30
20230300003227;01;13;5
20230300009066;01;05;3
20230300009067;01;13;12
20230300009071;01;13;7
20230300013193;01;13;2
20230300016783;01;13;18
20230300033716;01;04;3
20230300033738;01;04;6
20230300034449;01;16;5
20230300037541;01;04;4
20230300037542;01;04;52
20230300037562;01;04;4
20230300037563;01;04;4
20230300037564;01;04;4
20230300037565;01;04;4
20240100000682;01;10;5
20240100000683;01;10;12
20240100000684;01;10;15
20240100000685;01;10;1
20240100000686;01;10;7
20240100000686;02;01;2
20240100000687;01;10;27
20240100000689;01;10;15
20240100000691;01;10;57
20240100000692;01;10;27
20240100000693;01;10;7
20240100000853;01;09;14
20240100001815;01;03;40
20240100001831;01;09;13
20240100001850;01;09;4
20240100003013;01;10;3
20240100003014;01;10;3
20240100003015;01;10;5
20240100003016;01;10;6
20240100003017;01;10;6
20240100003018;01;10;14
20240100003094;01;10;10
20240100003096;01;10;7
20240100003099;01;10;4
20240100003100;01;10;11
20240100003210;01;09;13
20240100003706;01;01;8
20240100003797;01;09;3
20240100003911;01;09;4
20240100003914;01;04;14
20240100003915;01;04;7
20240100003916;01;04;5
20240100004270;01;12;1
20240100004669;01;13;6
20240100005197;01;02;25
20240100006273;01;10;8
20240100006273;02;08;5
20240100006274;01;10;7
20240100006275;01;10;11
20240100006348;01;10;20
20240100006350;01;10;4
20240100006476;01;16;10
20240100006732;01;16;3
20240100006732;02;13;2
20240100006948;01;07;9
20240100007183;01;04;5
20240100007184;01;04;21
20240100007185;01;04;90
20240100007186;01;05;5
20240100007208;01;04;3
20240100007209;01;04;5
20240100007603;01;04;20
20240100007604;01;04;10
20240100007683;01;04;4
20240100007693;01;10;9
20240100007694;01;10;14
20240100007695;01;10;2
20240100007696;01;10;8
20240100007746;01;10;11
20240100007747;01;10;7
20240100007749;01;10;8
20240100007868;01;09;13
20240100007904;01;09;14
20240100008177;01;07;1
20240100008227;01;09;2
20240100008228;01;13;10
20240100008228;02;09;1
20240100008229;01;09;3
20240100008229;02;01;31
20240100008230;01;13;20
20240100008232;01;14;80
20240100008234;01;09;1
20240100008236;01;01;3
20240100008236;02;10;2
20240100008236;03;09;3
20240100008385;01;14;15
20240100008605;01;07;1
20240100008661;01;10;3
20240100009009;01;16;4
20240100009698;01;09;1
20240100009698;02;10;1
20240100009698;03;01;1
20240100009698;04;10;1
20240100009698;05;01;7
20240100009699;01;10;57
20240100009700;01;09;1
20240100009700;02;01;3
20240100009700;03;01;10
20240100009702;01;10;5
20240100009703;01;09;4
20240100009704;01;09;5
20240100009706;01;09;4
20240100010288;01;09;3
20240100010299;01;13;2
20240100010299;02;09;3
20240100010526;01;09;1
20240100010622;01;10;7
20240100010624;01;10;3
20240100010670;01;01;4
20240100010793;01;04;21
20240100011298;01;10;30
20240100011299;01;10;30
20240100011300;01;10;12
20240100011302;01;10;15
20240100011303;01;10;30
20240100011304;01;10;30
20240100011306;01;10;6
20240100011307;01;10;6
20240100011308;01;10;10
20240100011308;02;01;4
20240100011311;01;10;30
20240100011311;02;13;2
20240100011312;01;13;12
20240100011312;02;10;2
20240100011313;01;10;21
20240100011314;01;10;14
20240100011315;01;13;21
20240100011750;01;13;1
20240100011863;01;01;4
20240100011863;02;01;1
20240100011863;03;13;3
20240100012058;01;09;4
20240100012190;01;16;1
20240100012801;01;04;1
20240100013915;01;09;2
20240100014099;01;01;49
20240100014100;01;10;94
20240100014100;02;17;2
20240100014100;03;06;2
20240100014101;01;06;1
20240100014102;01;01;35
20240100014103;01;09;6
20240100014106;01;01;30
20240100014590;01;01;6
20240100014590;02;17;6
20240100014590;03;10;6
20240100015293;01;01;1
20240100015334;01;01;35
20240100015897;01;13;57
20240100016542;01;09;3
20240100016661;01;07;1
20240100018468;01;04;14
20240100018580;01;04;4
20240100019156;01;16;2
20240100019156;02;16;1
20240100019156;03;07;1
20240100019188;01;11;11
20240100019188;02;09;2
20240100019190;01;09;2
20240100019190;02;01;20
20240100019191;01;04;10
20240100019191;02;13;2
20240100019192;01;07;14
20240100019193;01;09;7
20240100019194;01;13;12
20240100019195;01;14;24
20240100019196;01;09;1
20240100020427;01;10;21
20240100020432;01;10;3
20240100020433;01;10;15
20240100020435;01;10;15
20240100020437;01;10;4
20240100020437;02;10;2
20240100020439;01;10;10
20240100020440;01;10;5
20240100020511;01;10;3
20240100020513;01;10;3
20240100020517;01;10;5
20240100020518;01;10;5
20240100020520;01;10;7
20240100020521;01;10;28
20240100020522;01;10;1
20240100020555;01;07;1
20240100020662;01;13;2
20240100020689;01;10;14
20240100020705;01;10;14
20240100020722;01;01;1
20240100020740;01;10;1
20240100020753;01;01;1
20240100020892;01;09;3
20240100021628;01;09;5
20240100021833;01;07;13
20240100021839;01;09;2
20240100021839;02;01;1
20240100021839;03;13;2
20240100022365;01;04;21
20240100022366;01;04;7
20240100022371;01;04;1
20240100022372;01;04;1
20240100022372;02;04;1
20240100022373;01;04;15
20240100024906;01;01;30
20240100024911;01;08;15
20240100024918;01;07;7
20240100024922;01;07;1
20240100024954;01;01;2
20240100024954;02;09;2
20240100024954;03;10;14
20240100024965;01;01;9
20240100026130;01;01;30
20240100026131;01;10;49
20240100026132;01;01;26
20240100026133;01;01;29
20240100026133;02;07;1
20240100026133;03;01;1
20240100026133;04;08;1
20240100026133;05;07;1
20240100026133;06;07;1
20240100026133;07;03;1
20240100026134;01;01;52
20240100026134;02;11;1
20240100026134;03;06;2
20240100026135;01;01;60
20240100026136;01;01;89
20240100026136;02;07;1
20240100026137;01;07;1
20240100026140;01;06;1
20240100026142;01;10;83
20240100026142;02;09;3
20240100026142;03;13;5
20240100026143;01;01;48
20240100026143;02;06;1
20240100026778;01;10;8
20240100026780;01;10;150
20240100026781;01;10;4
20240100026782;01;10;5
20240100026786;01;10;7
20240100026787;01;10;5
20240100026789;01;10;160
20240100027204;01;10;3
20240100027204;02;01;12
20240100027350;01;09;4
20240100027350;02;13;3
20240100027746;01;01;1
20240100027746;02;10;2
20240100027746;03;09;5
20240100027783;01;09;3
20240100027786;01;13;2
20240100027786;02;09;3
20240100027908;01;09;5
20240100029100;01;07;1
20240100029239;01;12;5
20240100029954;01;09;1
20240100029964;01;09;5
20240100029964;02;01;4
