mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
052024;2;20220500000330;2;2;12;13;60;3;1;6;4372.6350693;627.10198771
052024;2;20220500005005;2;2;02;14;4;1;1;6;946.27834926;388.65307118
052024;2;20220500005007;2;2;02;14;7;2;1;6;1532.9716738;856.23210421
052024;2;20220500007702;2;2;01;10;6;1;1;6;1078.1581033;217.1632271
052024;2;20220500009560;2;2;12;13;4;3;1;6;1214.3334041;1362.1684303
052024;2;20220500026292;2;2;02;14;6;2;1;6;1390.0398703;856.23210421
052024;2;20220500026293;2;2;02;01;6;3;1;6;733.50775079;102.94327985
052024;2;20220500026294;2;2;02;14;3;1;3;1;1366.9307826;148.43038016
052024;2;20220500026295;2;2;02;14;8;3;1;6;1122.2655943;99.008227305
052024;2;20220500026297;2;2;02;14;7;3;1;6;762.4805166;215.06211783
052024;2;20220500033216;8;2;01;10;1;3;3;6;334.06073597;26.057169347
052024;2;20220600000116;2;2;15;13;6;3;1;6;3105.3544582;887.98120058
052024;2;20220600000118;2;2;12;13;7;3;1;6;1144.9538116;627.10198771
052024;2;20220600022741;2;2;01;10;7;3;3;6;672.52857866;104.22867739
052024;2;20220600024168;2;2;04;14;22;3;1;6;2318.1643923;827.90803144
052024;2;20220600024169;2;2;04;01;28;2;1;6;4196.2375025;1713.5879743
052024;2;20220600024170;2;2;04;10;42;3;1;6;3958.7039022;696.81465395
052024;2;20220600024172;2;2;04;10;16;1;1;6;1994.8085116;51.853688097
052024;2;20220600024173;2;2;04;10;10;3;1;6;973.41024268;641.58564367
052024;2;20220600028101;2;2;15;13;4;1;2;6;4431.5532206;701.94909391
052024;2;20220600036648;2;2;12;16;3;1;2;6;1855.6861032;1509.0517638
052024;2;20220600037247;2;2;15;01;6;1;2;6;4063.8298724;573.65222655
052024;2;20220600044152;2;2;15;03;30;1;2;6;6055.8399883;27.318097222
052024;2;20230400013232;2;2;15;13;9;2;2;6;4515.6144109;1301.9931908
052024;2;20230400014478;2;2;12;13;4;1;2;6;2261.5938139;433.14241648
052024;2;20230400016848;2;2;15;01;7;1;1;6;4096.5434517;252.84700844
052024;2;20230400028137;2;2;15;13;7;1;2;6;3121.6440702;70.367311574
052024;2;20230400029876;2;2;12;06;35;3;3;6;2558.8694042;280.73449604
052024;2;20230400031397;8;3;01;09;7;2;1;6;1562.0520881;2760.6865073
052024;2;20230500000012;2;2;12;09;10;1;1;6;2208.1336314;383.90900531
052024;2;20230500002559;8;3;06;14;2;1;3;6;957.87052502;157.51251467
052024;2;20230500003165;2;2;12;09;3;3;3;6;715.04804106;381.25890842
052024;2;20230500003166;2;2;12;09;14;3;1;6;1068.2586637;587.87175925
052024;2;20230500003213;8;2;12;09;1;1;2;6;874.80588701;1764.7782693
052024;2;20230500004844;2;3;15;01;1;1;1;6;399.46502813;11886.480754
052024;2;20230500009288;8;3;02;09;3;3;3;6;783.58457696;86.086406869
052024;2;20230500009293;8;3;06;01;10;1;1;6;2017.5393345;72.457481063
052024;2;20230500009297;2;3;15;01;8;2;1;6;1237.9123604;9179.7744468
052024;2;20230500011837;2;3;15;09;30;3;3;6;3364.14085;164.95333887
052024;2;20230500011850;2;3;15;01;2;3;1;6;525.06232974;1061.4799312
052024;2;20230500013625;2;1;07;01;1;1;2;6;278.01232216;4511.2506037
052024;2;20230500013626;2;1;07;11;2;3;2;6;116.34580622;855.64140701
052024;2;20230500013642;2;1;07;09;4;1;3;6;892.75714185;1978.928684
052024;2;20230500013651;2;1;07;01;3;1;1;6;361.54966023;4568.5924696
052024;2;20230500014038;2;2;09;04;8;3;1;6;504.21071396;95.717291786
052024;2;20230500014039;2;2;09;04;7;1;1;1;1431.7896247;112.24974165
052024;2;20230500014040;2;2;09;04;7;3;1;6;826.72803143;85.541287507
052024;2;20230500014945;2;1;07;12;2;3;3;6;181.21723285;797.29548677
052024;2;20230500015358;2;1;07;13;1;3;2;6;164.48491853;2151.8064849
052024;2;20230500015369;2;1;07;13;1;3;2;6;167.57961728;2151.8064849
052024;2;20230500015984;2;2;02;04;7;1;1;6;1161.0138781;156.09770718
052024;2;20230500016889;2;2;09;04;2;1;1;6;698.25946758;502.85659648
052024;2;20230500016890;2;2;09;04;7;1;1;1;1502.543443;224.49948331
052024;2;20230500016892;2;2;09;04;3;1;1;6;785.12929629;423.90018074
052024;2;20230500016893;2;2;09;04;3;1;1;6;923.88310628;847.80036148
052024;2;20230500018117;2;2;09;04;5;1;1;6;1278.7384698;301.23296884
052024;2;20230500019377;2;1;07;11;1;1;1;6;191.49350099;3427.5869894
052024;2;20230500020722;2;1;07;11;4;3;3;6;134.41525121;575.68928847
052024;2;20230500022035;2;3;15;01;8;1;1;6;1407.5135313;2167.0503489
052024;2;20230500023070;2;2;02;04;7;1;1;6;1601.0305876;78.048853589
052024;2;20230500023071;2;2;02;04;5;1;1;6;1507.8564974;111.53807667
052024;2;20230500023134;2;2;12;04;7;1;1;6;1592.4455879;95.035655103
052024;2;20230500023135;2;2;02;04;7;1;1;6;1161.0138781;234.14656077
052024;2;20230500023136;2;2;12;04;5;1;1;6;1373.7176757;68.228359813
052024;2;20230500023137;2;2;02;04;5;1;1;6;1507.8564974;111.53807667
052024;2;20230500024217;2;2;09;04;2;1;1;1;695.98146595;527.37324725
052024;2;20230500024219;2;2;09;04;7;1;1;6;1617.2816555;214.06289886
052024;2;20230500024220;2;2;09;04;3;1;1;6;1038.3175575;423.90018074
052024;2;20230500024222;2;2;09;04;3;1;1;6;882.298792;211.95009037
052024;2;20230500024306;2;2;09;04;4;3;1;6;437.83751011;78.761348795
052024;2;20230500024307;2;2;09;04;5;1;1;6;1469.4625551;301.23296884
052024;2;20230500024308;2;2;09;04;5;1;1;6;1413.4105564;301.23296884
052024;2;20230500025049;2;2;12;09;7;2;1;6;1683.4712001;2341.1880681
052024;2;20230500025079;2;2;15;09;8;1;2;6;4369.2762952;187.46424677
052024;2;20230500025622;2;1;07;07;2;1;1;6;394.55514698;5266.8710298
052024;2;20230500025624;2;3;15;01;3;1;1;6;834.10173303;258.98856582
052024;2;20230500025626;8;3;01;01;1;1;2;6;1168.2780708;106.0441476
052024;2;20230500025630;2;3;15;10;17;3;1;6;1827.1616511;162.69811582
052024;2;20230500025634;2;3;15;09;10;1;1;6;2258.9942395;18.51234849
052024;2;20230500026398;2;2;09;04;4;1;1;6;1083.9854738;357.34116742
052024;2;20230500026399;2;2;09;04;4;1;1;6;1292.0104944;714.68233485
052024;2;20230500026400;2;2;09;04;4;1;1;6;1260.6706971;357.34116742
