mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
072023;2;20210700037020;2;2;15;13;5;1;3;6;3597.53575;181.9045944
072023;2;20210800007443;2;2;06;04;7;1;1;6;1361.5929833;290.56684452
072023;2;20210800011177;2;2;02;04;7;2;1;1;1291.3505296;1776.3192222
072023;2;20210800011190;2;2;12;04;15;3;1;6;1965.6640238;270.28622997
072023;2;20210800033296;2;2;02;04;7;3;1;6;980.17305306;126.49830575
072023;2;20210800034074;2;2;15;13;24;3;3;6;5650.6313808;297.01490392
072023;2;20210800049368;2;2;02;04;7;1;1;1;1387.8674217;397.76092668
072023;2;20210800049369;2;2;02;04;7;1;1;1;1685.1763675;198.88046334
072023;2;20210800049370;2;2;02;04;8;1;1;1;1343.5294833;322.96723187
072023;2;20210800049371;2;2;12;04;7;1;1;1;1332.3757104;368.73425451
072023;2;20210800049434;2;2;02;04;3;1;1;1;925.82494588;686.33794863
072023;2;20210800049436;2;2;02;04;7;1;1;1;1332.011736;397.76092668
072023;2;20210800049437;2;2;12;04;4;2;1;6;1341.4563242;467.93957946
072023;2;20210900012744;2;2;06;04;7;1;1;1;1423.7295445;135.43255269
072023;2;20210900046827;2;2;15;05;60;3;3;6;9362.5277189;349.968271
072023;2;20220700000468;2;2;02;10;3;1;2;6;1001.888929;415.56855923
072023;2;20220700000469;2;2;02;02;8;1;1;6;2110.9905057;415.15829225
072023;2;20220700000473;2;2;06;10;4;1;1;6;1096.071981;1951.9345327
072023;2;20220700000563;2;1;01;01;7;3;1;6;731.64817354;222.50594168
072023;2;20220700001477;2;2;12;10;7;1;1;6;2112.258988;508.49956275
072023;2;20220700001593;2;2;12;01;14;3;3;6;1623.4240023;142.22938481
072023;2;20220700003267;2;2;12;10;7;3;3;6;887.41853861;18.3111486
072023;2;20220700003268;8;2;13;10;32;1;3;6;6604.4842282;0.0545253705
072023;2;20220700003269;2;2;12;10;10;3;3;6;932.20973379;73.244594398
