mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
022025;2;20230200004227;2;2;12;13;2;1;1;6;1346.5456684;772.96701086
022025;2;20230200018224;2;2;03;04;13;3;1;6;1051.2191905;35.481697356
022025;2;20230200018225;2;2;03;04;5;3;1;6;703.94133159;53.222546034
022025;2;20230200018227;2;2;03;04;4;3;3;6;636.40073881;36.014658762
022025;2;20230200018228;2;2;03;04;7;3;3;6;751.96905316;8.2145784952
022025;2;20230200018316;2;2;03;04;7;3;1;6;1068.4671098;53.222546034
022025;2;20230200018318;2;2;03;04;5;3;3;6;703.94133159;8.2145784952
022025;2;20230200018319;2;2;03;04;4;3;1;6;636.40073881;17.740848678
022025;2;20230200020227;8;2;12;14;3;1;2;6;1554.3772113;430.13259362
022025;2;20230200024718;8;2;12;10;10;3;1;6;1593.9215833;200.47830131
022025;2;20230300001734;2;2;12;13;3;1;1;6;1666.8426159;278.38364047
022025;2;20230300003179;8;2;12;16;2;1;3;6;941.53116814;503.71511573
022025;2;20230300003182;2;2;12;05;30;3;2;6;2779.9085729;181.96516213
022025;2;20230300003227;8;2;12;13;5;1;1;6;2207.8396767;144.43392138
022025;2;20230300009066;2;2;12;05;3;3;3;6;1384.0490056;142.59176794
022025;2;20230300009067;2;2;12;13;12;1;1;6;3016.4521204;14.529759529
022025;2;20230300009071;2;2;12;13;7;1;1;6;2097.7998614;149.87344523
022025;2;20230300013193;2;2;12;13;5;3;1;6;1445.137395;371.11361826
022025;2;20230300016783;2;2;12;13;18;1;1;6;4082.1041253;2.0292469625
022025;2;20230300022640;8;1;03;12;1;3;1;6;192.11174804;455.00812497
022025;2;20230300023508;2;2;03;04;5;3;1;6;703.94133159;17.740848678
022025;2;20230300023509;2;2;03;04;7;1;1;6;1246.9360935;2.7763284163
022025;2;20230300023598;8;2;03;04;3;1;1;6;517.60573323;46.793976084
022025;2;20230300023600;2;2;03;04;3;3;1;6;549.27711413;35.481697356
022025;2;20230300026424;8;1;03;07;1;1;1;6;233.64406517;339.83001639
022025;2;20230300033715;2;2;03;04;3;3;1;6;550.84651647;16.186030805
022025;2;20230300033717;2;2;03;04;2;1;1;6;551.50556108;32.177291106
022025;2;20230300033739;2;2;03;04;1;1;2;6;412.69484279;30.459625648
022025;2;20230300033741;2;2;03;04;21;3;1;6;1491.273384;17.740848678
022025;2;20230300033742;2;2;03;04;2;3;1;6;397.95540923;70.963394712
022025;2;20230300034449;2;2;12;16;16;3;3;6;2904.2707476;265.14760308
022025;2;20230300035912;2;1;03;07;3;1;2;6;661.15764301;114.63740568
022025;2;20230300037547;2;2;03;04;3;1;1;6;881.80976087;22.643301558
022025;2;20230300037548;2;2;03;04;3;1;1;6;840.75829028;22.643301558
022025;2;20230300037566;2;2;03;04;3;1;1;6;814.01697405;22.643301558
022025;2;20230300037567;2;2;03;04;3;1;1;1;969.74330042;30.808662442
022025;2;20230300037568;2;2;03;04;3;1;1;6;838.10156267;11.321650779
022025;2;20240100004669;2;2;12;13;6;1;1;6;1697.3884934;520.17796721
022025;2;20240100007868;2;2;14;09;13;3;1;6;1785.8085336;835.41016994
022025;2;20240100007904;2;2;12;09;14;3;1;6;1313.4503374;1781.5242587
022025;2;20240100011750;2;2;12;13;1;1;1;6;1093.1861313;536.55990602
022025;2;20240100012058;2;2;12;09;4;1;1;6;1315.131928;904.39377161
022025;2;20240100015897;2;2;12;13;47;3;3;6;3734.8063129;188.34401
022025;2;20240100021628;2;2;14;09;5;1;2;6;2414.1643106;175.68221031
022025;2;20240100029964;2;2;14;09;16;1;1;6;4235.9419255;216.03733449
022025;2;20240100030060;2;2;14;09;3;1;2;6;1838.1392097;368.18165721
022025;2;20240100030523;2;2;12;09;1;1;2;6;877.75756938;489.17699281
022025;2;20240200005524;8;1;03;12;14;3;3;6;907.86420402;230.92134221
022025;2;20240200008629;2;2;12;09;12;3;1;6;1314.6902374;541.79682632
022025;2;20240200012026;2;1;08;14;3;3;3;6;194.31509946;214.10450874
022025;2;20240200018162;2;1;06;10;7;2;1;6;1353.8831285;1071.6851806
022025;2;20240200018167;2;1;08;10;28;2;1;6;2073.685021;656.45426019
022025;2;20240200018175;2;1;08;16;30;2;1;6;3479.5960426;60.727237219
022025;2;20240200020563;2;2;13;10;7;1;1;6;2432.3651223;59.327980889
022025;2;20240200021023;8;1;06;09;2;3;3;6;202.08676767;238.45922037
022025;2;20240200021731;2;1;08;01;4;1;1;6;909.21216025;464.02150832
022025;2;20240200024943;2;2;12;10;5;3;3;6;922.11847886;7.0322820757
022025;2;20240200024945;2;2;12;10;4;1;1;6;750.64576237;84.918589548
022025;2;20240200024946;2;2;12;10;4;1;3;6;750.64576237;75.419863518
022025;2;20240200024948;2;2;12;10;5;3;3;6;928.44831638;3.5161410379
022025;2;20240200024949;2;2;12;10;4;1;1;6;750.64576237;42.459294774
022025;2;20240200024950;2;2;12;10;4;1;3;6;728.26593268;16.161399325
022025;2;20240200024951;2;2;12;10;4;3;3;6;650.87486465;10.548423114
022025;2;20240200025038;2;2;12;10;7;1;1;6;698.55976873;8.6682696966
022025;2;20240200026289;8;1;06;10;60;2;1;6;3820.4749519;84.333756665
022025;2;20240200026297;8;1;06;01;21;2;1;6;1573.4381908;161.81543629
022025;2;20240200026306;2;1;08;01;3;1;1;6;756.87681786;462.40469111
022025;2;20240200026385;2;1;08;01;14;3;1;6;1787.7983038;249.86765475
022025;2;20240200028626;8;1;06;09;4;1;3;6;461.23730764;93.411686004
022025;2;20240200028944;2;2;14;16;10;1;2;6;4845.1191883;1340.5467159
022025;2;20240200030201;2;2;12;13;7;3;1;6;901.21957895;371.11361826
022025;2;20240200031863;2;2;14;09;3;2;1;6;1448.4358266;1495.2939193
022025;2;20240300005264;2;2;12;13;6;3;1;6;1032.0084061;742.22723652
022025;2;20240300016896;2;2;14;09;6;1;1;6;2270.4287638;364.35543229
022025;2;20240300017796;2;2;12;13;2;1;1;6;1386.5110056;386.48350543
022025;2;20240300025504;2;2;14;09;6;1;1;6;2270.4287638;364.35543229
022025;2;20240300025570;2;2;14;09;4;1;2;6;1941.4184825;508.65692694
022025;2;20240300025649;2;2;12;09;3;1;1;6;1172.4622558;334.83584004
022025;2;20240300026178;2;2;12;09;5;1;1;6;1532.312049;152.6733395
022025;2;20240300026635;2;2;14;10;16;1;2;6;4542.3656713;334.58511572
022025;2;20240300029443;8;1;03;07;1;1;1;6;194.32007169;339.83001639
022025;2;20240300030870;2;2;03;04;1;3;1;6;340.08247244;15.736702193
022025;2;20240300030881;2;2;03;04;1;3;3;6;340.08247244;8.2145784952
022025;2;20240300030894;2;2;03;04;4;1;1;1;909.97981234;10.840095768
022025;2;20240300030895;2;2;03;04;15;3;1;6;1174.9174322;16.186030805
022025;2;20250100000168;8;2;08;04;5;3;3;6;795.07656414;8.9956655558
022025;2;20250100000169;8;2;08;04;4;3;3;6;692.77915323;8.9956655558
