mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
032025;2;20230300034720;8;2;05;04;1;1;1;6;354.88701062;54.036787123
032025;2;20230300034722;2;2;05;01;25;1;3;6;2800.6054176;0.5217008822
032025;2;20230300034751;2;2;05;04;10;2;1;6;1275.2201995;271.60654091
032025;2;20230300036567;2;2;05;04;5;3;3;6;662.72062539;26.472437127
032025;2;20230300036568;2;2;05;04;1;1;1;6;389.83783941;108.07357425
032025;2;20230300036569;2;2;05;05;7;1;1;6;1202.9363398;23.361313823
032025;2;20230300036585;2;2;05;04;1;1;1;6;386.54193571;324.22072274
032025;2;20230300036586;2;2;05;04;2;3;1;6;397.07736949;37.728495405
032025;2;20230300037569;2;2;05;04;7;3;2;6;647.16474926;33.666021495
032025;2;20240100004669;2;2;12;13;6;1;1;6;1602.8489333;723.95535717
032025;2;20240100011750;2;2;12;13;1;1;1;6;1090.5994726;609.84862267
032025;2;20240100015897;2;2;12;13;45;3;3;6;3608.9772779;305.95116431
032025;2;20240200030201;2;2;12;13;7;3;1;6;899.98952896;436.04134523
032025;2;20240300005264;2;2;12;13;6;3;1;6;1033.2142693;872.08269046
032025;2;20240300016896;2;2;14;09;6;1;1;6;2293.1641717;461.40165591
032025;2;20240300017796;2;2;12;13;2;1;1;6;1384.0319876;457.43142226
032025;2;20240300025504;2;2;14;09;6;1;1;6;2293.1641717;461.40165591
032025;2;20240300025570;2;2;14;09;4;1;2;6;1964.7237226;750.37686454
032025;2;20240300025649;2;2;12;09;3;1;1;6;1175.4491406;977.24724518
032025;2;20240300026178;2;2;12;09;5;1;1;6;1538.5195514;584.4937486
032025;2;20240300026635;2;2;14;10;16;1;2;6;4590.2402334;494.21943371
032025;2;20240300029443;8;1;03;07;1;1;1;6;194.37027335;294.86518992
032025;2;20240300030870;2;2;03;04;1;3;1;6;340.01686707;34.803459778
032025;2;20240300030881;2;2;03;04;1;3;3;6;340.01686707;17.174355411
032025;2;20240300030894;2;2;03;04;4;1;1;1;918.77148796;33.526612731
032025;2;20240300030895;2;2;03;04;15;3;1;6;1175.8623395;24.476877065
032025;2;20250100000808;8;3;03;09;5;1;1;6;826.05204711;80.700715379
032025;2;20250100000814;8;3;03;01;7;1;1;6;1188.5316512;48.747167731
032025;2;20250100000945;2;2;15;09;2;1;1;6;1604.6373662;885.1532635
032025;2;20250100002178;8;3;03;11;5;2;1;6;752.19922774;24.720742478
032025;2;20250100002188;8;3;03;01;21;2;1;6;1541.4437315;1.6418706242
032025;2;20250100002191;8;3;03;10;4;2;1;6;919.84613774;144.77227995
032025;2;20250100002196;8;3;03;10;11;2;1;6;1388.180555;71.940724215
032025;2;20250100002386;2;2;14;13;7;3;3;6;1672.5149929;572.06460811
032025;2;20250100003078;2;2;14;13;8;1;1;6;3007.6602138;78.558985496
032025;2;20250100003188;2;2;14;09;6;1;1;6;1995.3275506;498.30360008
032025;2;20250100003789;8;2;09;04;10;3;3;6;1010.0080134;205.75866854
032025;2;20250100003815;2;2;09;04;5;2;3;6;1316.5803364;1902.8487422
032025;2;20250100003816;2;2;09;04;3;1;3;6;955.42066041;131.23511861
032025;2;20250100003817;2;2;09;10;7;1;3;6;1246.8102713;123.57206906
032025;2;20250100004682;8;3;03;01;21;2;1;6;1525.6101196;3.2837412483
032025;2;20250100004686;8;3;03;01;3;2;1;6;443.38422112;314.56977034
032025;2;20250100004687;8;3;03;01;15;2;1;6;1248.2497856;11.925454747
032025;2;20250100006635;2;2;14;13;7;1;1;6;2521.6350758;1108.4203388
032025;2;20250100007188;8;1;07;07;1;1;1;6;237.52627511;444.37515895
032025;2;20250100007368;8;3;03;01;7;2;1;6;943.45809539;66.570677368
032025;2;20250100007925;2;2;14;05;7;1;1;6;2838.0150904;612.500932
032025;2;20250100008698;2;2;15;13;6;2;1;6;3193.5064732;2850.1363281
032025;2;20250100008704;2;2;12;09;7;1;1;6;1836.0853649;349.58700968
032025;2;20250100008773;2;2;15;09;2;1;1;6;2257.459425;1770.306527
032025;2;20250100008777;2;2;15;09;2;1;1;6;1291.6506229;885.1532635
032025;2;20250100008813;8;2;05;04;5;2;3;6;530.16510847;190.57444514
032025;2;20250100011816;2;2;12;09;10;3;1;6;856.93892775;1133.0547654
032025;2;20250100011900;2;2;14;02;17;3;3;6;2781.0677198;150.46546497
032025;2;20250100011937;2;2;14;13;4;1;1;6;1991.8308075;733.09410156
032025;2;20250100012005;2;2;14;13;4;3;1;6;1808.6201821;407.65300215
032025;2;20250100012101;2;1;03;12;6;3;3;6;508.0235861;270.46165208
032025;2;20250100012810;2;2;12;09;4;1;1;6;1408.147361;217.66230862
032025;2;20250100014047;2;1;08;01;42;2;1;6;3777.1998714;35.508025126
032025;2;20250100014059;2;1;08;01;14;3;1;6;2148.7854609;262.51776968
032025;2;20250100014568;8;1;08;10;22;3;1;6;992.6876682;312.81071363
032025;2;20250100016809;2;2;15;09;3;1;1;6;2539.8762926;646.2800933
032025;2;20250100018319;2;1;07;09;2;3;1;6;367.85585731;465.85571985
032025;2;20250100018552;2;2;15;09;30;3;1;6;3920.6474003;1780.9569957
032025;2;20250100019289;2;2;12;10;4;3;3;6;822.14139254;12.366013385
032025;2;20250100019290;2;2;12;10;35;3;3;6;2367.3318409;49.464053541
032025;2;20250100019291;2;2;12;10;6;1;1;6;1129.4674227;42.017209012
032025;2;20250100019292;2;2;12;10;4;1;1;6;995.65909028;48.774560726
