mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
022024;2;20230100005568;2;2;15;16;14;3;3;6;3973.0760276;394.6499649
022024;2;20230100005693;2;2;12;10;37;3;1;6;2391.6854492;565.89251161
022024;2;20230100007956;2;2;15;13;14;3;1;6;4041.7370721;632.59694076
022024;2;20230100008126;2;2;15;13;21;3;1;6;5031.9279639;632.59694076
022024;2;20230100008177;8;2;15;13;9;3;1;6;3444.8530248;1265.1938815
022024;2;20230100014348;2;2;12;09;3;1;1;6;916.19168827;788.82988486
022024;2;20230100015203;2;2;12;16;16;1;1;6;3949.2068619;712.63407953
022024;2;20230100022674;8;2;12;09;1;1;1;6;709.73287672;388.699853
022024;2;20230100027550;2;2;12;09;4;1;1;6;1319.4976574;280.93629702
022024;2;20230200000795;2;1;08;01;1;3;1;6;449.66712736;166.4140696
022024;2;20230200000808;8;1;08;01;11;1;3;6;1497.593649;187.73607127
022024;2;20230200000832;8;3;01;01;33;1;3;6;2679.7326657;328.2811296
022024;2;20230200001493;8;1;03;11;3;3;1;6;376.54973212;5003.8411881
022024;2;20230200001566;8;3;06;07;1;1;3;6;662.86016628;273.62627556
022024;2;20230200002849;8;1;08;01;5;3;1;6;536.79662169;135.01990936
022024;2;20230200003751;2;2;14;16;5;1;1;6;2489.8391671;492.3733587
022024;2;20230200004227;2;2;12;13;2;1;1;6;1340.904471;923.81140374
022024;2;20230200004638;2;2;14;09;8;1;2;6;3073.2472387;103.4470114
022024;2;20230200005116;2;1;03;02;2;3;1;6;238.52302933;1186.2213194
022024;2;20230200007162;2;1;08;01;10;1;1;1;2655.9406081;386.81991007
022024;2;20230200007165;2;1;08;01;60;3;1;6;4600.7902012;166.4140696
022024;2;20230200007169;2;1;08;01;40;2;1;6;2823.2046281;631.72390194
022024;2;20230200007171;2;1;08;01;30;2;1;6;2146.9754803;291.46476015
022024;2;20230200007181;2;1;08;01;3;1;1;6;1439.5482162;264.64376945
022024;2;20230200007209;8;3;06;10;20;1;1;6;2017.0394833;417.80204242
022024;2;20230200007470;2;2;14;16;9;1;1;6;3900.1347809;1037.1063906
022024;2;20230200008326;2;2;15;13;4;1;1;6;3897.7500899;1102.9616907
022024;2;20230200008328;2;2;15;09;3;2;1;6;2727.3066858;4230.1275286
022024;2;20230200008359;2;2;14;09;26;2;1;6;4733.8329119;974.86455006
022024;2;20230200008499;2;1;03;02;6;3;3;6;440.01529615;773.48300183
022024;2;20230200009026;2;2;14;09;5;1;1;6;1744.7563545;207.41332036
022024;2;20230200009066;2;2;15;09;2;1;2;6;2637.4024168;954.53929076
022024;2;20230200009540;8;3;15;14;15;1;2;6;3075.6342191;134.90807074
022024;2;20230200009542;8;3;15;01;7;1;2;6;1673.668699;468.75218555
022024;2;20230200010043;2;2;14;09;6;1;1;6;2469.4519512;156.54973011
022024;2;20230200010482;2;1;03;02;4;1;2;6;422.02730128;175.14888213
022024;2;20230200010719;2;2;15;09;21;3;1;6;3463.2284317;1989.8101434
022024;2;20230200011772;2;1;03;15;1;3;1;6;166.06427437;1001.2797511
022024;2;20230200011792;2;1;03;02;1;1;1;6;253.04197694;979.88985678
022024;2;20230200013225;2;1;03;16;4;3;1;6;401.51093267;1813.0307768
022024;2;20230200013328;2;1;08;01;5;2;1;6;811.06186844;293.09475782
022024;2;20230200013329;2;1;08;14;21;2;1;6;1678.4062301;165.33658427
022024;2;20230200013352;2;1;03;10;27;2;1;6;2253.0003565;52.204205359
022024;2;20230200013359;2;1;03;02;5;1;2;6;953.70484821;93.901526036
022024;2;20230200013557;2;2;14;16;4;1;2;6;2369.5637844;711.15988103
022024;2;20230200015001;2;2;14;13;8;2;1;6;2790.796169;798.78911668
022024;2;20230200015411;2;1;03;10;2;1;3;6;453.27078315;1117.3081464
022024;2;20230200017188;2;1;03;16;3;1;1;6;654.55093848;515.88964362
022024;2;20230200017204;2;1;03;12;15;3;3;6;889.17915671;1416.5201595
022024;2;20230200017233;8;1;08;01;4;1;1;6;926.19442749;237.27773914
022024;2;20230200017270;2;1;08;01;60;2;1;6;3591.7574161;248.58710695
022024;2;20230200018224;2;2;03;04;13;3;1;6;1079.2983954;4.5903553195
022024;2;20230200018225;2;2;03;04;5;3;1;6;684.55317376;6.8855329792
022024;2;20230200018227;2;2;03;04;4;3;3;6;615.45362374;5.9863395708
022024;2;20230200018228;2;2;03;04;7;3;3;6;761.89559041;1.2487969277
022024;2;20230200018316;2;2;03;04;7;3;1;6;1081.5679;6.8855329792
022024;2;20230200018318;2;2;03;04;5;3;3;6;684.55317376;1.2487969277
022024;2;20230200018319;2;2;03;04;4;3;1;6;615.45362374;2.2951776597
022024;2;20230200019392;2;2;12;09;2;1;2;6;1127.4742345;321.14645823
022024;2;20230200019395;2;2;12;09;14;3;3;6;1389.3853423;385.40658894
022024;2;20230200020227;8;2;12;14;3;1;2;6;1423.9653232;858.51476069
022024;2;20230200020498;2;1;03;16;4;1;1;6;613.99183304;276.58083918
022024;2;20230200021347;2;2;12;09;3;1;1;6;1143.2150979;197.20747122
022024;2;20230200021381;2;2;15;09;2;1;1;6;1841.4009258;3291.6945953
022024;2;20230200021458;2;2;15;09;3;1;1;6;2724.8423405;529.60010034
022024;2;20230200021618;2;1;03;16;1;1;1;6;308.71447758;1794.8421039
022024;2;20230200022461;2;1;03;16;1;1;1;6;200.71300343;1794.8421039
022024;2;20230200024118;2;1;03;02;7;3;1;6;327.17561276;1186.2213194
022024;2;20230200024127;2;1;03;02;6;1;1;6;657.90990054;43.401392544
022024;2;20230200025026;2;1;03;16;2;1;1;6;511.02615894;962.25799728
022024;2;20230200025038;2;1;03;16;1;1;1;6;308.71447758;1794.8421039
022024;2;20230200025044;2;1;03;16;2;1;1;6;855.78044716;962.25799728
022024;2;20230200025099;2;1;03;02;2;1;1;6;287.81648744;525.34250734
022024;2;20230200025100;2;1;03;02;2;1;1;6;287.81648744;525.34250734
022024;2;20230200025400;2;2;12;09;2;2;1;6;913.55135178;1344.4693123
022024;2;20230200025475;8;2;14;01;5;1;1;6;1980.037835;674.35195589
022024;2;20230200026111;2;2;12;09;6;1;1;6;1916.9541535;142.53346452
022024;2;20230200026165;2;2;12;09;10;1;1;6;2263.110703;23.511934334
022024;2;20230200026166;2;2;15;09;1;1;1;6;2170.6981822;1278.7069552
022024;2;20230200026454;2;1;03;15;4;2;1;6;566.50597388;384.48388157
022024;2;20230200027270;2;1;03;16;2;3;1;6;295.17036419;1762.8789119
