A0_1;C9_0;ccaa_etapa;pernoc_etapa
20230100005568;01;16;12
20230100005568;02;09;2
20230100005693;01;10;37
20230100007956;01;13;14
20230100008126;01;13;21
20230100008177;01;13;5
20230100008177;02;09;4
20230100014348;01;09;3
20230100015203;01;16;16
20230100022674;01;09;1
20230100027550;01;09;4
20230200000795;01;01;1
20230200000808;01;01;11
20230200000832;01;01;33
20230200001493;01;11;1
20230200001493;02;07;1
20230200001493;03;15;1
20230200001566;01;07;1
20230200002849;01;01;1
20230200002849;02;01;2
20230200002849;03;11;2
20230200003751;01;13;1
20230200003751;02;16;4
20230200004227;01;13;2
20230200004638;01;09;8
20230200005116;01;02;2
20230200007162;01;01;10
20230200007165;01;01;60
20230200007169;01;01;40
20230200007171;01;10;10
20230200007171;02;01;19
20230200007171;03;01;1
20230200007181;01;01;3
20230200007209;01;10;20
20230200007470;01;16;7
20230200007470;02;16;2
20230200008326;01;13;2
20230200008326;02;09;2
20230200008328;01;09;3
20230200008359;01;09;5
20230200008359;02;09;21
20230200008499;01;02;6
20230200009026;01;09;5
20230200009066;01;09;2
20230200009540;01;14;15
20230200009542;01;10;2
20230200009542;02;10;1
20230200009542;03;01;4
20230200010043;01;09;6
20230200010482;01;02;4
20230200010719;01;09;21
20230200011772;01;15;1
20230200011792;01;02;1
20230200013225;01;16;4
20230200013328;01;01;4
20230200013328;02;07;1
20230200013329;01;09;3
20230200013329;02;14;12
20230200013329;03;01;3
20230200013329;04;01;3
20230200013352;01;02;4
20230200013352;02;10;21
20230200013352;03;02;2
20230200013359;01;02;5
20230200013557;01;16;4
20230200015001;01;13;5
20230200015001;02;09;3
20230200015411;01;10;2
20230200017188;01;16;1
20230200017188;02;16;1
20230200017188;03;16;1
20230200017204;01;12;15
20230200017233;01;07;1
20230200017233;02;11;1
20230200017233;03;01;2
20230200017270;01;10;15
20230200017270;02;01;20
20230200017270;03;01;25
20230200018224;01;04;13
20230200018225;01;04;5
20230200018227;01;04;4
20230200018228;01;04;7
20230200018316;01;04;7
20230200018318;01;04;5
20230200018319;01;04;4
20230200019392;01;09;2
20230200019395;01;09;14
20230200020227;01;14;3
20230200020498;01;16;4
20230200021347;01;09;3
20230200021381;01;09;2
20230200021458;01;09;3
20230200021618;01;16;1
20230200022461;01;16;1
20230200024118;01;02;7
20230200024127;01;02;6
20230200025026;01;16;2
20230200025038;01;16;1
20230200025044;01;16;2
20230200025099;01;02;2
20230200025100;01;02;2
20230200025400;01;09;2
20230200025475;01;01;2
20230200025475;02;01;2
20230200025475;03;13;1
20230200026111;01;09;6
20230200026165;01;13;4
20230200026165;02;09;6
20230200026166;01;09;1
20230200026454;01;15;4
20230200027270;01;16;2
20230200027290;01;16;1
20230200027308;01;16;1
20230200029348;01;15;1
20230200029348;02;08;1
20230200029348;03;01;1
20230200029348;04;01;14
20230200029348;05;01;3
20230200029348;06;12;2
20230200029348;07;12;2
20230200029348;08;07;2
20230200029348;09;07;2
20230200029348;10;07;2
20230200029348;11;16;1
20230200029360;01;16;1
20230200029360;02;07;1
20230200029371;01;01;1
20230200029371;02;11;1
20230200029371;03;07;2
20230200030600;01;02;5
20230200032660;01;02;1
20230200032675;01;09;1
20230200032943;01;09;4
20230200033049;01;13;7
20230200033601;01;09;21
20230200033696;01;09;20
20230200033697;01;09;25
20230200033865;01;13;4
20230200034410;01;09;3
20230200034410;02;13;5
20230200034516;01;01;4
20230200034519;01;01;8
20230200034520;01;10;4
20230200034520;02;10;2
20230200034522;01;10;8
20230200034523;01;10;7
20230200034524;01;10;20
20230300000829;01;09;20
20230300001734;01;13;3
20230300003050;01;09;4
20230300003050;02;16;1
20230300003179;01;16;2
20230300003182;01;05;30
20230300003227;01;13;5
20230300004825;01;09;7
20230300004826;01;09;9
20230300005014;01;07;14
20230300005034;01;13;2
20230300005034;02;09;2
20230300008492;01;09;14
20230300009066;01;05;3
20230300009067;01;13;12
20230300009071;01;13;7
20230300009969;01;16;6
20230300010055;01;13;15
20230300010232;01;13;1
20230300010830;01;09;13
20230300010978;01;01;1
20230300010978;02;01;6
20230300012438;01;01;1
20230300012438;02;01;1
20230300012438;03;13;1
20230300012438;04;09;7
20230300013193;01;13;2
20230300013804;01;09;2
20230300013804;02;10;7
20230300013804;03;01;7
20230300013804;04;01;2
20230300013804;05;01;5
20230300013931;01;09;6
20230300015193;01;13;2
20230300015193;02;09;4
20230300015193;03;01;4
20230300015197;01;13;4
20230300016783;01;13;20
20230300018284;01;09;3
20230300018365;01;09;2
20230300018568;01;13;4
20230300018568;02;01;3
20230300019510;01;13;7
20230300023508;01;04;5
20230300023509;01;04;7
20230300023598;01;04;3
20230300023600;01;04;3
20230300024529;01;13;5
20230300025997;01;02;57
20230300025997;02;10;1
20230300025997;03;16;1
20230300027984;01;13;4
20230300027984;02;09;5
20230300031095;01;13;1
20230300033715;01;04;3
20230300033717;01;04;2
20230300033739;01;04;1
20230300033741;01;04;21
20230300033742;01;04;2
20230300034449;01;16;5
20230300034773;01;10;5
20230300034774;01;10;5
20230300034775;01;10;27
20230300034776;01;10;5
20230300034777;01;10;5
20230300034778;01;01;4
20230300034778;02;13;1
20230300034778;03;10;2
20230300034779;01;09;2
20230300034780;01;10;3
20230300034780;02;07;13
20230300034781;01;10;3
20230300034782;01;10;4
20230300034783;01;10;7
20230300037547;01;04;1
20230300037547;02;04;1
20230300037547;03;04;1
20230300037548;01;04;1
20230300037548;02;04;1
20230300037548;03;04;1
20230300037566;01;04;3
20230300037567;01;04;3
20230300037568;01;04;3
20230300038284;01;13;31
20230300038357;01;10;14
20230300038357;02;01;1
20230300038357;03;14;2
20230300038358;01;01;7
20230300038358;02;13;6
20230300038362;01;13;6
20230300038369;01;13;7
20230300038370;01;13;6
20240100000429;01;04;9
20240100000682;01;10;5
20240100000683;01;10;12
20240100000684;01;10;10
20240100000685;01;10;1
20240100000686;01;10;7
20240100000686;02;01;2
20240100000687;01;10;10
20240100000689;01;10;15
20240100000691;01;10;60
20240100000692;01;10;10
20240100000693;01;10;7
20240100001815;01;03;40
20240100001831;01;09;13
20240100001850;01;09;4
20240100003012;01;10;30
20240100003210;01;09;13
20240100003311;01;01;4
20240100003311;02;01;2
20240100003312;01;13;14
20240100003313;01;07;11
20240100003314;01;13;10
20240100003443;01;01;14
20240100003444;01;13;14
20240100003445;01;13;21
20240100003446;01;13;3
20240100003446;02;07;10
20240100003447;01;12;10
20240100003448;01;07;12
20240100003450;01;13;3
20240100003451;01;13;14
20240100003532;01;13;15
20240100003533;01;13;12
20240100003534;01;12;5
20240100003534;02;13;3
20240100003535;01;13;14
20240100003706;01;01;8
20240100003914;01;04;14
20240100003915;01;04;7
20240100003916;01;04;5
20240100004270;01;12;1
20240100004314;01;16;2
20240100004669;01;13;6
20240100005197;01;02;25
20240100006317;01;10;4
20240100006318;01;10;14
20240100006318;02;09;3
20240100006396;01;10;3
20240100006397;01;10;2
20240100006476;01;16;10
20240100006732;01;16;3
20240100006732;02;13;2
20240100006948;01;07;9
20240100007183;01;04;5
20240100007184;01;04;21
20240100007185;01;04;100
20240100007186;01;05;5
20240100007208;01;04;3
20240100007209;01;04;5
20240100007868;01;09;13
20240100007904;01;09;14
20240100008177;01;07;1
20240100008227;01;09;2
20240100008236;01;01;3
20240100008236;02;10;2
20240100008236;03;09;3
20240100008605;01;07;1
20240100008661;01;10;3
20240100009009;01;16;4
20240100009419;01;13;20
20240100009516;01;05;4
20240100009518;01;13;1
20240100009557;01;13;6
20240100009557;02;09;4
20240100009558;01;13;15
20240100009559;01;13;23
20240100009595;01;13;20
20240100009628;01;08;14
20240100009684;01;01;7
20240100009692;01;01;12
20240100009700;01;09;1
20240100009700;02;01;3
20240100009700;03;01;10
20240100010288;01;09;3
20240100010299;01;13;2
20240100010299;02;09;3
20240100010526;01;09;1
20240100010793;01;04;21
20240100011306;01;10;6
20240100011307;01;10;6
20240100011308;01;10;10
20240100011308;02;01;4
20240100011311;01;10;30
20240100011311;02;13;2
20240100011312;01;13;12
20240100011312;02;10;2
20240100011313;01;10;21
20240100011314;01;10;14
20240100011315;01;13;21
