A0_1;C9_0;ccaa_etapa;pernoc_etapa
20201200016828;01;09;90
20201200020655;01;09;6
20211000011266;01;14;9
20211000011267;01;01;4
20211000011268;01;01;9
20211000011269;01;10;4
20211000011270;01;10;14
20211000011271;01;01;11
20211000011273;01;14;7
20211000011277;01;14;14
20211000011281;01;14;7
20211000011330;01;01;21
20211000011331;01;10;14
20211000011333;01;14;6
20211000011336;01;10;20
20211000011337;01;14;15
20211000011338;01;14;7
20211000014863;01;13;3
20211000021777;01;13;74
20211000043542;01;14;7
20211000043543;01;10;7
20211000043547;01;13;21
20211000043547;02;14;1
20211000043548;01;14;6
20211000043549;01;14;14
20211000043551;01;14;7
20211000043552;01;14;10
20211000043553;01;14;10
20211100006616;01;10;7
20211100006617;01;14;60
20211100006618;01;14;49
20211100006619;01;14;15
20211100012880;01;13;4
20211100013885;01;14;7
20211100013887;01;14;42
20211100013890;01;01;13
20211100013891;01;14;4
20211100013892;01;14;6
20211100013892;02;14;5
20211100019451;01;09;3
20211100032836;01;01;7
20211100032836;02;10;7
20211200001125;01;09;29
20211200001126;01;07;1
20211200001126;02;16;4
20211200001127;01;01;30
20211200001128;01;07;1
20211200001129;01;06;2
20211200001131;01;13;21
20211200001132;01;09;8
20211200001132;02;09;32
20211200009248;01;13;2
20211200018213;01;07;1
20221000003930;01;09;2
20221000003930;02;13;1
20221000006063;01;04;10
20221000006064;01;04;3
20221000006065;01;04;3
20221000006066;01;04;5
20221000006106;01;04;13
20221000006107;01;04;7
20221000006108;01;04;5
20221000006109;01;04;7
20221000006145;01;04;3
20221000006146;01;04;7
20221000006147;01;04;7
20221000006149;01;04;7
20221000006150;01;04;3
20221000006151;01;04;7
20221000007427;01;04;7
20221000007428;01;04;4
20221000007429;01;04;7
20221000007429;02;04;7
20221000007430;01;04;4
20221000007431;01;04;7
20221000007546;01;04;7
20221000007547;01;04;7
20221000007548;01;04;7
20221000007549;01;04;7
20221000007550;01;04;12
20221000008876;01;04;7
20221000008877;01;04;12
20221000008878;01;04;7
20221000008879;01;04;7
20221000008880;01;04;8
20221000009321;01;04;7
20221000009322;01;04;7
20221000009325;01;04;11
20221000009326;01;04;7
20221000009327;01;04;7
20221000009328;01;04;10
20221000009331;01;04;30
20221000009332;01;04;11
20221000009334;01;04;4
20221000009335;01;04;4
20221000009411;01;04;7
20221000009414;01;04;10
20221000009418;01;04;7
20221000009419;01;04;10
20221000009420;01;04;10
20221000009421;01;04;7
20221000009424;01;04;36
20221000009427;01;04;7
20221000009429;01;04;4
20221000010824;01;04;5
20221000010850;01;04;6
20221000010873;01;04;7
20221000010874;01;04;4
20221000010922;01;04;6
20221000010924;01;04;10
20221000012794;01;09;2
20221000012794;02;13;3
20221000013146;01;04;3
20221000013150;01;04;13
20221000013151;01;04;14
20221000013154;01;04;7
20221000013155;01;04;7
20221000013156;01;04;7
20221000013157;01;04;7
20221000013162;01;04;7
20221000013163;01;04;7
20221000013167;01;04;7
20221000013168;01;04;7
20221000013169;01;04;7
20221000013388;01;01;5
20221000013406;01;09;7
20221000013431;01;16;4
20221000013431;02;09;3
20221000014591;01;13;5
20221000014709;01;04;6
20221000014710;01;04;7
20221000014711;01;04;4
20221000014712;01;04;8
20221000014773;01;04;7
20221000014774;01;04;7
20221000015293;01;09;14
20221000016447;01;04;2
20221000016530;01;10;14
20221000018146;01;09;4
20221000018146;02;13;4
20221000019213;01;04;2
20221000019370;01;04;7
20221000019371;01;04;4
20221000019373;01;04;100
20221000019375;01;04;32
20221000019376;01;04;14
20221000019377;01;04;10
20221000019378;01;04;7
20221000019379;01;04;7
20221000019410;01;04;7
20221000019412;01;04;7
20221000019413;01;04;5
20221000019414;01;04;7
20221000019425;01;04;7
20221000019426;01;04;7
20221000019428;01;04;30
20221000019431;01;04;8
20221000020075;01;09;14
20221000020076;01;13;3
20221000020076;02;01;2
20221000020076;03;01;1
20221000020076;04;01;1
20221000020076;05;09;5
20221000020077;01;09;3
20221000020077;02;04;3
20221000020077;03;16;3
20221000020107;01;09;6
20221000020109;01;04;3
20221000020837;01;10;14
20221000020837;02;16;2
20221000022186;01;13;5
20221000022213;01;13;9
20221000022217;01;09;4
20221000022217;02;13;3
20221000022370;01;04;4
20221000022372;01;04;14
20221000022374;01;04;4
20221000022375;01;04;7
20221000022376;01;04;7
20221000022412;01;04;7
20221000022413;01;04;8
20221000022415;01;04;4
20221000022547;01;04;7
20221000022548;01;04;7
20221000022549;01;04;14
20221000022550;01;04;10
20221000022679;01;09;4
20221000022681;01;09;6
20221000023853;01;04;29
20221000024295;01;09;2
20221000024295;02;13;2
20221000024929;01;04;2
20221000024966;01;13;3
20221000024966;02;09;2
20221000024966;03;04;2
20221000024968;01;04;3
20221000024973;01;13;3
20221000024973;02;04;3
20221000025006;01;04;1
20221000026386;01;09;3
20221000026426;01;09;5
20221000026427;01;09;2
20221000027047;01;04;7
20221000027233;01;13;5
20221000027234;01;13;5
20221000027236;01;13;30
20221000027236;02;06;5
20221000027609;01;09;1
20221000027635;01;09;4
20221000028700;01;04;7
20221000028701;01;04;7
20221000028702;01;04;7
20221000028703;01;04;8
20221000028703;02;01;3
20221000028704;01;04;7
20221000028843;01;04;7
20221000028844;01;04;10
20221000028845;01;04;3
