A0_1;C9_0;ccaa_etapa;pernoc_etapa
20230100000001;01;09;14
20230100000002;01;09;5
20230100000004;01;09;4
20230100000579;01;09;14
20230100000579;02;13;5
20230100000579;03;09;7
20230100000641;01;09;6
20230100000645;01;09;2
20230100000645;02;13;2
20230100001560;01;13;12
20230100001808;01;15;14
20230100001826;01;10;8
20230100001827;01;10;1
20230100001827;02;01;2
20230100001829;01;01;3
20230100001830;01;10;1
20230100001831;01;10;1
20230100002007;01;13;10
20230100002028;01;13;12
20230100002037;01;16;15
20230100002786;01;13;5
20230100002797;01;10;7
20230100003352;01;04;5
20230100003353;01;04;8
20230100003386;01;17;15
20230100003461;01;03;10
20230100003461;02;13;4
20230100004351;01;09;5
20230100004973;01;04;5
20230100004974;01;04;6
20230100005119;01;04;7
20230100005121;01;04;6
20230100005122;01;04;14
20230100005428;01;10;21
20230100005526;01;10;10
20230100005528;01;10;10
20230100005529;01;10;4
20230100005561;01;16;14
20230100005568;01;16;12
20230100005568;02;09;2
20230100005693;01;10;37
20230100006530;01;15;2
20230100006532;01;01;1
20230100006535;01;07;1
20230100006664;01;11;1
20230100006702;01;01;10
20230100006889;01;09;14
20230100006957;01;04;5
20230100006958;01;04;14
20230100006959;01;04;15
20230100006961;01;04;14
20230100006962;01;04;3
20230100007956;01;13;14
20230100008126;01;13;21
20230100008177;01;13;5
20230100008177;02;09;4
20230100008370;01;12;1
20230100008588;01;09;7
20230100008589;01;09;11
20230100008590;01;09;4
20230100008591;01;01;21
20230100008627;01;09;7
20230100008661;01;09;3
20230100008665;01;09;3
20230100008666;01;09;3
20230100008667;01;09;3
20230100008668;01;09;4
20230100008696;01;09;3
20230100008697;01;04;20
20230100008749;01;09;3
20230100008751;01;09;5
20230100009746;01;01;1
20230100010354;01;09;5
20230100010354;02;13;2
20230100010354;03;05;9
20230100010681;01;09;12
20230100010682;01;09;10
20230100010684;01;09;8
20230100010685;01;01;3
20230100010685;02;09;3
20230100010826;01;09;3
20230100010829;01;09;5
20230100011104;01;16;14
20230100011609;01;13;11
20230100011708;01;04;12
20230100012056;01;09;4
20230100012056;02;13;2
20230100012056;03;13;22
20230100012057;01;07;1
20230100012063;01;13;2
20230100012616;01;10;30
20230100012616;02;16;2
20230100012618;01;08;28
20230100012619;01;10;2
20230100012620;01;10;2
20230100012621;01;10;1
20230100012623;01;10;7
20230100012624;01;10;22
20230100012705;01;10;7
20230100012707;01;10;4
20230100012708;01;10;3
20230100013126;01;01;1
20230100013127;01;13;1
20230100013127;02;14;1
20230100013207;01;11;3
20230100013379;01;09;2
20230100013464;01;09;3
20230100013500;01;09;6
20230100013500;02;13;1
20230100014234;01;09;7
20230100014348;01;09;3
20230100015203;01;16;16
20230100016334;01;04;4
20230100016335;01;04;6
20230100016336;01;04;23
20230100016336;02;04;7
20230100016356;01;04;17
20230100016358;01;04;4
20230100016687;01;10;30
20230100016688;01;10;10
20230100016691;01;10;2
20230100016692;01;10;1
20230100016861;01;10;1
20230100016863;01;10;30
20230100017180;01;10;21
20230100017274;01;07;1
20230100017283;01;07;2
20230100017286;01;07;2
20230100017288;01;07;2
20230100017295;01;17;1
20230100017301;01;07;2
20230100017512;01;11;2
20230100018826;01;09;2
20230100019322;01;11;5
20230100019562;01;04;8
20230100019566;01;04;21
20230100019590;01;04;4
20230100019591;01;04;10
20230100019592;01;04;30
20230100020271;01;07;1
20230100020271;02;07;2
20230100020312;01;01;21
20230100020314;01;01;60
20230100020318;01;01;10
20230100020357;01;01;11
20230100020366;01;01;14
20230100020385;01;10;3
20230100020386;01;01;2
20230100020387;01;01;2
20230100020388;01;01;60
20230100020389;01;01;1
20230100020390;01;10;1
20230100021239;01;14;1
20230100021239;02;14;1
20230100021239;03;09;1
20230100021385;01;01;2
20230100021387;01;01;2
20230100021389;01;01;3
20230100021390;01;01;3
20230100021391;01;09;25
20230100021392;01;01;4
20230100021393;01;01;2
20230100021394;01;13;1
20230100021484;01;09;6
20230100021485;01;09;2
20230100021487;01;09;4
20230100021592;01;09;105
20230100021593;01;09;4
20230100021594;01;09;4
20230100021595;01;09;6
20230100021599;01;09;10
20230100021600;01;04;7
20230100021602;01;09;4
20230100022125;01;13;8
20230100022674;01;09;1
20230100023500;01;02;10
20230100023500;02;13;4
20230100024313;01;13;40
20230100024318;01;02;4
20230100024322;01;09;2
20230100024323;01;01;2
20230100025173;01;09;14
20230100025174;01;09;6
20230100025175;01;09;7
20230100025176;01;10;12
20230100025265;01;09;4
20230100025267;01;09;4
20230100025268;01;09;3
20230100025485;01;01;2
20230100025495;01;01;95
20230100025496;01;10;3
20230100025496;02;01;1
20230100025501;01;01;1
20230100025503;01;09;1
20230100025512;01;01;3
20230100025522;01;01;5
20230100025547;01;16;1
20230100025547;02;01;1
20230100025547;03;11;2
20230100025565;01;01;1
20230100025573;01;01;1
20230100025574;01;07;1
20230100025576;01;01;1
20230100025584;01;01;2
20230100025598;01;01;2
20230100025618;01;10;1
20230100025618;02;01;1
20230100025620;01;10;2
20230100026364;01;09;7
20230100026629;01;09;4
20230100026629;02;09;4
20230100026629;03;13;6
20230100026629;04;07;2
20230100026631;01;01;3
20230100026632;01;04;1
20230100027260;01;10;60
20230100027261;01;10;7
20230100027262;01;10;1
20230100027263;01;10;2
20230100027264;01;10;3
20230100027266;01;10;20
20230100027267;01;10;6
20230100027318;01;10;8
20230100027319;01;10;6
20230100027320;01;04;9
20230100027414;01;09;7
20230100027416;01;09;5
20230100027416;02;13;4
20230100027453;01;09;1
20230100027454;01;09;4
20230100027456;01;09;7
20230100027523;01;09;3
20230100027548;01;09;5
20230100027549;01;09;1
20230100027550;01;09;4
20230100027919;01;01;10
20230100028480;01;04;7
20230100028481;01;04;7
20230100028482;01;04;30
20230100028483;01;04;22
20230100028484;01;04;8
20230100028485;01;04;7
20230100028488;01;04;7
20230100028491;01;04;21
20230100028492;01;04;4
20230100028493;01;04;4
20230100028495;01;04;4
20230100028496;01;04;30
20230100028497;01;04;5
20230100029250;01;15;48
20230100029250;02;09;2
20230100029752;01;01;21
20230100029792;01;01;1
20230100029800;01;01;1
20230100029806;01;01;10
20230100029856;01;10;1
20230100029858;01;14;1
20230100029877;01;10;30
20230100029877;02;12;6
20230100029878;01;10;14
20230100029878;02;13;2
20230100029878;03;10;7
20230100029878;04;07;1
20230100030408;01;04;7
20230100030409;01;04;4
20230100030610;01;04;6
20230100030612;01;04;6
20230100030613;01;04;4
20230100032594;01;12;3
20230100032633;01;01;1
20230100032633;02;01;2
20230100032633;03;01;3
20230100032634;01;01;1
20230100032635;01;09;1
20230100032635;02;10;1
20230100032636;01;01;2
20230100032639;01;01;1
20230100033241;01;04;3
20230100033242;01;04;3
20230100033243;01;04;2
20230100033303;01;04;3
20230100033305;01;04;6
20230100033306;01;04;3
20230100033504;01;10;35
20230100033505;01;01;2
20230100033505;02;10;5
20230100033506;01;10;35
20230100033509;01;10;2
20230100033658;01;10;4
20230100033662;01;10;4
20230100033663;01;10;2
20230100033665;01;10;35
20230100033927;01;07;1
20230100034044;01;10;7
20230100034045;01;01;5
20230100034046;01;10;9
20230100034074;01;10;14
20230100034077;01;14;7
20230100034551;01;04;30
20230100034552;01;04;2
20230100034553;01;04;5
20230100034554;01;04;2
20230100034631;01;04;2
20230100034632;01;04;10
20230100034633;01;04;60
20230100034634;01;04;3
20230100035048;01;09;6
20230100035084;01;09;3
20230100035085;01;09;3
20230100035086;01;09;1
20230100035087;01;09;4
20230100035177;01;09;3
20230100035179;01;09;1
20230100035345;01;01;20
20230100035350;01;01;50
20230100035382;01;01;2
20230100035406;01;01;1
20230100035413;01;10;5
20230100035413;02;01;5
20230100035414;01;02;30
20230100035419;01;01;1
20230100035419;02;01;1
20230100035432;01;01;2
20230100035977;01;10;7
20230100035977;02;01;3
20230200000749;01;01;1
20230200000750;01;01;90
20230200000794;01;01;2
20230200000795;01;01;1
20230200000808;01;01;11
20230200002840;01;01;14
20230200002849;01;01;1
20230200002849;02;01;2
20230200002849;03;11;2
20230200002887;01;01;20
20230200003751;01;13;1
20230200003751;02;16;4
20230200004227;01;13;2
20230200004481;01;10;4
20230200004483;01;10;7
20230200004484;01;10;1
20230200004486;01;10;7
20230200004638;01;09;8
20230200007121;01;07;1
20230200007121;02;11;1
20230200007121;03;01;7
20230200007135;01;01;2
20230200007135;02;10;60
20230200007162;01;01;10
20230200007165;01;01;60
20230200007169;01;01;40
20230200007171;01;10;10
20230200007171;02;01;19
20230200007171;03;01;1
20230200007181;01;01;3
20230200007252;01;07;1
20230200007252;02;12;2
20230200007252;03;11;1
20230200007252;04;11;1
20230200007252;05;12;1
20230200007252;06;03;1
20230200007252;07;06;2
20230200007253;01;06;1
20230200007254;01;01;7
20230200007255;01;10;54
20230200007257;01;01;38
20230200007258;01;10;1
20230200007259;01;10;14
20230200007260;01;01;7
20230200007261;01;10;6
20230200007262;01;01;1
20230200007262;02;03;1
20230200007262;03;06;2
20230200007470;01;16;7
20230200007470;02;16;2
20230200008326;01;13;2
20230200008326;02;09;2
20230200008328;01;09;3
20230200008359;01;09;5
20230200008359;02;09;21
20230200009026;01;09;5
20230200009066;01;09;2
20230200010043;01;09;6
20230200010533;01;15;2
20230200010533;02;10;1
20230200010533;03;10;47
20230200010533;04;06;1
20230200010535;01;07;1
20230200010536;01;11;1
20230200010536;02;07;1
20230200010537;01;03;3
20230200010537;02;01;3
20230200010537;03;01;3
20230200010538;01;14;40
20230200010539;01;10;2
20230200010540;01;10;21
20230200010541;01;01;21
20230200010542;01;09;14
20230200010542;02;06;5
20230200010719;01;09;21
