mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
052025;2;20230400014478;2;2;12;13;4;1;2;6;2239.1001399;360.22019571
052025;2;20230400029876;2;2;12;06;35;3;3;6;2803.3646971;287.03168736
052025;2;20230500004844;2;3;15;01;1;1;1;6;367.19793295;2296.5896943
052025;2;20230500008522;2;1;03;12;2;1;1;6;438.17127407;1829.2104884
052025;2;20230500009297;2;3;15;01;8;2;1;6;1503.6171468;2697.3250753
052025;2;20230500011850;2;3;15;01;2;3;1;6;560.01568997;311.2940166
052025;2;20230500013643;8;1;03;07;1;1;1;6;296.54469112;913.4504673
052025;2;20230500022035;2;3;15;01;8;1;1;6;1459.0328267;437.73881606
052025;2;20230500028312;2;2;02;10;3;3;3;6;574.76496959;11.274851547
052025;2;20230500028314;2;2;02;10;8;3;1;6;830.63643794;25.161088203
052025;2;20230500028315;2;2;02;10;7;3;3;6;839.44131149;22.549703093
052025;2;20230500028316;2;2;02;10;3;3;3;6;570.53372573;22.549703093
052025;2;20230500028355;2;2;02;10;7;3;3;6;603.3305926;33.82455464
052025;2;20230500028363;2;2;02;10;7;3;1;6;814.54825762;45.4930383
052025;2;20230500028365;2;2;02;10;10;1;1;6;1918.2377284;29.238912077
052025;2;20230500039697;8;3;15;13;10;3;1;6;1277.2205145;1122.7473828
052025;2;20230500041010;2;3;15;01;10;1;1;6;1712.0013554;306.09072854
052025;2;20230600026095;2;2;11;04;7;1;1;6;1536.7664087;232.31814213
052025;2;20230600026096;2;2;11;04;8;1;1;1;1626.7242193;116.77221463
052025;2;20230600026150;2;2;11;04;7;1;1;6;1104.3617731;348.4772132
052025;2;20230600026151;2;2;11;04;7;1;1;6;1104.3617731;348.4772132
052025;2;20230600026152;2;2;11;04;4;1;1;6;1400.263073;450.55417124
052025;2;20230600026219;2;2;11;04;6;1;1;6;1378.0666458;253.08942698
052025;2;20230600026220;2;2;11;04;6;1;1;6;1077.7274798;506.17885396
052025;2;20230600026221;2;2;11;04;14;3;1;6;1409.9814184;477.39862551
052025;2;20230600031293;2;2;02;10;4;1;1;6;976.13754318;109.22624503
052025;2;20230600031294;2;2;02;10;7;3;3;6;839.44131149;22.549703093
052025;2;20230600031295;2;2;02;10;3;3;1;6;574.76496959;45.4930383
052025;2;20230600031296;2;2;02;10;3;1;1;6;902.43083626;84.777674728
052025;2;20230600031297;2;2;02;01;8;3;3;6;871.57813678;7.4235172264
052025;2;20230600031299;2;2;12;10;2;3;3;6;355.83326507;17.07030141
052025;2;20230600031300;2;2;12;10;10;3;3;6;1002.5592118;34.140602819
052025;2;20230600047511;8;2;12;13;3;1;2;6;1893.9560695;561.0762898
052025;2;20230600048655;2;2;11;04;6;1;1;6;1378.0666458;253.08942698
052025;2;20230600048656;2;2;11;04;7;3;1;6;944.81344833;71.930891128
052025;2;20230600048700;2;2;11;04;6;1;1;6;1378.0666458;253.08942698
052025;2;20230600048702;2;2;11;04;7;1;1;6;1536.7664087;348.4772132
052025;2;20230600048703;2;2;11;04;7;1;1;6;1104.3617731;348.4772132
052025;2;20230600048769;2;2;11;04;7;1;1;6;1536.7664087;232.31814213
052025;2;20230600048770;2;2;11;04;7;1;1;6;1130.5776663;464.63628426
052025;2;20240400001275;2;2;15;09;6;1;1;1;2313.2427982;553.23517789
052025;2;20240400001347;2;2;15;09;3;1;1;6;2670.0977185;1409.7696214
052025;2;20240400016394;2;2;12;10;21;1;2;6;4403.1643089;1.0331307547
052025;2;20240400021753;2;2;12;13;2;1;2;6;1540.8344232;873.92824367
052025;2;20240400026963;2;2;15;13;3;1;1;6;3712.6942837;760.93702403
052025;2;20240400027101;8;1;03;12;3;3;3;6;363.72319305;551.48009698
052025;2;20240400031971;2;2;15;09;3;1;1;6;2670.0977185;1409.7696214
052025;2;20240400034283;2;2;15;09;5;1;1;6;3186.6753592;378.57894095
052025;2;20240400037742;2;2;15;09;2;1;1;6;2398.8440872;1923.6630274
052025;2;20240500001971;2;1;03;12;5;3;3;6;485.10273917;551.48009698
052025;2;20240500001976;8;1;03;07;1;1;3;6;219.781378;452.77338243
052025;2;20240500007089;2;2;02;10;14;3;3;6;1141.9104611;11.274851547
052025;2;20240500007090;2;2;02;10;7;3;1;6;862.54879601;22.74651915
052025;2;20240500007092;2;2;02;10;10;3;3;6;986.79682153;11.274851547
052025;2;20240500007093;2;2;02;10;4;3;3;6;453.60630357;22.549703093
052025;2;20240500007096;2;2;02;10;6;3;2;6;761.16657331;8.4447453334
052025;2;20240500007098;2;2;02;10;7;3;3;6;814.54825762;11.274851547
052025;2;20240500007101;2;2;02;10;7;3;3;6;552.2980074;11.274851547
052025;2;20240500007970;2;2;12;09;1;3;1;6;617.71110107;705.7160606
052025;2;20240500008737;2;2;12;12;14;2;1;6;1903.8316947;3864.4535206
052025;2;20240500009496;8;3;02;09;4;3;1;6;582.17211528;131.48048197
052025;2;20240500012488;2;1;07;09;1;1;3;6;271.54979277;285.16389975
052025;2;20240500014171;2;2;11;04;2;1;2;6;750.17110062;136.36783446
052025;2;20240500020286;2;2;12;13;7;1;1;6;2105.4520901;339.05510308
052025;2;20240500021291;2;2;05;10;3;3;3;6;394.19496003;10.252417586
052025;2;20240500021292;2;2;05;10;3;3;3;6;428.08388667;10.252417586
052025;2;20240500021293;2;2;05;10;3;3;3;6;394.19496003;10.252417586
052025;2;20240500021294;2;2;05;10;3;3;3;6;425.53803399;10.252417586
052025;2;20240500021295;2;2;05;10;3;1;1;6;568.69414093;15.47936345
052025;2;20240500021296;2;2;05;10;3;3;3;6;420.5519747;10.252417586
052025;2;20240500021297;2;2;05;10;3;3;3;6;425.53803399;10.252417586
052025;2;20240500021298;2;2;05;10;3;3;3;6;425.53803399;10.252417586
052025;2;20240500021300;2;2;05;10;3;3;3;6;425.53803399;10.252417586
