mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
082023;2;20220700001477;2;2;12;10;7;1;1;6;2136.1262259;386.26370354
082023;2;20220700001593;2;2;12;01;14;3;3;6;1581.7475922;171.59095629
082023;2;20220700010250;8;2;12;01;3;1;2;6;1015.0105309;691.84763432
082023;2;20220700022662;2;2;12;13;10;3;1;6;1044.8527906;807.48650073
082023;2;20220700034608;2;2;12;13;14;1;1;6;3594.5544807;31.693504919
082023;2;20220700034747;2;2;12;13;6;3;1;6;790.70981717;403.74325037
082023;2;20220700044696;2;2;12;16;1;1;1;6;664.63158376;3057.2567283
082023;2;20220700048477;2;2;12;10;7;3;2;6;1356.1449085;266.30946158
082023;2;20220800000002;2;2;12;16;31;1;2;6;8431.7616514;51.972046036
082023;2;20220800000389;2;2;12;03;14;2;3;6;2629.8338706;604.72719601
082023;2;20220800014685;2;2;12;10;60;3;1;6;6132.0282547;711.35685086
082023;2;20220800024767;2;2;12;05;10;1;1;6;2628.7690869;629.25858199
082023;2;20220800044156;8;2;12;13;2;1;1;6;1314.5090382;1863.1820906
082023;2;20220900019315;2;2;12;13;3;1;1;6;1658.9100719;702.86306013
082023;2;20220900021398;2;2;12;13;5;1;2;6;2543.1641905;328.62702561
082023;2;20220900030128;2;2;12;10;6;3;1;6;1126.9390947;324.2237816
082023;2;20230700001948;2;2;12;09;7;3;1;6;925.09608968;922.27463143
082023;2;20230700001951;2;2;12;09;4;1;1;6;1408.9192457;1674.8383799
082023;2;20230700003087;2;1;01;13;42;2;1;6;4811.4695202;52.217343498
082023;2;20230700004169;2;2;14;09;5;1;1;6;1989.7616426;462.71965031
082023;2;20230700004220;2;2;12;09;4;1;1;6;1408.9192457;837.41918993
082023;2;20230700004314;8;1;02;09;7;1;1;6;1249.0706639;615.37383601
082023;2;20230700004479;2;1;01;01;21;3;1;6;2658.3211367;439.5615966
082023;2;20230700006154;2;1;11;16;5;2;3;6;649.20350172;281.774959
082023;2;20230700006906;2;2;15;09;5;1;1;6;2798.0612498;1197.1955363
082023;2;20230700008004;8;1;15;02;2;3;2;6;217.04214684;298.24111523
082023;2;20230700008202;2;1;01;01;30;2;1;6;3864.5976461;23.714427274
082023;2;20230700009073;2;2;12;13;4;1;2;6;1983.5984854;435.56990211
082023;2;20230700009544;2;2;15;13;6;1;1;6;3948.5901071;1202.7601661
082023;2;20230700010660;2;2;15;09;8;3;1;6;1845.3080843;208.86883837
082023;2;20230700010779;2;2;11;04;7;1;1;6;1716.3651545;405.85262986
082023;2;20230700010780;2;2;11;04;7;1;1;6;2013.8839687;405.85262986
082023;2;20230700010781;2;2;11;04;7;1;1;6;1778.5668513;507.31578733
082023;2;20230700010824;2;2;11;04;4;1;1;6;1331.2135522;411.32054348
082023;2;20230700010825;2;2;11;04;7;3;1;6;619.67815437;130.14992193
082023;2;20230700010828;2;2;11;04;6;1;1;6;1743.6840509;256.81420753
082023;2;20230700010830;2;2;11;04;7;1;1;6;1778.5668513;202.92631493
082023;2;20230700011561;2;2;14;09;1;1;1;6;1113.0546523;2295.9447621
082023;2;20230700011622;2;2;08;09;6;1;1;6;1308.1869259;207.21199275
082023;2;20230700011778;8;1;12;16;1;3;3;6;289.2707148;341.44645925
082023;2;20230700011806;8;1;15;01;1;1;3;6;374.73626721;1227.8036226
082023;2;20230700011933;8;1;02;09;30;2;1;6;2906.7274639;110.77388997
082023;2;20230700013884;2;2;14;09;21;3;1;6;2313.8261654;149.44043262
082023;2;20230700014583;8;1;12;01;6;1;1;6;693.78246055;955.70608212
082023;2;20230700014789;2;2;15;09;2;1;1;6;2002.311575;802.43649048
082023;2;20230700014859;2;2;15;09;6;1;1;6;3065.964595;1441.6382495
082023;2;20230700015796;2;1;01;10;13;2;1;6;1446.9869152;502.31329205
082023;2;20230700015804;2;1;01;01;7;2;1;6;805.78875761;573.57530494
082023;2;20230700017652;8;1;01;09;22;2;1;6;1796.1805621;517.38605106
082023;2;20230700017664;8;1;02;09;14;1;1;6;1447.1708158;395.2563964
082023;2;20230700019710;2;2;09;10;6;1;3;6;1306.218345;377.80221476
082023;2;20230700019711;2;2;09;10;6;1;1;6;1306.218345;1378.5490767
082023;2;20230700019712;2;2;06;10;3;1;1;6;939.44694588;2564.4496522
082023;2;20230700019761;2;2;09;10;3;1;1;6;845.47215457;2379.3164224
082023;2;20230700019762;2;2;09;10;3;1;3;6;845.47215457;652.07037542
082023;2;20230700019763;2;2;09;13;25;3;3;6;2442.8939111;345.74479091
082023;2;20230700019764;2;2;09;10;8;1;1;6;1596.7419252;958.08105251
082023;2;20230700019843;2;2;14;13;6;1;1;6;2429.8177632;904.9239932
082023;2;20230700020160;8;1;01;07;1;2;1;6;229.82454577;993.04671626
082023;2;20230700020260;2;1;01;01;2;2;1;6;377.49961715;866.30267288
082023;2;20230700021908;2;2;06;10;4;1;1;6;1098.0499286;1183.4587795
082023;2;20230700021980;2;2;06;10;35;2;3;6;3827.6273588;689.18886266
082023;2;20230700022163;2;2;08;13;4;3;3;6;594.33433512;111.87568617
082023;2;20230700022166;2;2;08;13;2;1;2;6;626.46150393;363.25747582
082023;2;20230700022294;2;2;08;13;3;1;2;6;1207.2382891;265.58567748
082023;2;20230700022670;8;1;02;01;2;2;1;6;382.49915654;1370.6418982
082023;2;20230700023174;2;2;15;09;4;1;1;6;2060.2972408;1521.0674787
082023;2;20230700024651;2;1;02;10;10;3;1;6;792.31922703;432.78426076
082023;2;20230700024831;2;2;15;09;3;2;1;6;2090.3088615;652.78704
082023;2;20230700026237;2;2;14;09;5;1;1;6;1976.7656711;925.43930062
082023;2;20230700026273;2;2;15;10;1;1;2;6;2393.1053087;2520.1296891
082023;2;20230700026311;2;2;14;09;4;1;1;6;1785.8076358;488.33046414
082023;2;20230700026382;2;2;12;02;10;1;2;6;2849.433205;343.30132275
082023;2;20230700026384;2;2;15;09;4;1;2;6;2953.5360219;505.03667278
082023;2;20230700028492;2;2;15;01;21;3;1;6;4682.9062835;193.45081208
082023;2;20230700028493;2;2;02;14;7;3;3;6;1074.0946615;47.418793819
082023;2;20230700028494;2;2;02;14;7;3;3;6;877.64479163;47.418793819
082023;2;20230700028495;2;2;02;14;6;3;1;6;1478.0050685;106.0981573
082023;2;20230700028605;2;2;12;09;12;2;1;6;2124.2861676;783.47487228
082023;2;20230700029462;2;1;12;17;3;2;1;6;458.87768108;4867.1980565
082023;2;20230700030556;2;2;12;10;14;3;3;6;1078.647975;301.58297936
082023;2;20230700030557;2;2;12;10;10;1;1;6;1391.1343347;548.93718545
082023;2;20230700030558;2;2;12;10;30;3;1;6;1767.5511887;550.21770851
082023;2;20230700030559;2;2;12;10;2;1;1;6;704.05368705;842.49153898
082023;2;20230700030560;2;2;12;04;15;1;3;6;1749.352625;108.11462514
082023;2;20230700030561;2;2;12;10;14;1;1;6;1966.8380636;313.31861999
082023;2;20230700030575;2;2;04;10;3;3;3;6;565.42739526;58.270371197
082023;2;20230700030841;8;1;02;09;15;3;1;6;741.65751169;289.87939121
082023;2;20230700032918;2;1;01;01;5;2;1;6;804.08234812;589.1720245
082023;2;20230700033869;2;2;14;09;3;1;1;6;1574.7051249;1030.7175934
082023;2;20230700034587;2;2;15;09;5;2;1;6;1485.4428861;652.78704
082023;2;20230700034594;2;2;15;09;3;3;1;6;870.342747;208.86883837
082023;2;20230700034655;2;2;15;09;15;3;1;6;2085.0094915;208.86883837
082023;2;20230700034656;2;2;15;09;14;3;1;6;2216.1746469;208.86883837
082023;2;20230700034667;2;2;15;09;3;3;1;6;1186.7518576;208.86883837
082023;2;20230700034741;2;2;15;16;8;1;1;1;3813.0368759;232.51104735
082023;2;20230700035393;2;2;06;10;7;3;1;6;852.93820722;804.63350112
082023;2;20230700035394;2;2;06;10;8;1;1;6;1871.6878915;1717.6669108
082023;2;20230700035415;2;2;06;01;11;1;1;6;2251.9078457;1264.8988748
082023;2;20230700035445;2;2;06;10;5;1;1;6;1269.8103409;2184.6007881
082023;2;20230700035455;2;2;02;14;11;3;3;6;1036.7022391;23.70939691
082023;2;20230700035456;2;2;02;14;12;3;1;6;1070.8320397;173.0247518
082023;2;20230700035457;2;2;02;14;90;3;3;6;6256.5656365;29.077034315
082023;2;20230700035458;2;2;02;14;14;3;3;6;1432.1884323;58.154068629
082023;2;20230700035538;2;2;12;09;2;3;1;6;550.00179814;1002.7373489
082023;2;20230700035540;2;2;15;09;2;1;1;6;2083.7765916;648.74402356
082023;2;20230700035577;2;2;14;09;5;1;1;6;1989.7616426;1388.1589509
082023;2;20230700035659;2;2;12;09;3;1;1;6;1225.0552757;1757.8275954
082023;2;20230700036034;2;1;11;10;8;1;1;6;1015.7626895;530.23825031
082023;2;20230700036063;2;1;11;16;9;1;1;6;1555.1086668;430.31129202
082023;2;20230700036077;8;1;11;16;2;1;1;6;413.32679054;1027.5187722
082023;2;20230700036091;2;1;12;01;17;1;1;6;1838.5818341;257.20589896
082023;2;20230700037497;2;2;15;13;6;1;1;6;3912.6503964;160.81423353
082023;2;20230700037603;2;2;08;13;3;1;2;6;958.84777037;265.58567748
082023;2;20230700037688;8;1;13;01;2;1;3;6;2753.6465816;950.04213075
082023;2;20230700037712;2;1;13;16;3;3;3;6;1667.4929786;235.80536374
082023;2;20230700037833;8;1;01;09;3;2;1;6;610.11928636;667.58351575
082023;2;20230700038738;2;2;12;13;7;1;1;6;2254.6783298;455.49369461
082023;2;20230700039453;2;2;15;09;6;1;1;6;3206.1430411;1165.5180311
082023;2;20230700041015;2;2;12;09;14;3;3;6;1243.6770139;549.5935928
082023;2;20230700041017;2;2;12;09;5;3;1;6;1031.0960432;250.68433722
082023;2;20230700041145;2;2;08;08;14;3;3;6;1174.4092343;318.03542838
082023;2;20230700041146;2;2;08;13;3;3;3;6;485.47817309;111.87568617
082023;2;20230700041151;2;2;15;13;4;1;2;6;3585.5123578;222.2597517
082023;2;20230700041166;8;2;08;04;30;1;2;6;5325.5081136;8.0613939615
082023;2;20230700041256;2;2;08;13;14;3;1;6;849.93403728;408.21921591
082023;2;20230700041394;8;1;01;09;7;3;1;6;601.63975995;272.71865274
082023;2;20230700041888;2;2;12;09;2;1;1;6;1284.6043126;1844.9289747
082023;2;20230700043045;2;2;06;10;10;3;3;6;1095.0513733;220.51613825
082023;2;20230700043047;2;2;06;10;3;3;3;6;917.76696614;203.53042191
082023;2;20230700043048;2;2;06;10;1;1;2;1;633.86672015;1097.4225074
082023;2;20230700043162;2;2;06;10;14;3;1;6;1301.8435292;804.63350112
082023;2;20230700043163;2;2;06;10;5;3;1;6;715.35348163;402.31675056
082023;2;20230700043164;2;2;06;10;4;3;1;6;668.02537408;882.69520304
082023;2;20230700043165;2;2;06;10;2;3;3;6;488.31600394;220.51613825
082023;2;20230700043280;2;2;04;14;5;3;1;6;676.23532447;251.40064192
082023;2;20230700043281;2;2;04;01;13;1;1;6;2375.4313926;88.557876301
082023;2;20230700043282;2;2;04;14;7;3;3;6;805.41245538;168.99281787
082023;2;20230700043283;2;2;04;10;17;3;1;6;1742.2859043;216.69332157
082023;2;20230700043294;2;2;14;09;5;1;1;6;2228.4279027;925.43930062
082023;2;20230700043341;2;2;14;09;4;2;1;6;1648.9306423;467.05280896
082023;2;20230700043466;8;1;11;09;5;1;1;6;1219.264615;549.54550775
082023;2;20230700043683;8;1;02;09;6;2;1;6;873.03301857;505.4474037
082023;2;20230700045102;2;2;09;10;3;1;2;6;920.54250241;977.15607451
082023;2;20230700045370;8;1;12;13;1;1;3;6;210.97125076;1860.8488317
082023;2;20230700045382;2;1;12;16;1;3;2;6;287.73605233;511.672504
082023;2;20230700045404;2;1;12;16;4;1;1;6;894.01632774;1599.2734863
082023;2;20230700045428;8;1;14;03;3;3;3;6;1210.6494717;839.37958631
082023;2;20230700046152;2;2;11;04;7;2;1;6;1440.9418391;2341.5414658
082023;2;20230700046242;8;2;11;04;2;2;1;6;858.82831124;1015.8753461
082023;2;20230700047748;2;1;11;10;26;3;3;6;1074.9922813;296.62658139
082023;2;20230700047781;2;1;15;09;6;1;1;6;2454.6320728;804.17882373
082023;2;20230700047821;8;1;01;09;2;1;1;6;598.78764537;877.56756867
082023;2;20230700048323;8;1;11;17;4;2;1;6;676.52820696;2139.8884682
082023;2;20230700048343;2;1;12;06;7;2;1;6;675.54445777;5966.3545445
082023;2;20230700049129;2;2;04;14;28;3;1;6;3012.0800065;308.31594408
082023;2;20230700049130;2;2;04;10;12;1;1;6;2206.2806141;169.87848464
082023;2;20230700049131;2;2;04;14;42;3;1;6;3397.2678624;154.15797204
082023;2;20230700049132;2;2;04;10;4;1;1;6;1003.7830969;193.64923956
082023;2;20230700049133;2;2;04;10;6;3;3;6;862.80222638;96.847449566
082023;2;20230700049134;2;2;04;14;7;3;1;6;737.00881543;125.70032096
082023;2;20230700050131;2;2;15;09;3;2;1;6;2219.2884887;410.09634969
082023;2;20230700050162;2;2;12;09;14;3;1;6;1410.8272697;501.36867444
082023;2;20230700050551;2;2;12;10;20;3;1;6;2205.2589585;324.2237816
082023;2;20230700051450;2;1;11;07;27;3;1;6;1131.461185;508.66377911
082023;2;20230700051483;2;1;12;07;40;2;1;6;2482.435887;3073.1022748
082023;2;20230700052917;2;2;12;09;4;2;1;6;1263.1109912;1804.0357205
082023;2;20230700053027;2;2;08;13;7;3;3;6;669.03174796;111.87568617
082023;2;20230700053030;2;2;08;13;30;3;2;6;1544.8794358;183.91528906
082023;2;20230700053031;2;2;08;07;5;3;2;6;608.1324905;851.84903042
082023;2;20230700053034;2;2;08;01;7;1;1;6;1568.2454617;327.58094889
082023;2;20230700053035;8;2;15;13;5;1;1;6;3691.1633407;280.40055491
082023;2;20230700053063;2;2;08;13;5;3;3;6;672.5410076;111.87568617
