A0_1;C9_0;ccaa_etapa;pernoc_etapa
20221100006062;01;01;21
20221100007348;01;10;3
20221200032686;01;10;5
20231100001844;01;09;9
20231100004143;01;09;6
20231100008558;01;09;2
20231100023652;01;10;10
20231100033293;01;09;2
20231200008247;01;09;2
20231200015640;01;01;3
20231200019647;01;10;7
20231200019648;01;10;30
20231200019649;01;09;45
20231200025035;01;01;21
20231200030357;01;01;1
20231200030422;01;07;1
20231200030422;02;01;1
20231200030440;01;01;2
20231200031204;01;09;5
20231200034982;01;10;4
20241000001270;01;13;9
20241000001270;02;10;4
20241000001271;01;01;30
20241000001271;02;01;1
20241000001273;01;01;7
20241000001273;02;01;11
20241000001785;01;10;30
20241000002790;01;01;14
20241000003207;01;09;16
20241000003207;02;15;1
20241000003217;01;15;1
20241000003297;01;16;2
20241000003297;02;16;1
20241000003297;03;07;2
20241000003297;04;13;3
20241000003297;05;08;2
20241000003297;06;01;3
20241000003300;01;01;3
20241000003306;01;01;2
20241000003319;01;01;3
20241000003325;01;01;4
20241000003333;01;01;5
20241000003343;01;13;3
20241000003343;02;01;2
20241000003343;03;07;2
20241000003343;04;11;1
20241000003343;05;01;3
20241000003348;01;01;90
20241000003355;01;01;1
20241000004194;01;04;9
20241000005129;01;16;4
20241000005570;01;04;5
20241000005571;01;04;7
20241000006142;01;12;6
20241000006142;02;13;2
20241000008438;01;04;4
20241000008525;01;04;9
20241000008525;02;13;56
20241000008526;01;04;5
20241000008561;01;13;4
20241000008561;02;01;4
20241000008663;01;13;3
20241000008663;02;01;3
20241000009640;01;15;1
20241000009786;01;09;4
20241000009787;01;09;14
20241000009788;01;09;4
20241000009788;02;13;2
20241000009789;01;09;2
20241000009789;02;09;7
20241000009835;01;09;1
20241000010375;01;13;4
20241000010375;02;10;1
20241000010375;03;01;2
20241000010375;04;01;2
20241000010375;05;08;3
20241000010375;06;01;2
20241000010375;07;01;1
20241000010943;01;01;5
20241000011232;01;04;7
20241000011416;01;09;14
20241000011489;01;09;5
20241000011491;01;09;3
20241000012652;01;09;20
20241000012893;01;04;5
20241000013903;01;01;2
20241000014436;01;04;7
20241000015120;01;04;7
20241000015717;01;09;2
20241000015720;01;09;3
20241000015778;01;09;1
20241000015778;02;12;3
20241000015778;03;07;1
20241000015778;04;07;1
20241000015778;05;07;1
20241000015778;06;16;1
20241000015778;07;15;2
20241000015781;01;10;2
20241000015781;02;09;2
20241000015784;01;09;5
20241000016857;01;04;7
20241000016858;01;04;9
20241000016859;01;04;7
20241000016969;01;04;5
20241000017293;01;04;18
20241000017294;01;09;20
20241000017355;01;09;5
20241000017500;01;15;2
20241000017574;01;06;8
20241000017948;01;04;5
20241000017949;01;04;4
20241000017950;01;04;6
20241000017970;01;04;3
20241000018951;01;07;2
20241000018951;02;07;2
20241000018951;03;15;1
20241000020185;01;09;5
20241000020967;01;04;4
20241000020968;01;04;3
20241000021003;01;04;7
20241000021004;01;04;5
20241000021594;01;12;3
20241000021603;01;15;2
20241000021609;01;15;1
20241000021619;01;15;1
20241000021619;02;09;7
20241000021619;03;10;1
20241000021722;01;09;6
20241000021722;02;13;5
20241000021724;01;09;2
20241000021724;02;01;21
20241000021735;01;09;3
20241000021735;02;16;2
20241000021735;03;02;8
20241000021735;04;09;3
20241000021735;05;10;2
20241000021735;06;03;3
20241000021740;01;09;30
20241000023073;01;13;4
20241000024383;01;07;1
20241000025001;01;04;5
20241000025897;01;10;2
20241000025897;02;09;2
20241000025897;03;10;2
20241000025900;01;10;3
20241000025900;02;10;3
20241000025941;01;09;7
20241000025941;02;10;7
20241000025941;03;10;10
20241000025942;01;13;14
20241000025943;01;04;60
20241000026649;01;09;1
20241000026649;02;10;3
20241000026980;01;04;7
20241000026981;01;04;4
20241000027916;01;09;1
20241000028835;01;12;30
20241000028838;01;12;31
20241000029211;01;07;1
20241000029705;01;04;4
20241000029707;01;04;4
20241000030044;01;04;7
20241000030045;01;04;4
20241000030047;01;04;5
20241000030129;01;04;7
20241000030131;01;04;4
20241000030133;01;04;4
20241000030346;01;07;1
20241000031326;01;09;2
20241000031326;02;04;7
20241000031326;03;13;3
20241000031584;01;09;20
20241000031584;02;09;10
20241000031584;03;09;1
20241000032050;01;09;4
20241000032728;01;09;7
20241000036188;01;01;12
20241000036233;01;07;1
20241000036247;01;11;1
20241000036247;02;06;1
20241000036247;03;07;1
20241000036247;04;07;2
20241000036258;01;01;5
20241000036258;02;13;3
20241000036258;03;01;3
20241000036979;01;09;3
20241000036979;02;13;1
20241000037012;01;04;14
20241000037076;01;04;7
20241000037077;01;04;7
20241000037078;01;04;7
20241000037537;01;09;2
20241000037537;02;10;2
20241000037537;03;04;3
20241000037537;04;13;2
20241000037898;01;01;7
20241000037914;01;02;1
20241000037914;02;13;2
20241000037914;03;01;1
20241000040321;01;09;7
20241000041142;01;09;4
20241000042290;01;01;14
20241000044417;01;09;2
20241100000234;01;13;2
20241100000284;01;04;1
20241100000285;01;04;5
20241100000286;01;04;5
20241100000296;01;04;7
20241100000297;01;04;5
20241100000298;01;04;7
20241100000299;01;04;7
20241100000302;01;04;7
20241100000357;01;04;6
20241100000358;01;04;5
20241100000359;01;04;5
20241100000360;01;04;6
20241100000429;01;04;6
20241100000430;01;04;6
20241100000431;01;04;8
20241100000432;01;04;6
20241100000530;01;15;1
20241100000714;01;09;3
20241100000977;01;04;7
20241100000978;01;04;2
20241100000978;02;04;2
20241100000979;01;04;7
20241100001075;01;04;7
20241100001076;01;04;6
20241100001077;01;04;7
20241100001079;01;04;4
20241100001233;01;04;7
20241100001234;01;04;7
20241100001235;01;04;7
20241100001236;01;04;7
20241100001367;01;10;4
20241100001370;01;10;5
20241100001459;01;10;7
20241100001463;01;10;3
20241100001481;01;09;4
20241100001483;01;09;2
20241100001716;01;15;2
20241100001723;01;16;2
20241100002242;01;04;7
20241100002243;01;04;5
20241100002245;01;04;7
20241100002246;01;04;5
20241100002247;01;04;7
20241100002248;01;04;5
20241100002248;02;04;5
20241100002249;01;04;2
20241100002250;01;04;7
20241100002389;01;04;8
20241100002390;01;04;9
20241100002391;01;10;17
20241100002392;01;04;8
20241100002402;01;04;4
20241100002424;01;09;2
20241100002471;01;09;3
20241100002472;01;09;2
20241100002502;01;13;2
20241100002569;01;09;7
20241100002569;02;13;7
20241100002581;01;13;3
20241100002586;01;01;9
