mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
112024;2;20221000040641;2;2;01;10;14;3;1;6;939.01845923;19.49108896
112024;2;20221100003953;2;2;12;13;8;3;1;6;1233.437928;617.02748402
112024;2;20221100006431;2;2;12;01;14;3;3;6;1892.7413102;185.22034373
112024;2;20221100007348;2;2;01;10;3;3;3;6;481.78222971;38.155674815
112024;2;20221100014139;2;2;12;09;5;1;1;6;1538.4430812;601.72966677
112024;2;20221100014222;2;2;12;09;11;3;3;6;1235.3770038;621.46353006
112024;2;20221100033726;2;2;12;13;4;1;2;6;2299.5996012;931.33261008
112024;2;20221100035741;2;2;12;09;5;1;1;6;1306.8089363;601.72966677
112024;2;20221200013013;2;2;12;10;14;3;3;6;1810.643886;449.81943733
112024;2;20221200019259;2;2;12;10;45;3;3;6;4120.5240416;224.90971867
112024;2;20221200026791;2;2;12;13;7;1;1;6;2136.5759096;156.28290913
112024;2;20221200031999;2;2;12;06;6;3;3;6;1007.3808814;491.01489481
112024;2;20221200032686;2;2;01;10;5;3;3;6;623.77240978;12.718558272
112024;2;20231000024482;2;2;12;13;18;1;1;6;4527.4651245;24.043550039
112024;2;20231000031702;2;2;12;13;14;3;3;6;1638.6701081;402.63014687
112024;2;20231000045811;2;2;12;09;5;1;1;6;1306.8089363;300.86483339
112024;2;20231100000926;2;3;13;13;10;1;1;1;1326.617145;117.77142748
112024;2;20231100000927;2;3;13;09;5;1;1;1;595.42951864;382.28863114
112024;2;20231100000928;2;3;08;13;6;1;1;1;612.42083227;108.81414228
112024;2;20231100000929;2;3;13;09;7;1;1;1;931.26131733;211.05658093
112024;2;20231100000930;2;3;15;09;10;1;1;1;1450.7329398;115.48051401
112024;2;20231100000932;2;3;13;09;9;1;1;1;1179.5304922;116.52159318
112024;2;20231100000933;2;3;13;09;11;1;1;1;1407.3755199;64.330056027
112024;2;20231100000934;2;3;13;09;7;2;1;1;931.26131733;1586.0259104
112024;2;20231100000935;2;3;13;09;8;1;1;1;673.17511073;156.82043572
112024;2;20231100000937;2;3;13;09;7;1;1;1;917.38932837;211.05658093
112024;2;20231100000946;2;3;13;09;5;1;1;1;664.58002044;382.28863114
112024;2;20231100000947;2;3;13;09;5;1;1;1;664.58002044;573.4329467
112024;2;20231100000952;2;3;13;09;9;1;1;1;1200.2534478;116.52159318
112024;2;20231100000953;2;3;14;09;6;1;1;1;762.58091043;117.99366994
112024;2;20231100000954;2;3;08;09;5;1;1;1;504.42899464;283.47047517
112024;2;20231100000960;2;3;13;09;8;1;1;1;1009.3113676;156.82043572
112024;2;20231100000962;2;3;13;09;5;1;1;1;451.811714;382.28863114
112024;2;20231100000963;2;3;14;09;6;1;1;1;762.58091043;235.98733989
112024;2;20231100000966;2;3;13;09;6;1;1;1;708.95144302;284.05022692
112024;2;20231100001844;2;2;12;09;9;1;1;6;2093.8427383;78.556005242
112024;2;20231100003418;2;2;12;12;13;1;1;6;2644.0664605;575.21015743
112024;2;20231100004143;2;2;12;09;6;1;1;6;1471.7892403;430.13364505
112024;2;20231100004575;8;1;01;09;9;3;1;6;641.43369171;242.79662989
112024;2;20231100004594;2;1;01;02;6;3;1;6;547.85057539;113.28591825
112024;2;20231100004618;2;1;01;01;15;1;1;6;2444.3615589;244.37387516
112024;2;20231100006305;8;1;01;01;21;3;1;6;1011.3935125;125.25837522
112024;2;20231100007610;2;2;14;09;5;1;1;6;2043.7127197;360.35040357
112024;2;20231100008558;2;2;12;09;2;1;1;6;987.54274333;823.69315402
112024;2;20231100009008;2;3;13;09;4;1;1;1;284.17566057;382.28863114
112024;2;20231100009011;2;3;14;09;7;2;1;1;941.3028115;1453.2849169
112024;2;20231100009015;2;3;13;09;4;1;1;1;408.60342511;382.28863114
112024;2;20231100009018;2;3;13;09;5;1;1;1;743.3834977;284.05022692
112024;2;20231100009022;2;3;01;09;4;1;1;1;541.6877833;262.24343478
112024;2;20231100009025;2;3;09;09;4;1;1;1;507.16296658;296.19423572
112024;2;20231100009053;2;3;13;01;7;1;1;1;941.20699123;235.73113553
112024;2;20231100009074;2;3;13;09;6;1;1;1;841.10388555;211.05658093
112024;2;20231100009082;2;3;13;09;4;1;1;1;474.56180207;382.28863114
112024;2;20231100009090;2;3;13;13;7;1;1;1;573.91339502;227.50019403
112024;2;20231100009098;2;3;14;01;12;1;1;1;1335.8446419;53.732884344
112024;2;20231100010416;2;2;14;09;5;3;1;6;1217.6829465;600.47638132
112024;2;20231100010840;2;3;14;09;3;1;1;1;458.79994373;333.54805228
112024;2;20231100010843;2;3;14;09;6;1;1;1;867.80614641;59.063516577
112024;2;20231100011665;2;2;14;09;32;3;3;6;2637.0095016;391.83002357
112024;2;20231100012796;2;2;14;10;7;1;1;6;2325.1597336;268.12154493
112024;2;20231100015491;2;3;12;09;4;1;1;1;408.34927551;234.51988776
112024;2;20231100015541;2;3;08;09;2;2;1;1;196.83774022;256.24933505
112024;2;20231100016255;2;2;14;09;4;1;1;6;1754.3312514;254.66233763
112024;2;20231100018393;8;1;01;01;9;1;1;6;1433.4429278;213.1475554
112024;2;20231100019276;2;2;14;10;21;1;1;6;5499.5440876;9.7470828078
112024;2;20231100019277;2;2;12;10;7;1;1;6;1291.6789873;17.367009078
112024;2;20231100019278;2;2;12;10;4;1;1;6;1037.6941107;43.263371807
112024;2;20231100019279;2;2;12;10;10;3;3;6;1018.0965179;22.35261402
112024;2;20231100019282;2;2;08;10;5;1;3;1;1226.3070116;56.634073069
112024;2;20231100019283;2;2;14;10;47;3;3;6;5363.2823072;5.780955722
112024;2;20231100019284;2;2;08;10;6;3;3;6;623.00853717;14.27077608
112024;2;20231100019285;2;2;08;10;30;1;3;6;3811.2103618;8.8206290406
112024;2;20231100019286;2;2;04;10;6;3;3;6;700.47407236;6.6179871198
112024;2;20231100019287;2;2;08;10;4;1;1;6;1073.5071885;64.727772659
112024;2;20231100019288;2;2;08;10;5;3;3;6;661.85341573;49.199732104
112024;2;20231100019290;2;2;08;10;3;3;3;6;537.07125514;14.27077608
112024;2;20231100019291;2;2;02;10;6;1;1;6;1181.1379578;14.15985978
112024;2;20231100019293;2;2;02;10;5;3;3;6;892.46246827;3.2487836191
112024;2;20231100019294;2;2;02;10;30;3;1;6;1846.030478;9.9574698925
112024;2;20231100019295;8;2;02;10;1;1;1;6;457.99260926;8.185785084
112024;2;20231100019296;2;2;02;10;7;3;1;6;886.13898735;11.443078928
112024;2;20231100019297;2;2;02;09;30;3;1;6;1876.5657908;18.266663869
112024;2;20231100019298;2;2;02;10;5;1;1;6;1278.7760489;14.576901829
112024;2;20231100019299;2;2;02;10;7;3;3;6;798.73138374;3.2487836191
112024;2;20231100019300;2;2;02;10;60;3;1;6;3159.0433362;11.443078928
112024;2;20231100019604;2;3;08;16;3;2;1;1;274.92689465;5137.8380848
112024;2;20231100019608;2;3;08;16;3;2;1;1;274.92689465;9884.1740649
112024;2;20231100021006;2;3;14;09;5;1;1;1;624.45570009;333.54805228
112024;2;20231100021012;2;3;14;13;71;3;1;1;5497.307363;358.96831791
112024;2;20231100021017;2;3;13;09;8;1;1;1;908.38349075;211.05658093
112024;2;20231100021018;2;3;13;09;7;1;1;1;833.67692104;211.05658093
112024;2;20231100021019;2;3;13;09;7;1;1;1;833.67692104;211.05658093
112024;2;20231100021021;2;3;13;09;6;1;1;1;352.55058433;568.10045385
112024;2;20231100021022;2;3;13;09;7;1;1;1;866.46638088;211.05658093
112024;2;20231100021038;2;3;13;09;4;1;1;1;376.44555847;284.05022692
