A0_1;C9_0;ccaa_etapa;pernoc_etapa
20200800009743;01;13;15
20200800009743;02;10;15
20200800023219;01;04;9
20200800023220;01;04;31
20200800023221;01;04;9
20200800036372;01;01;178
20200800036372;02;01;2
20200900011750;01;14;11
20200900011751;01;08;3
20200900011751;02;01;4
20200900017153;01;09;7
20200900021298;01;10;30
20200900021299;01;09;45
20210700037020;01;13;5
20210800001581;01;09;4
20210800001581;02;10;4
20210800005101;01;04;3
20210800005102;01;04;14
20210800005131;01;04;7
20210800005132;01;04;7
20210800007443;01;04;7
20210800007775;01;09;177
20210800007775;02;13;3
20210800007775;03;10;1
20210800011177;01;04;7
20210800011190;01;04;15
20210800013406;01;10;6
20210800013407;01;10;7
20210800013409;01;10;6
20210800013529;01;10;7
20210800013530;01;10;3
20210800013531;01;10;1
20210800027633;01;04;4
20210800027635;01;04;5
20210800027636;01;04;6
20210800027637;01;04;30
20210800027703;01;04;5
20210800027704;01;04;6
20210800027706;01;04;14
20210800027708;01;04;10
20210800029001;01;09;14
20210800030207;01;05;2
20210800031516;01;04;6
20210800033252;01;04;5
20210800033253;01;04;7
20210800033254;01;04;7
20210800033287;01;04;7
20210800033288;01;04;6
20210800033289;01;04;6
20210800033290;01;04;15
20210800033296;01;04;7
20210800034074;01;13;21
20210800034074;02;12;3
20210800042103;01;04;4
20210800042792;01;10;2
20210800042793;01;10;8
20210800042821;01;10;4
20210800042821;02;10;4
20210800042822;01;10;6
20210800042823;01;10;14
20210800042826;01;10;5
20210800042827;01;10;11
20210800042828;01;10;45
20210800042854;01;10;10
20210800044951;01;10;14
20210800044952;01;10;7
20210800048407;01;10;4
20210800048408;01;10;7
20210800048409;01;10;10
20210800048459;01;10;7
20210800048460;01;10;21
20210800048461;01;10;15
20210800048463;01;10;4
20210800048469;01;10;3
20210800048470;01;10;4
20210800048470;02;10;3
20210800048472;01;10;10
20210800048519;01;10;14
20210800048522;01;10;14
20210800049262;01;04;3
20210800049263;01;04;6
20210800049264;01;04;8
20210800049265;01;04;9
20210800049317;01;04;5
20210800049318;01;04;5
20210800049319;01;04;5
20210800049368;01;04;7
20210800049369;01;04;7
20210800049370;01;04;8
20210800049371;01;04;7
20210800049434;01;04;3
20210800049436;01;04;7
20210800049437;01;04;4
20210900003112;01;13;1
20210900007642;01;09;60
20210900011915;01;09;24
20210900012744;01;04;7
20210900023993;01;16;12
20210900045286;01;10;5
20210900046827;01;05;60
20220700000259;01;13;4
20220700000262;01;13;2
20220700000266;01;13;13
20220700000271;01;09;3
20220700000271;02;01;3
20220700000271;03;13;3
20220700000314;01;13;4
20220700000341;01;01;7
20220700000341;02;01;3
20220700000341;03;13;28
20220700000395;01;04;7
20220700000396;01;04;6
20220700000397;01;04;7
20220700000398;01;04;7
20220700000419;01;04;7
20220700000420;01;04;7
20220700000421;01;04;7
20220700000422;01;04;7
20220700000563;01;01;7
20220700001014;01;16;4
20220700001477;01;13;2
20220700001477;02;10;5
20220700001593;01;13;6
20220700001593;02;01;8
20220700002129;01;07;5
20220700002762;01;04;4
20220700002799;01;04;7
20220700002846;01;04;9
20220700003293;01;13;3
20220700003293;02;01;4
20220700003293;03;09;2
20220700003679;01;16;1
20220700003725;01;09;15
20220700003739;01;09;1
20220700004420;01;13;3
20220700004420;02;16;2
20220700004420;03;09;2
20220700004425;01;13;6
20220700004425;02;16;14
20220700004527;01;04;3
20220700004529;01;04;5
20220700005735;01;04;7
20220700006121;01;06;3
20220700006371;01;01;1
20220700006371;02;01;1
20220700008236;01;07;1
20220700008247;01;07;1
20220700008247;02;15;1
20220700008395;01;11;1
20220700009886;01;09;1
20220700010018;01;09;2
20220700010338;01;13;3
20220700010903;01;16;9
20220700010903;02;16;3
20220700010951;01;03;14
20220700011541;01;09;7
20220700012052;01;01;2
20220700012052;02;01;2
20220700012052;03;01;2
20220700013669;01;09;3
20220700013682;01;07;1
20220700013682;02;16;1
20220700013704;01;07;1
20220700013798;01;09;14
20220700014700;01;13;4
20220700015216;01;12;32
20220700017254;01;04;3
20220700019206;01;04;7
20220700019207;01;04;7
20220700020247;01;02;1
20220700020274;01;07;1
20220700020280;01;16;5
20220700020598;01;01;5
20220700020600;01;13;1
20220700022090;01;07;5
20220700022558;01;13;4
20220700022662;01;13;10
20220700022825;01;04;7
20220700022827;01;04;7
20220700022829;01;04;14
20220700022830;01;04;7
20220700022872;01;04;4
20220700023287;01;02;4
20220700023689;01;02;6
20220700024251;01;04;5
20220700025223;01;15;36
20220700025244;01;01;5
20220700025245;01;01;14
20220700027008;01;13;7
20220700027920;01;04;9
20220700027994;01;13;1
20220700028144;01;04;7
20220700028172;01;04;7
20220700028174;01;04;7
20220700028315;01;10;3
20220700028316;01;10;7
20220700028968;01;13;4
20220700028968;02;09;4
20220700028968;03;10;2
20220700028968;04;01;2
20220700029780;01;04;5
20220700030831;01;09;8
20220700030832;01;09;14
20220700031181;01;16;1
20220700031189;01;07;1
20220700031230;01;09;10
20220700031366;01;09;1
20220700032223;01;09;30
20220700032223;02;16;4
20220700033180;01;04;10
20220700033181;01;04;10
20220700033182;01;04;10
20220700034172;01;02;1
20220700034182;01;01;20
20220700034608;01;13;14
20220700034747;01;13;6
20220700034748;01;13;3
20220700034748;02;10;4
20220700035151;01;09;16
20220700036069;01;06;7
20220700036070;01;03;14
20220700037700;01;04;7
20220700037965;01;10;3
20220700037965;02;13;5
20220700037967;01;10;6
20220700037967;02;09;2
20220700037968;01;10;8
20220700038019;01;10;23
20220700041113;01;02;4
20220700041113;02;02;4
20220700041113;03;02;1
20220700041337;01;13;3
20220700041660;01;16;6
20220700041660;02;16;5
20220700041692;01;04;5
20220700041697;01;04;7
20220700041698;01;04;9
20220700042203;01;14;8
20220700042337;01;09;8
20220700042337;02;04;3
20220700042496;01;16;1
20220700043395;01;13;14
20220700043462;01;04;9
20220700043463;01;04;7
20220700043464;01;04;14
20220700043465;01;04;14
20220700043492;01;04;6
20220700043493;01;04;16
20220700043494;01;04;1
20220700044514;01;17;1
20220700044519;01;16;1
20220700044614;01;16;2
20220700044696;01;16;1
20220700044976;01;04;11
20220700045020;01;04;10
20220700045495;01;07;2
20220700045518;01;16;1
20220700045533;01;16;2
20220700045533;02;03;1
20220700045533;03;12;1
20220700045533;04;12;1
20220700045533;05;07;1
20220700045533;06;12;1
20220700045533;07;02;1
20220700046473;01;07;1
20220700046481;01;16;1
20220700046523;01;12;1
20220700046606;01;09;15
20220700047288;01;09;5
20220700047295;01;09;3
20220700047738;01;09;2
20220700047795;01;16;3
20220700047795;02;16;2
20220700047795;03;02;2
20220700047799;01;15;19
20220700047801;01;10;30
20220700048206;01;04;10
20220700048216;01;04;5
20220700048242;01;04;7
20220700048316;01;13;4
20220700048322;01;13;5
20220700048445;01;13;2
20220700048477;01;10;7
20220700048487;01;13;1
20220700048883;01;14;20
20220700048895;01;14;21
20220700048896;01;14;60
20220700048899;01;14;15
20220700048900;01;14;14
20220700048926;01;09;5
20220700048926;02;09;10
20220700049391;01;16;2
20220700049577;01;04;7
20220700049578;01;04;7
20220700050310;01;12;2
20220700050361;01;01;6
20220700050395;01;16;1
20220700050477;01;01;1
20220700050501;01;15;1
20220800000001;01;16;1
20220800000001;02;09;7
20220800000001;03;16;7
20220800000002;01;16;30
20220800000004;01;16;10
20220800000004;02;16;1
20220800000006;01;15;2
20220800000006;02;16;5
20220800000006;03;16;2
20220800000007;01;16;2
20220800000007;02;06;2
20220800000007;03;12;1
20220800000007;04;12;2
20220800000007;05;12;2
20220800000008;01;03;16
20220800000010;01;16;2
20220800000010;02;16;1
20220800000013;01;16;4
20220800000014;01;13;1
20220800000014;02;16;2
20220800000014;03;16;1
20220800000015;01;16;4
20220800000015;02;16;2
20220800000046;01;16;1
20220800000046;02;16;4
20220800000047;01;16;3
20220800000047;02;16;1
20220800000049;01;16;2
20220800000049;02;16;1
20220800000049;03;17;1
20220800000049;04;17;2
20220800000049;05;17;2
20220800000050;01;06;1
20220800000050;02;16;2
20220800000050;03;16;1
20220800000051;01;16;1
20220800000051;02;16;5
20220800000052;01;16;5
20220800000053;01;16;4
20220800000054;01;16;6
20220800000056;01;16;1
20220800000056;02;16;3
20220800000078;01;05;7
20220800000079;01;05;7
20220800000080;01;05;7
20220800000081;01;05;7
20220800000137;01;05;15
20220800000138;01;05;6
20220800000139;01;05;21
20220800000140;01;05;14
20220800000141;01;05;5
20220800000142;01;05;6
