mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
082022;2;20200800009743;2;2;15;13;30;3;3;6;8776.5934258;254.29374396
082022;2;20200800023219;2;2;06;04;9;1;1;1;1531.9537437;662.3901542
082022;2;20200800023220;2;2;06;04;31;3;1;6;2259.6200379;291.23673901
082022;2;20200800023221;2;2;06;04;9;1;1;1;1531.9537437;883.18687227
082022;2;20200800036372;2;2;15;01;180;2;3;6;14929.833253;222.13220709
082022;2;20200900011750;2;2;04;14;11;3;1;6;1222.435606;154.23559961
082022;2;20200900011751;2;2;04;01;7;3;3;6;709.55192958;65.636032315
082022;2;20200900017153;2;2;15;09;7;1;1;6;3138.1888435;755.74492439
082022;2;20200900021298;2;2;15;10;30;1;2;6;11410.364577;14.622606253
082022;2;20200900021299;2;2;15;09;45;3;1;6;4350.9079131;66.525875011
082022;2;20210700037020;2;2;15;13;5;1;3;6;3454.2270079;574.66970093
082022;2;20210800001581;2;2;09;09;8;1;1;6;1172.3717004;676.19645153
082022;2;20210800005101;2;2;02;04;3;3;3;6;365.93238543;53.560235454
082022;2;20210800005102;2;2;02;04;14;3;1;6;723.21730301;118.37879103
082022;2;20210800005131;2;2;02;04;7;1;1;1;1536.3606099;372.64024055
082022;2;20210800005132;2;2;02;04;7;1;1;6;1564.8070457;321.35180325
082022;2;20210800007443;2;2;06;04;7;1;1;6;1241.3401147;1011.1761781
082022;2;20210800007775;2;2;15;09;181;2;3;6;22269.451723;83.457849584
082022;2;20210800011177;2;2;02;04;7;2;1;1;1275.716571;2474.669643
082022;2;20210800011190;2;2;12;04;15;3;1;6;1704.8894338;292.69114254
082022;2;20210800013406;2;2;09;10;6;1;1;6;1221.1370419;770.43909304
082022;2;20210800013407;2;2;09;10;7;3;3;6;713.12098383;163.79596762
082022;2;20210800013409;2;2;09;10;6;3;3;6;882.3668515;163.79596762
082022;2;20210800013529;2;2;09;10;7;1;1;6;1551.0509693;671.70027534
082022;2;20210800013530;2;2;09;10;3;1;1;6;790.88997915;1162.5902228
082022;2;20210800013531;2;2;09;10;1;1;1;6;426.13267354;1529.5097025
082022;2;20210800027633;2;2;02;04;4;1;1;6;864.39246826;277.219448
082022;2;20210800027635;2;2;02;04;5;1;1;6;1012.9777732;231.13517595
082022;2;20210800027636;2;2;02;04;6;3;1;6;461.50244508;118.37879103
082022;2;20210800027637;2;2;02;04;30;3;1;6;1154.7182244;118.37879103
082022;2;20210800027703;2;2;02;04;5;1;1;1;1242.8644717;536.04969192
082022;2;20210800027704;2;2;02;04;6;1;1;1;1166.1285972;893.87624679
