mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
062025;2;20230500028312;2;2;02;10;3;3;3;6;580.09289214;15.387228787
062025;2;20230500028314;2;2;02;10;8;3;1;6;831.51988496;34.96791735
062025;2;20230500028315;2;2;02;10;7;3;3;6;844.80845143;30.774457575
062025;2;20230500028316;2;2;02;10;3;3;3;6;574.1541946;30.774457575
062025;2;20230500028355;2;2;02;10;7;3;3;6;611.5818419;46.161686362
062025;2;20230500028363;2;2;02;10;7;3;1;6;824.91168571;55.005757462
062025;2;20230500028365;2;2;02;10;10;1;1;6;1925.9546066;23.766924481
062025;2;20230600006319;2;3;13;09;7;1;1;1;666.37393474;455.17381924
062025;2;20230600006323;2;3;14;09;5;1;1;1;482.26209935;713.36589267
062025;2;20230600006324;2;3;13;09;6;1;1;1;338.70860513;727.72501665
062025;2;20230600006329;2;3;14;09;5;1;1;1;402.26207313;713.36589267
062025;2;20230600006331;2;3;13;09;6;1;1;1;577.00237123;1455.4500333
062025;2;20230600006332;2;3;13;09;6;1;1;1;417.58988802;1455.4500333
062025;2;20230600006333;2;3;14;09;5;1;1;1;899.78397086;713.36589267
062025;2;20230600006334;2;3;13;13;5;1;1;1;616.00668236;1030.5594153
062025;2;20230600011232;2;3;13;09;4;1;1;1;394.42393239;920.15781698
062025;2;20230600031293;2;2;02;10;4;1;1;6;983.41284574;114.54424114
062025;2;20230600031294;2;2;02;10;7;3;3;6;844.80845143;30.774457575
062025;2;20230600031295;2;2;02;10;3;3;1;6;580.09289214;55.005757462
062025;2;20230600031296;2;2;02;10;3;1;1;6;914.34788597;92.761302048
062025;2;20230600031297;2;2;02;01;8;3;3;6;894.30776137;9.3417045011
062025;2;20230600031299;2;2;12;10;2;3;3;6;358.98908513;22.970450371
062025;2;20230600031300;2;2;12;10;10;3;3;6;1015.4243682;45.940900743
062025;2;20240400016394;2;2;12;10;21;1;2;6;4456.7774092;9.2133624925
062025;2;20240400021753;2;2;12;13;2;1;2;6;1550.7394059;576.5510128
062025;2;20240500007089;2;2;02;10;14;3;3;6;1158.4587211;15.387228787
