A0_1;C9_0;ccaa_etapa;pernoc_etapa
20210500002729;01;09;4
20210500025840;01;13;4
20210600006137;01;13;3
20210600029572;01;13;4
20220400001556;01;13;60
20220400008542;01;16;3
20220400008546;01;16;4
20220400023197;01;14;6
20220400023198;01;10;3
20220400023199;01;14;10
20220400023200;01;14;8
20220400023201;01;10;10
20220400037556;01;12;1
20220400037556;02;16;1
20220400038768;01;09;7
20220400039850;01;05;57
20220400039850;02;05;3
20220500000330;01;13;58
20220500000330;02;08;2
20220500002382;01;04;10
20220500002383;01;04;10
20220500005005;01;14;4
20220500005007;01;14;7
20220500005008;01;01;14
20220500005010;01;01;3
20220500005010;02;01;11
20220500005012;01;14;7
20220500005050;01;14;14
20220500005051;01;14;10
20220500005053;01;14;7
20220500005054;01;14;10
20220500005056;01;14;14
20220500006570;01;09;2
20220500006570;02;04;8
20220500006572;01;01;2
20220500006572;02;01;2
20220500006572;03;01;2
20220500006572;04;13;1
20220500006572;05;09;5
20220500009560;01;13;4
20220500010597;01;09;7
20220500012178;01;14;20
20220500012179;01;14;12
20220500012180;01;01;20
20220500012181;01;14;9
20220500012182;01;14;6
20220500012183;01;01;25
20220500012184;01;01;8
20220500012185;01;14;9
20220500012186;01;10;5
20220500012188;01;14;9
20220500013411;01;09;6
20220500013413;01;01;1
20220500013413;02;01;1
20220500013413;03;01;1
20220500013413;04;01;1
20220500013413;05;09;4
20220500013501;01;09;1
20220500014665;01;09;4
20220500015911;01;04;3
20220500015912;01;04;3
20220500015914;01;04;3
20220500015992;01;04;2
20220500015993;01;04;3
20220500015994;01;04;3
20220500019614;01;09;3
20220500020226;01;04;8
20220500020245;01;04;3
20220500020246;01;04;3
20220500020247;01;04;7
20220500020249;01;04;3
20220500020259;01;04;6
20220500020260;01;04;3
20220500020284;01;04;3
20220500020285;01;04;3
20220500020286;01;04;3
20220500020287;01;04;3
20220500021677;01;04;9
20220500021679;01;04;7
20220500021680;01;04;8
20220500021681;01;04;9
20220500021705;01;04;9
20220500021706;01;04;4
20220500021707;01;04;8
20220500021708;01;04;14
20220500026283;01;14;7
20220500026286;01;14;7
20220500026289;01;14;6
20220500026290;01;14;14
20220500026291;01;14;7
20220500026292;01;14;6
20220500026293;01;01;6
20220500026294;01;14;3
20220500026295;01;14;8
20220500026297;01;14;7
20220500033241;01;09;3
20220500033365;01;09;2
20220500037036;01;04;7
20220500039071;01;09;2
20220600000116;01;13;6
20220600000118;01;13;7
20220600005960;01;09;1
20220600005960;02;09;1
20220600005960;03;12;1
20220600005960;04;12;1
20220600005960;05;16;1
20220600017781;01;09;12
20220600017924;01;09;9
20220600028101;01;13;4
20220600032169;01;09;1
20220600032169;02;10;1
20220600032169;03;14;1
20220600032169;04;03;1
20220600032169;05;16;1
20220600032169;06;09;1
20220600036648;01;16;3
20220600037247;01;01;6
20220600039872;01;09;19
20220600044152;01;03;30
20230400000043;01;04;19
20230400000045;01;04;6
20230400000089;01;04;6
20230400000091;01;04;7
20230400000092;01;04;6
20230400000093;01;04;7
20230400000810;01;09;8
20230400000855;01;09;1
20230400001181;01;09;30
20230400001564;01;01;2
20230400001564;02;01;2
20230400001564;03;09;5
20230400001728;01;13;7
20230400001728;02;01;7
20230400001728;03;01;7
20230400002905;01;09;1
20230400003453;01;16;3
20230400003495;01;09;4
20230400003495;02;01;6
20230400003495;03;13;4
20230400003692;01;04;6
20230400003693;01;04;9
