mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
052023;2;20210500002729;2;2;12;09;4;1;2;6;1604.4014756;731.24874128
052023;2;20210500025840;2;2;12;13;4;3;3;6;955.45711235;386.81423679
052023;2;20210600006137;2;2;15;13;3;1;1;6;3465.8414133;468.14945491
052023;2;20210600029572;8;2;15;13;4;1;1;6;4160.1736622;299.03937222
052023;2;20220400001556;2;2;12;13;60;2;2;6;7420.6480506;1751.0233381
052023;2;20220400008542;2;2;15;16;3;1;2;6;3340.2269163;479.57580848
052023;2;20220400008546;2;2;12;16;4;1;2;6;1924.8910937;1625.6728497
052023;2;20220400023197;2;2;02;14;6;2;1;6;1335.6957003;537.23937352
052023;2;20220400023198;2;2;02;10;3;1;3;6;905.51705952;62.761099114
052023;2;20220400023199;2;2;02;14;10;3;1;6;1002.4937626;108.88226511
052023;2;20220400023200;2;2;02;14;8;3;1;6;1131.0052499;207.88765352
052023;2;20220400023201;2;2;02;10;10;3;1;6;864.91127339;95.646888303
052023;2;20220400037556;2;3;07;12;2;2;1;1;434.28184706;638.41059784
052023;2;20220400038768;2;2;12;09;7;3;1;6;992.13904967;439.31913985
052023;2;20220400039850;2;2;12;05;60;3;3;6;4773.465377;1156.5520243
052023;2;20220500000330;2;2;12;13;60;3;1;6;4280.328935;766.30283868
052023;2;20220500002382;2;2;06;04;10;1;1;6;2011.5683937;77.482150893
052023;2;20220500002383;2;2;06;04;10;1;1;6;1369.0279875;43.166163524
052023;2;20220500005005;2;2;02;14;4;1;1;6;925.93165893;299.56853521
052023;2;20220500005007;2;2;02;14;7;2;1;6;1469.8722568;537.23937352
052023;2;20220500005008;2;2;08;01;14;3;1;6;1011.1970588;618.57989355
052023;2;20220500005010;2;2;08;01;14;1;1;6;1931.5883424;1578.3439085
052023;2;20220500005012;2;2;08;14;7;3;1;6;648.29040692;950.55311765
052023;2;20220500005050;2;2;08;14;14;3;3;6;679.07651692;549.66895237
052023;2;20220500005051;2;2;08;14;10;3;1;6;825.87161229;1088.9280654
052023;2;20220500005053;2;2;08;14;7;3;1;6;706.39021509;1088.9280654
052023;2;20220500005054;2;2;08;14;10;3;3;6;1572.324064;239.91003306
052023;2;20220500005056;2;2;08;14;14;3;1;6;1037.7253719;1088.9280654
052023;2;20220500006570;2;2;14;04;10;1;1;6;3270.6759322;423.56003661
052023;2;20220500006572;2;2;14;09;12;1;1;6;3074.8156756;105.54956539
052023;2;20220500009560;2;2;12;13;4;3;1;6;1177.3033784;1337.8506359
052023;2;20220500010597;2;2;12;09;7;3;3;6;830.18090555;221.75945228
052023;2;20220500012178;2;2;08;14;20;3;1;6;2741.3925972;475.27655882
052023;2;20220500012179;2;2;08;14;12;3;1;6;1773.8433992;950.55311765
052023;2;20220500012180;2;2;08;01;20;3;1;6;1528.5237485;618.57989355
052023;2;20220500012181;2;2;08;14;9;1;1;6;1397.5845658;1945.8361954
052023;2;20220500012182;2;2;08;14;6;3;1;6;795.37421686;950.55311765
052023;2;20220500012183;2;2;08;01;25;3;1;6;1482.700401;618.57989355
052023;2;20220500012184;2;2;08;01;8;3;1;6;829.2649889;1417.2569513
052023;2;20220500012185;2;2;08;14;9;3;3;6;723.3419774;549.66895237
052023;2;20220500012186;2;2;08;10;5;3;1;6;701.76867914;627.3181876
052023;2;20220500012188;2;2;08;14;9;3;1;6;1383.4807586;1088.9280654
052023;2;20220500013411;2;2;14;09;6;1;1;6;2077.7516791;714.62349831
052023;2;20220500013413;2;2;12;09;8;1;1;6;2096.9259645;887.17069835
052023;2;20220500013501;2;2;12;09;1;1;2;6;714.07175831;935.52976942
052023;2;20220500014665;2;2;14;09;4;1;1;6;1633.5463196;1132.2788654
052023;2;20220500015911;2;2;05;04;3;1;1;6;502.10367343;37.299170149
052023;2;20220500015912;2;2;05;04;3;1;1;6;636.5028019;37.299170149
052023;2;20220500015914;2;2;05;04;3;1;1;6;502.10367343;447.59004179
052023;2;20220500015992;2;2;05;04;2;1;1;6;466.66509546;98.237057734
052023;2;20220500015993;2;2;05;04;3;1;1;6;583.33483188;74.598340298
052023;2;20220500015994;2;2;05;04;3;1;1;6;689.43074644;37.299170149
052023;2;20220500019614;2;2;14;09;3;1;1;6;1433.6007429;2137.8769964
052023;2;20220500020226;2;2;05;04;8;1;1;6;1057.03213;18.836415347
052023;2;20220500020245;2;2;05;04;3;1;1;6;730.57682755;37.299170149
052023;2;20220500020246;2;2;05;04;3;1;1;6;705.41420556;74.598340298
052023;2;20220500020247;2;2;05;04;7;3;1;6;543.37176777;45.503584807
052023;2;20220500020249;2;2;05;04;3;1;1;6;636.5028019;74.598340298
052023;2;20220500020259;2;2;05;04;6;1;1;6;883.35867715;32.665598592
052023;2;20220500020260;2;2;05;04;3;1;1;1;706.57873899;76.002214263
052023;2;20220500020284;2;2;05;04;3;2;1;6;521.738922;136.30806432
052023;2;20220500020285;2;2;05;04;3;1;1;6;624.37841827;74.598340298
052023;2;20220500020286;2;2;05;04;3;1;1;6;583.33483188;261.09419104
