A0_1;C9_0;ccaa_etapa;pernoc_etapa
20220400001556;01;13;60
20220400008542;01;16;3
20220400008546;01;16;4
20220400018163;01;10;7
20220400018164;01;10;18
20220400018165;01;14;5
20220400018166;01;14;7
20220400023197;01;14;6
20220400023198;01;10;3
20220400023199;01;14;10
20220400023200;01;14;8
20220400023201;01;10;10
20220400038768;01;09;7
20220400039850;01;05;57
20220400039850;02;05;3
20220500000330;01;13;58
20220500000330;02;08;2
20220500005005;01;14;4
20220500005007;01;14;7
20220500007702;01;10;6
20220500009560;01;13;4
20220500010597;01;09;7
20220500013413;01;01;1
20220500013413;02;01;1
20220500013413;03;01;1
20220500013413;04;01;1
20220500013413;05;09;4
20220500013501;01;09;1
20220500026292;01;14;6
20220500026293;01;01;6
20220500026294;01;14;3
20220500026295;01;14;8
20220500026297;01;14;7
20220500033216;01;10;1
20220600000116;01;13;6
20220600000118;01;13;7
20220600022741;01;10;7
20220600024168;01;14;22
20220600024169;01;01;28
20220600024170;01;10;42
20220600024172;01;10;16
20220600024173;01;10;10
20220600028101;01;13;4
20220600036648;01;16;3
20220600037247;01;01;6
20220600044152;01;03;30
20230400000167;01;09;3
20230400000810;01;09;8
20230400000855;01;09;1
20230400001106;01;09;2
20230400001110;01;09;6
20230400001114;01;09;2
20230400001114;02;01;6
20230400001114;03;04;4
20230400001115;01;09;1
20230400001116;01;09;6
20230400001117;01;09;10
20230400001118;01;09;3
20230400001181;01;09;30
20230400001182;01;09;5
20230400001186;01;09;3
20230400001187;01;09;2
20230400001188;01;09;3
20230400001189;01;09;2
20230400001190;01;09;4
20230400001564;01;01;2
20230400001564;02;01;2
20230400001564;03;09;5
20230400001728;01;13;7
20230400001728;02;01;7
20230400001728;03;01;7
20230400001925;01;09;2
20230400001943;01;13;3
20230400002135;01;10;12
20230400002149;01;07;1
20230400002149;02;07;1
20230400002155;01;07;1
20230400002803;01;01;40
20230400002803;02;02;1
20230400002805;01;10;30
20230400002905;01;09;1
20230400003453;01;16;3
20230400003495;01;09;4
20230400003495;02;01;6
20230400003495;03;13;4
20230400004130;01;09;2
20230400004154;01;02;1
20230400004206;01;02;4
20230400004206;02;10;4
20230400004206;03;01;4
20230400004206;04;01;7
20230400004224;01;01;2
20230400004235;01;10;3
20230400004236;01;01;1
20230400004247;01;16;1
20230400004247;02;10;1
20230400004247;03;01;1
20230400004257;01;01;5
20230400004257;02;02;12
20230400004257;03;10;4
20230400004257;04;10;3
20230400004257;05;08;6
20230400004257;06;07;7
20230400004257;07;11;4
20230400004257;08;07;8
20230400004257;09;07;6
20230400004257;10;07;5
20230400004262;01;07;7
20230400004262;02;11;7
20230400004267;01;10;7
20230400004267;02;01;7
20230400004267;03;01;7
20230400004267;04;01;7
20230400004267;05;14;3
20230400004284;01;10;3
20230400004288;01;10;1
20230400004289;01;10;1
20230400004291;01;10;1
20230400004298;01;14;3
20230400005136;01;15;3
20230400005149;01;10;70
20230400005358;01;01;3
20230400005438;01;10;4
20230400006730;01;10;7
20230400006802;01;10;7
20230400006989;01;04;1
20230400006990;01;04;2
20230400006992;01;04;3
20230400007784;01;10;1
20230400007784;02;01;1
20230400007792;01;12;1
20230400007792;02;16;1
20230400008722;01;09;1
20230400008730;01;09;1
20230400008732;01;09;1
20230400008735;01;09;1
20230400008886;01;01;8
20230400008922;01;09;4
20230400009271;01;10;3
20230400009272;01;10;2
20230400009273;01;10;2
20230400009361;01;10;2
20230400009362;01;10;4
20230400009363;01;10;3
20230400009365;01;10;3
20230400009366;01;10;4
20230400009366;02;10;2
20230400009370;01;10;10
20230400009437;01;09;30
20230400009630;01;01;1
20230400010212;01;10;5
20230400010215;01;10;9
20230400010274;01;08;7
20230400010274;02;10;3
20230400010275;01;10;7
20230400010276;01;10;5
20230400010352;01;15;7
20230400010684;01;13;3
20230400010748;01;13;3
20230400010837;01;16;2
20230400010837;02;16;1
20230400010837;03;15;1
20230400010837;04;16;1
20230400010952;01;12;1
20230400011048;01;10;3
20230400011050;01;09;1
20230400011050;02;01;1
20230400012390;01;15;1
