A0_1;C9_0;ccaa_etapa;pernoc_etapa
20211100012880;01;13;4
20221000016530;01;10;14
20221000020837;01;10;14
20221000020837;02;16;2
20221000022213;01;13;9
20221000039018;01;10;20
20221000039018;02;09;4
20221000039018;03;13;3
20221000039098;01;05;14
20221000043563;01;13;5
20221100001327;01;01;30
20221100001383;01;01;21
20221100002044;01;09;10
20221100003953;01;13;8
20221100006062;01;01;21
20221100006431;01;01;14
20221100009097;01;01;14
20221100009097;02;10;7
20221100009097;03;10;4
20221100009097;04;10;4
20221100009097;05;15;1
20221100011888;01;09;5
20221100014139;01;09;5
20221100014222;01;09;11
20221100015066;01;09;3
20221100015119;01;09;10
20221100015120;01;09;7
20221100016542;01;13;2
20221100016542;02;09;1
20221100018838;01;09;2
20221100018838;02;13;1
20221100028572;01;10;4
20221100030578;01;09;3
20221100032475;01;13;4
20221100032475;02;01;10
20221100033726;01;13;3
20221100033726;02;08;1
20221100034180;01;09;3
20221100035741;01;09;5
20221100037371;01;09;2
20221200004879;01;09;6
20221200013013;01;10;14
20221200019259;01;10;42
20221200019259;02;09;3
20221200023873;01;09;5
20221200024234;01;07;1
20221200025744;01;01;5
20221200025744;02;09;4
20221200025814;01;09;4
20221200025815;01;09;1
20221200025883;01;09;40
20221200025885;01;09;3
20221200025886;01;09;3
20221200026153;01;02;2
20221200026529;01;10;14
20221200026791;01;13;7
20221200029154;01;09;1
20221200031392;01;13;5
20221200031392;02;01;7
20221200031392;03;10;6
20221200031392;04;09;7
20221200031999;01;06;6
20221200032938;01;09;1
20221200034521;01;09;5
20221200035282;01;09;12
20221200035340;01;09;9
20221200036681;01;09;1
20231000000614;01;13;5
20231000000628;01;13;4
20231000000743;01;16;1
20231000000768;01;12;1
20231000000831;01;16;1
20231000000839;01;07;1
20231000001637;01;10;2
20231000001638;01;10;7
20231000001639;01;10;14
20231000001640;01;10;30
20231000001642;01;10;3
20231000001643;01;10;14
20231000001645;01;10;6
20231000001646;01;10;7
20231000001646;02;07;3
20231000001647;01;10;3
20231000001649;01;10;7
20231000001650;01;10;3
20231000001651;01;10;3
20231000001652;01;10;7
20231000001653;01;10;6
20231000001654;01;10;5
20231000001655;01;10;5
20231000001656;01;10;3
20231000001657;01;10;3
20231000001657;02;13;5
20231000001657;03;09;2
20231000001736;01;09;5
20231000002030;01;15;1
20231000003116;01;13;6
20231000003118;01;13;6
20231000003127;01;13;4
20231000003128;01;13;4
20231000003129;01;13;2
20231000003129;02;07;3
20231000003129;03;07;2
20231000003130;01;13;5
20231000003132;01;13;4
20231000003161;01;13;2
20231000003163;01;07;14
20231000003164;01;13;3
20231000003164;02;09;1
20231000003166;01;13;14
20231000003167;01;13;10
20231000003173;01;13;1
20231000003239;01;09;12
20231000003256;01;02;2
20231000003256;02;07;1
20231000003256;03;07;1
20231000003256;04;15;1
20231000003261;01;10;2
20231000003261;02;10;7
20231000003261;03;02;1
20231000003266;01;09;16
20231000003722;01;13;3
20231000003722;02;09;3
20231000003723;01;09;1
20231000003724;01;09;4
20231000003725;01;09;3
20231000003728;01;13;1
20231000003728;02;09;1
20231000003729;01;13;1
20231000003730;01;09;6
20231000003731;01;09;1
20231000003733;01;13;2
20231000003733;02;09;4
20231000003734;01;09;6
20231000003735;01;13;4
20231000003735;02;09;4
20231000003737;01;09;1
20231000003737;02;10;7
20231000003738;01;09;3
20231000003739;01;09;1
20231000003740;01;10;7
20231000003740;02;09;1
20231000003743;01;09;4
20231000003744;01;13;7
20231000003744;02;09;2
20231000003745;01;09;3
20231000003747;01;09;3
20231000003748;01;09;8
20231000003749;01;09;5
20231000003901;01;04;7
20231000003902;01;04;7
20231000003903;01;04;2
20231000003904;01;04;39
20231000003906;01;04;7
20231000003926;01;04;3
20231000003927;01;04;7
20231000003928;01;04;3
20231000003931;01;04;8
20231000003932;01;04;3
20231000003934;01;04;4
20231000003962;01;04;9
20231000003963;01;04;4
20231000003964;01;04;9
20231000003965;01;04;7
20231000003966;01;04;10
20231000003993;01;04;2
20231000003994;01;04;7
20231000003995;01;04;3
20231000003999;01;04;9
20231000004000;01;04;4
20231000004476;01;09;4
20231000004531;01;13;1
20231000004554;01;13;1
20231000004554;02;09;5
20231000004650;01;07;1
20231000004674;01;15;1
20231000004674;02;07;1
20231000004674;03;07;1
20231000004674;04;07;1
20231000004674;05;16;1
20231000004674;06;12;3
20231000004674;07;16;1
20231000004676;01;07;1
20231000004676;02;16;1
20231000004680;01;16;2
20231000004680;02;06;2
20231000004680;03;03;3
20231000004680;04;12;4
20231000004688;01;15;2
20231000004719;01;01;7
20231000004722;01;01;10
20231000004732;01;01;7
20231000004738;01;01;16
20231000004742;01;01;30
20231000004812;01;01;2
20231000004818;01;01;5
20231000004830;01;01;7
20231000004833;01;09;2
20231000004833;02;10;2
20231000004833;03;01;2
20231000004841;01;01;5
20231000005122;01;09;2
20231000005123;01;09;3
20231000005124;01;09;7
20231000005127;01;09;3
20231000005130;01;09;2
20231000005131;01;09;2
20231000005131;02;01;8
20231000005133;01;09;5
20231000005134;01;09;3
20231000005137;01;09;2
20231000005137;02;09;2
20231000005138;01;09;6
20231000005139;01;13;2
20231000005139;02;09;2
20231000005140;01;09;1
20231000005141;01;09;7
20231000005142;01;09;5
20231000005143;01;09;3
20231000005143;02;05;7
20231000005145;01;09;4
20231000005146;01;09;5
20231000005506;01;04;60
20231000005510;01;04;8
20231000005566;01;04;9
20231000005568;01;04;9
20231000005606;01;04;4
20231000005612;01;04;3
20231000005679;01;04;6
20231000005680;01;04;4
20231000006481;01;13;58
20231000006481;02;05;2
20231000006490;01;13;7
20231000006491;01;13;2
20231000006492;01;13;4
20231000006492;02;01;9
20231000006495;01;01;15
20231000006568;01;13;1
20231000006578;01;13;3
20231000006578;02;08;3
20231000006579;01;05;9
20231000007233;01;12;3
20231000007234;01;12;20
20231000007235;01;12;6
20231000007236;01;12;8
20231000007237;01;12;4
20231000007239;01;12;1
20231000007240;01;12;10
20231000007243;01;12;7
20231000008288;01;13;3
20231000008289;01;13;6
20231000008296;01;13;4
20231000008344;01;13;3
20231000008350;01;13;1
20231000008387;01;16;1
20231000008395;01;07;1
20231000008497;01;16;1
20231000008603;01;11;1
20231000008603;02;02;1
20231000008604;01;02;3
20231000008606;01;08;15
20231000008732;01;09;8
20231000008733;01;09;2
20231000008734;01;09;2
20231000008735;01;09;5
20231000008736;01;09;9
20231000008737;01;09;4
20231000008738;01;09;4
20231000008738;02;13;2
20231000008739;01;09;5
20231000008740;01;09;4
20231000008740;02;13;14
20231000008741;01;09;6
20231000008742;01;09;4
20231000008744;01;09;4
20231000008746;01;09;4
20231000008747;01;09;5
20231000008748;01;09;5
20231000008749;01;04;3
20231000008751;01;07;1
20231000008751;02;08;1
20231000008751;03;09;1
20231000008751;04;01;6
20231000008751;05;09;1
20231000008752;01;10;5
20231000008752;02;09;3
20231000008814;01;10;2
20231000008815;01;10;3
20231000008885;01;10;4
20231000009452;01;12;2
20231000009494;01;09;4
20231000009497;01;10;28
20231000009554;01;09;14
20231000009561;01;16;2
20231000009614;01;07;1
20231000009624;01;07;1
20231000009630;01;07;1
20231000009672;01;01;7
20231000009678;01;01;3
20231000009694;01;01;2
20231000009722;01;01;3
20231000009736;01;09;2
20231000009736;02;15;1
20231000009738;01;01;25
20231000009740;01;01;30
20231000009747;01;01;14
20231000009753;01;10;6
20231000009753;02;01;6
20231000009753;03;01;2
20231000009754;01;17;5
20231000009757;01;01;2
20231000009758;01;01;3
20231000009758;02;01;1
20231000010380;01;09;1
20231000011190;01;09;7
20231000011297;01;13;2
20231000011297;02;12;2
20231000011298;01;06;3
20231000011299;01;13;2
20231000011302;01;13;3
20231000011330;01;13;4
20231000011331;01;13;3
20231000011332;01;13;2
20231000011333;01;13;5
20231000011333;02;16;1
20231000011334;01;07;2
20231000011391;01;07;21
20231000011392;01;10;7
20231000011393;01;13;2
20231000011394;01;13;3
20231000011395;01;07;2
20231000011417;01;13;2
20231000011418;01;13;10
20231000011419;01;08;4
20231000011420;01;13;4
20231000011421;01;13;2
20231000011878;01;01;4
20231000012101;01;04;2
20231000012102;01;04;2
20231000012103;01;04;2
20231000012104;01;04;9
20231000012105;01;04;6
20231000012211;01;04;3
20231000012212;01;04;7
20231000012384;01;09;2
20231000012699;01;13;7
20231000013414;01;10;4
20231000013415;01;10;4
20231000013417;01;10;30
20231000013494;01;10;5
20231000013495;01;10;3
20231000013496;01;10;4
20231000013497;01;10;3
20231000013789;01;04;6
20231000013790;01;04;3
20231000013791;01;04;4
20231000013887;01;04;4
20231000013888;01;04;6
20231000013889;01;04;2
20231000014568;01;10;7
20231000014618;01;10;2
20231000014661;01;07;1
20231000014741;01;07;1
20231000014759;01;15;1
20231000014765;01;13;5
20231000015691;01;04;7
20231000015694;01;04;7
20231000015695;01;04;15
20231000015795;01;04;7
20231000015796;01;04;7
20231000015797;01;04;4
20231000015798;01;04;5
20231000015851;01;04;5
20231000015870;01;16;1
20231000016025;01;16;10
20231000016389;01;13;3
20231000016389;02;01;2
20231000016389;03;12;1
20231000016390;01;09;4
20231000016390;02;13;4
20231000016390;03;12;4
20231000016391;01;12;2
20231000016391;02;12;2
20231000016391;03;16;2
20231000016393;01;02;1
20231000016393;02;15;1
20231000016394;01;13;3
20231000016394;02;09;3
20231000016395;01;09;5
20231000016395;02;09;1
20231000016395;03;06;5
20231000016396;01;09;5
20231000016397;01;09;5
20231000016398;01;09;5
20231000016399;01;09;6
20231000016399;02;09;4
20231000016399;03;09;6
20231000016400;01;09;9
20231000016402;01;09;6
20231000016403;01;09;4
20231000016404;01;09;2
20231000016405;01;09;14
20231000016406;01;09;1
20231000016407;01;09;2
20231000016408;01;09;1
20231000016408;02;09;7
20231000016410;01;09;3
20231000016412;01;09;4
20231000016456;01;10;75
20231000016509;01;14;2
20231000017329;01;09;45
20231000017337;01;07;1
20231000017419;01;07;1
20231000017419;02;15;1
20231000017419;03;16;1
20231000017425;01;15;1
20231000017425;02;15;1
20231000017425;03;17;1
20231000017425;04;17;1
20231000017425;05;01;1
20231000017425;06;07;2
20231000017425;07;07;1
20231000017425;08;07;1
20231000017425;09;07;1
20231000017425;10;08;1
20231000017425;11;15;2
20231000017435;01;15;1
20231000017450;01;15;2
20231000017744;01;13;2
20231000017744;02;09;3
20231000017745;01;09;2
20231000017746;01;09;3
20231000017747;01;01;3
20231000017747;02;10;4
20231000017747;03;09;3
20231000017749;01;01;3
20231000017749;02;09;5
20231000017751;01;09;4
20231000017752;01;09;4
20231000017753;01;09;2
20231000017755;01;01;3
20231000017755;02;01;2
20231000017755;03;09;1
20231000017756;01;09;3
20231000017757;01;13;4
20231000017759;01;09;3
20231000017759;02;09;3
20231000017760;01;09;5
20231000017761;01;13;2
20231000017761;02;09;2
20231000017762;01;09;4
20231000017763;01;09;4
20231000017765;01;09;7
20231000017766;01;09;4
20231000017767;01;09;7
20231000017768;01;09;6
20231000017768;02;01;3
20231000017768;03;01;3
20231000017768;04;01;4
20231000017768;05;09;3
20231000017769;01;09;5
20231000018400;01;10;7
20231000018401;01;10;5
20231000018402;01;10;4
20231000018403;01;10;1
20231000018452;01;10;4
20231000018460;01;10;4
20231000018464;01;10;6
20231000018465;01;10;42
20231000018532;01;09;9
20231000018620;01;09;3
20231000018666;01;13;10
20231000018782;01;13;5
20231000018811;01;07;1
20231000018822;01;07;1
20231000018861;01;09;5
20231000019331;01;10;95
20231000019546;01;04;6
20231000019547;01;04;5
20231000019548;01;04;4
20231000019603;01;04;7
20231000019604;01;04;5
20231000019605;01;04;7
20231000019630;01;04;5
20231000019631;01;04;5
20231000019632;01;04;4
20231000019681;01;04;7
20231000019686;01;04;4
20231000019688;01;04;10
20231000019689;01;04;7
20231000019691;01;04;7
20231000020209;01;04;7
20231000020210;01;04;7
20231000020400;01;04;14
20231000020401;01;04;7
20231000020403;01;04;9
20231000020528;01;10;3
20231000020548;01;10;9
20231000020551;01;09;7
20231000020551;02;10;4
20231000020615;01;09;5
20231000020952;01;13;1
20231000021112;01;09;1
20231000021176;01;02;6
20231000021185;01;06;6
20231000021185;02;02;7
20231000022049;01;10;10
20231000022051;01;10;8
20231000022052;01;10;2
20231000022120;01;10;2
20231000022120;02;04;1
20231000022121;01;10;2
20231000022121;02;10;2
20231000022123;01;10;6
20231000023264;01;04;6
20231000023265;01;04;7
20231000023266;01;04;6
20231000023267;01;04;7
20231000023355;01;04;7
20231000023356;01;04;7
20231000023735;01;13;14
20231000023736;01;13;3
20231000023754;01;13;5
20231000023756;01;13;5
20231000023769;01;13;9
20231000023808;01;13;3
20231000023809;01;01;2
20231000023810;01;13;3
20231000023811;01;13;3
20231000023851;01;13;4
20231000023871;01;13;6
20231000023910;01;13;6
20231000024027;01;09;10
20231000024148;01;07;1
20231000024148;02;09;3
20231000024188;01;09;4
20231000024189;01;09;2
20231000024191;01;09;1
20231000024191;02;04;9
20231000024193;01;09;4
20231000024194;01;13;6
20231000024195;01;09;3
20231000024195;02;13;3
20231000024197;01;09;7
20231000024199;01;13;2
20231000024199;02;09;3
20231000024200;01;09;6
20231000024201;01;10;3
20231000024201;02;10;2
20231000024201;03;09;4
20231000024201;04;09;3
20231000024203;01;01;7
20231000024205;01;09;12
20231000024207;01;09;2
20231000024208;01;09;2
20231000024209;01;09;2
20231000024210;01;10;4
20231000024210;02;09;3
20231000024210;03;09;2
20231000024482;01;09;2
20231000024482;02;13;17
20231000024845;01;04;3
20231000024846;01;04;19
20231000024847;01;04;4
20231000024942;01;04;3
20231000024943;01;04;3
20231000024944;01;04;7
20231000024966;01;04;4
20231000024966;02;04;4
20231000025258;01;12;4
20231000025262;01;10;2
20231000025263;01;10;2
20231000025265;01;10;3
20231000025266;01;10;3
20231000025267;01;10;7
20231000025268;01;10;3
20231000025269;01;10;15
20231000025270;01;10;5
20231000025271;01;10;4
20231000025473;01;10;3
20231000025474;01;10;3
20231000025475;01;10;3
20231000025476;01;10;3
20231000025477;01;10;2
20231000025477;02;13;1
20231000025477;03;12;1
20231000025477;04;12;1
20231000025478;01;10;3
20231000025479;01;10;7
20231000025479;02;07;2
20231000025480;01;10;5
20231000025481;01;10;5
20231000025482;01;10;5
20231000025483;01;02;10
20231000025484;01;10;3
20231000025499;01;01;16
20231000025518;01;13;3
20231000025630;01;01;7
20231000025846;01;07;2
20231000026236;01;09;2
20231000026236;02;06;2
20231000026381;01;10;7
20231000026382;01;14;35
20231000026383;01;10;5
20231000026423;01;14;4
20231000026424;01;10;5
20231000027496;01;01;1
20231000027503;01;01;1
20231000027503;02;10;1
20231000027515;01;01;3
20231000027552;01;01;7
20231000027555;01;01;21
20231000027558;01;01;2
20231000027565;01;01;7
20231000027566;01;01;3
20231000027571;01;01;1
20231000027710;01;12;8
20231000027711;01;12;10
20231000027712;01;12;4
20231000027713;01;12;4
20231000027715;01;07;1
20231000027715;02;07;1
20231000027715;03;12;1
20231000027716;01;13;3
20231000027716;02;12;3
20231000027716;03;12;2
20231000027717;01;12;1
20231000027717;02;12;1
20231000027762;01;10;5
20231000027763;01;10;2
20231000027764;01;14;6
20231000027816;01;14;2
20231000027971;01;01;7
20231000027971;02;13;9
20231000027972;01;13;7
20231000028107;01;13;2
20231000028107;02;01;3
20231000028107;03;01;1
20231000028108;01;12;19
20231000028110;01;13;2
20231000028110;02;01;3
20231000028371;01;04;5
20231000028372;01;04;6
20231000028373;01;04;7
20231000028427;01;10;6
20231000028503;01;10;4
20231000028536;01;13;4
20231000028536;02;09;4
20231000028544;01;09;5
20231000028544;02;10;5
20231000028544;03;10;7
20231000028597;01;09;10
20231000028693;01;13;1
20231000028771;01;16;1
20231000028892;01;12;21
20231000028898;01;01;10
20231000028898;02;09;10
20231000028898;03;02;3
20231000028898;04;15;2
20231000028911;01;12;3
20231000028911;02;03;4
20231000028911;03;06;4
20231000028911;04;16;4
20231000028912;01;17;2
20231000029266;01;09;3
20231000029266;02;13;3
20231000029267;01;12;10
20231000029268;01;12;20
20231000029269;01;12;35
20231000029441;01;10;7
20231000029443;01;10;5
20231000029444;01;10;90
20231000029500;01;10;7
20231000029501;01;10;10
20231000029502;01;10;16
20231000030013;01;13;4
20231000030013;02;01;3
20231000030094;01;04;3
20231000030095;01;04;3
20231000030099;01;04;54
20231000030140;01;04;4
20231000030141;01;04;10
20231000030142;01;04;4
20231000030143;01;04;3
20231000030198;01;04;21
20231000030245;01;04;7
20231000030320;01;04;4
20231000030320;02;04;1
20231000030321;01;04;9
20231000030687;01;10;5
20231000030687;02;09;4
20231000030753;01;03;4
20231000030753;02;09;3
20231000030939;01;01;36
20231000031257;01;09;3
20231000031257;02;13;3
20231000031258;01;13;6
20231000031258;02;10;2
20231000031258;03;09;5
20231000031261;01;09;4
20231000031261;02;10;6
20231000031262;01;09;7
20231000031263;01;09;3
20231000031264;01;09;3
20231000031266;01;09;10
20231000031269;01;09;7
20231000031269;02;10;7
20231000031271;01;01;4
20231000031271;02;09;2
20231000031272;01;09;4
20231000031273;01;09;4
20231000031275;01;13;2
20231000031276;01;09;5
20231000031277;01;09;4
20231000031277;02;13;5
20231000031278;01;09;5
20231000031279;01;09;7
20231000031280;01;09;10
20231000031280;02;08;6
20231000031280;03;01;10
20231000031281;01;13;4
20231000031281;02;15;1
20231000031281;03;09;3
20231000031282;01;02;8
20231000031282;02;09;2
20231000031283;01;09;3
20231000031284;01;09;14
20231000031469;01;04;60
20231000031470;01;04;3
20231000031526;01;04;3
20231000031584;01;13;3
20231000031584;02;01;3
20231000031618;01;13;8
20231000031618;02;09;8
20231000031618;03;10;8
20231000031702;01;13;14
20231000032138;01;04;7
20231000032139;01;04;10
20231000032140;01;04;6
20231000032141;01;04;7
20231000032156;01;04;5
20231000032157;01;04;3
20231000032186;01;04;9
20231000032187;01;04;13
20231000032188;01;04;5
20231000032190;01;04;3
20231000032212;01;04;3
20231000032214;01;04;4
20231000032217;01;04;7
20231000032234;01;04;4
20231000032246;01;04;5
20231000032247;01;04;7
20231000032248;01;04;6
20231000032249;01;04;7
20231000032304;01;04;7
20231000032305;01;04;7
20231000032306;01;04;5
20231000032307;01;04;5
20231000032414;01;10;3
20231000032414;02;10;3
20231000032414;03;09;1
20231000032457;01;13;3
20231000032457;02;10;1
20231000032457;03;09;1
20231000032476;01;02;3
20231000032575;01;13;30
20231000032576;01;13;3
20231000032577;01;11;20
20231000032726;01;07;1
20231000032796;01;03;1
20231000032796;02;12;1
20231000032796;03;12;1
20231000032797;01;16;2
20231000032797;02;16;1
20231000032797;03;12;2
20231000033990;01;04;4
20231000033991;01;04;3
20231000033993;01;04;7
20231000034229;01;09;2
20231000034437;01;10;5
20231000034437;02;10;20
20231000034453;01;15;1
20231000034474;01;07;2
20231000034474;02;07;2
20231000034474;03;15;2
20231000034490;01;10;10
20231000034490;02;15;1
20231000036005;01;04;3
20231000036006;01;04;3
20231000036007;01;04;3
20231000036495;01;04;1
20231000036495;02;04;2
20231000036559;01;04;3
20231000036560;01;04;2
20231000036988;01;10;5
20231000037058;01;16;1
20231000037093;01;10;9
20231000037093;02;10;21
20231000037107;01;15;1
20231000037120;01;16;1
20231000037175;01;01;4
20231000037183;01;01;2
20231000037191;01;01;1
20231000037210;01;01;1
20231000037840;01;16;1
20231000037840;02;07;1
20231000037856;01;09;1
20231000037857;01;09;6
20231000037858;01;09;4
20231000037859;01;09;1
20231000037859;02;04;11
20231000037860;01;09;2
20231000037861;01;09;4
20231000037861;02;13;4
20231000037861;03;06;28
20231000037862;01;09;5
20231000037863;01;13;2
20231000037863;02;09;2
20231000037864;01;01;14
20231000037864;02;09;5
20231000037866;01;09;1
20231000037867;01;09;4
20231000037869;01;09;4
20231000037871;01;09;1
20231000037871;02;01;4
20231000037871;03;01;3
20231000037871;04;01;2
20231000037871;05;13;1
20231000037872;01;09;12
20231000037874;01;09;5
20231000037874;02;13;2
20231000037875;01;09;3
20231000037875;02;13;3
20231000037875;03;02;1
20231000037877;01;01;7
20231000037877;02;09;7
20231000037879;01;13;4
20231000037879;02;01;3
20231000037879;03;01;3
20231000037879;04;09;3
20231000037880;01;09;5
20231000038163;01;04;4
20231000038164;01;04;3
20231000038165;01;04;2
20231000038166;01;09;3
20231000038166;02;04;2
20231000038278;01;04;2
20231000038279;01;04;4
20231000038280;01;04;5
20231000038282;01;04;10
20231000038284;01;04;4
20231000038286;01;04;5
20231000038358;01;04;3
20231000038362;01;04;3
20231000038703;01;10;10
20231000038704;01;10;3
20231000038705;01;10;3
20231000038706;01;10;3
20231000038785;01;10;3
20231000038786;01;10;5
20231000038870;01;09;21
20231000038950;01;09;3
20231000038954;01;09;4
20231000039381;01;16;2
20231000040025;01;16;5
20231000040025;02;16;1
20231000040025;03;06;1
20231000040025;04;12;1
20231000040026;01;12;9
20231000040063;01;10;4
20231000040160;01;10;18
20231000040994;01;09;2
20231000041603;01;10;3
20231000041603;02;10;1
20231000041608;01;09;10
20231000041609;01;09;21
20231000041610;01;09;3
20231000041610;02;04;2
20231000041611;01;09;4
20231000041611;02;13;3
20231000041612;01;09;12
20231000041613;01;01;12
20231000041613;02;09;1
20231000041614;01;09;5
20231000041616;01;09;4
20231000041616;02;09;2
20231000041618;01;13;4
20231000041619;01;09;5
20231000041620;01;09;3
20231000041620;02;01;3
20231000041620;03;01;3
20231000041620;04;01;4
20231000041620;05;13;2
20231000041621;01;10;4
20231000041621;02;01;5
20231000041621;03;01;2
20231000041621;04;13;4
20231000041621;05;15;3
20231000041621;06;09;4
20231000041623;01;09;7
20231000041624;01;09;2
20231000041624;02;09;1
20231000041625;01;09;3
20231000041625;02;13;1
20231000041626;01;09;3
20231000041627;01;09;15
20231000041628;01;09;7
20231000041629;01;09;6
20231000041640;01;10;7
20231000041641;01;01;5
20231000041642;01;10;3
20231000041644;01;10;10
20231000041655;01;05;4
20231000041655;02;14;3
20231000041655;03;10;1
20231000041657;01;10;2
20231000041666;01;14;14
20231000041669;01;10;11
20231000041670;01;10;7
20231000041671;01;14;8
20231000041689;01;10;16
20231000041690;01;10;4
20231000041691;01;14;3
20231000041911;01;04;10
20231000041912;01;04;60
20231000042744;01;13;6
20231000043619;01;12;4
20231000043619;02;13;1
20231000043983;01;04;8
20231000044096;01;04;7
20231000045727;01;10;7
20231000045729;01;10;27
20231000045730;01;10;2
20231000045731;01;10;4
20231000045732;01;10;5
20231000045733;01;10;4
20231000045734;01;10;7
20231000045735;01;10;2
