mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
102024;2;20221000015293;2;2;12;09;14;3;3;6;1449.0541101;768.16167839
102024;2;20221000016530;2;2;12;10;14;3;1;6;1927.6603932;422.13583388
102024;2;20221000020837;2;2;12;10;16;3;1;6;2159.0777719;317.62599198
102024;2;20221000022213;2;2;12;13;9;1;1;6;2554.1521712;78.758843127
102024;2;20221000022681;2;2;12;09;6;3;1;6;1007.563297;644.46767911
102024;2;20221000026426;2;2;12;09;5;3;2;6;876.8723593;503.14148055
102024;2;20221000029899;2;2;12;09;6;3;1;6;974.45047262;1288.9353582
102024;2;20221000038256;2;3;03;09;2;3;1;1;196.10499169;255.50885979
102024;2;20221000039018;2;2;12;10;27;3;1;6;3218.7581446;58.160441722
102024;2;20221000039098;2;2;12;05;14;3;3;6;1801.5134494;363.32437605
102024;2;20221000043563;2;2;12;13;5;1;2;6;2628.258592;232.58058538
102024;2;20221000045501;2;2;12;09;3;1;1;6;1187.8546454;1948.4313414
102024;2;20221100003953;2;2;12;13;8;3;1;6;1239.6551503;557.75311923
102024;2;20221100006431;2;2;12;01;14;3;3;6;1914.490135;199.33415067
102024;2;20221100033726;2;2;12;13;4;1;2;6;2324.101589;847.59972944
102024;2;20221200013013;2;2;12;10;14;3;3;6;1824.7303794;431.29852271
102024;2;20221200019259;2;2;12;10;45;3;3;6;4177.8798898;215.64926136
102024;2;20221200026791;2;2;12;13;7;1;1;6;2169.6759329;153.17641572
102024;2;20221200031999;2;2;12;06;6;3;3;6;1010.6413421;717.96202905
102024;2;20231000000743;8;1;07;16;1;1;3;1;384.75297446;2937.494768
102024;2;20231000000768;2;1;07;12;1;1;1;6;229.40990029;5650.8823295
102024;2;20231000001082;2;1;05;09;4;3;1;6;520.43781683;297.65377078
102024;2;20231000001098;2;1;05;09;6;1;1;6;829.32490453;72.321227139
102024;2;20231000001637;2;2;12;10;2;1;1;6;699.89159333;364.54568002
102024;2;20231000001638;2;2;12;10;7;3;3;6;843.1150211;49.550960407
102024;2;20231000001639;2;2;12;10;14;3;3;6;1328.7236952;49.550960407
102024;2;20231000001640;2;2;12;10;30;3;3;6;2274.5431053;24.775480204
102024;2;20231000001642;2;2;12;10;3;1;1;6;851.54042493;241.16926406
102024;2;20231000001643;2;2;12;10;14;3;3;6;1328.7236952;24.775480204
102024;2;20231000001645;2;2;08;10;6;3;3;6;573.83418239;54.243742582
102024;2;20231000001646;2;2;08;10;10;3;3;6;1002.3012747;9.1305638656
102024;2;20231000001647;2;2;08;10;3;3;3;6;520.80407399;27.121871291
102024;2;20231000001649;2;2;08;10;7;3;3;6;779.39165518;27.121871291
102024;2;20231000001650;2;2;08;10;3;3;3;6;226.69282568;13.560935645
102024;2;20231000001651;2;2;08;10;3;3;3;6;379.33973872;13.560935645
102024;2;20231000001652;2;2;08;10;7;3;3;6;341.14820864;40.682806936
102024;2;20231000001653;2;2;12;10;6;1;1;6;1064.5683404;55.17304068
102024;2;20231000001654;2;2;08;10;5;3;3;6;435.14404195;40.682806936
102024;2;20231000001655;2;2;08;10;5;1;1;6;1162.2091343;81.097883804
102024;2;20231000001656;2;2;08;10;3;1;1;6;804.42395094;97.407979709
