A0_1;C9_0;ccaa_etapa;pernoc_etapa
20220300018797;01;04;20
20220300018798;01;04;3
20220300018799;01;04;15
20220300018800;01;04;7
20220300018801;01;04;7
20220300018802;01;04;7
20220300018803;01;04;26
20220300030067;01;04;3
20220300030068;01;04;3
20220300030069;01;04;10
20220300030070;01;04;3
20230200004227;01;13;2
20230200019392;01;09;2
20230200019395;01;09;14
20230200020227;01;14;3
20230200021347;01;09;3
20230200025400;01;09;2
20230200026111;01;09;6
20230200026165;01;13;4
20230200026165;02;09;6
20230200033601;01;09;21
20230200033696;01;09;20
20230200033697;01;09;25
20230300000829;01;09;20
20230300001470;01;10;30
20230300001734;01;13;3
20230300003050;01;09;4
20230300003050;02;16;1
20230300003179;01;16;2
20230300003182;01;05;30
20230300003227;01;13;5
20230300003990;01;09;1
20230300003990;02;09;1
20230300003990;03;10;1
20230300004825;01;09;7
20230300004826;01;09;9
20230300005014;01;07;14
20230300005034;01;13;2
20230300005034;02;09;2
20230300008492;01;09;14
20230300009066;01;05;3
20230300009067;01;13;12
20230300009071;01;13;7
20230300010830;01;09;13
20230300010978;01;01;1
20230300010978;02;01;6
20230300012438;01;01;1
20230300012438;02;01;1
20230300012438;03;13;1
20230300012438;04;09;7
20230300013193;01;13;2
20230300013804;01;09;2
20230300013804;02;10;7
20230300013804;03;01;7
20230300013804;04;01;2
20230300013804;05;01;5
20230300013931;01;09;6
20230300015193;01;13;2
20230300015193;02;09;4
20230300015193;03;01;4
20230300015197;01;13;4
20230300016783;01;13;20
20230300018284;01;09;3
20230300018365;01;09;2
20230300018568;01;13;4
20230300018568;02;01;3
20230300019510;01;13;7
20230300023508;01;04;5
20230300023509;01;04;7
20230300023598;01;04;3
20230300023600;01;04;3
20230300025997;01;02;57
20230300025997;02;10;1
20230300025997;03;16;1
20230300027984;01;13;4
20230300027984;02;09;5
20230300028163;01;13;1
20230300031095;01;13;1
20230300033715;01;04;3
20230300033716;01;04;3
20230300033717;01;04;2
20230300033738;01;04;6
20230300033739;01;04;1
20230300033741;01;04;21
20230300033742;01;04;2
20230300034449;01;16;5
20230300037541;01;04;4
20230300037542;01;04;52
20230300037547;01;04;1
20230300037547;02;04;1
20230300037547;03;04;1
20230300037548;01;04;1
20230300037548;02;04;1
20230300037548;03;04;1
20230300037562;01;04;4
20230300037563;01;04;4
20230300037564;01;04;4
20230300037565;01;04;4
20230300037566;01;04;3
20230300037567;01;04;3
20230300037568;01;04;3
20230300039183;01;01;60
20240100001824;01;09;6
20240100001880;01;09;1
20240100004270;01;12;1
20240100004314;01;16;2
20240100004669;01;13;6
20240100005197;01;02;25
20240100006732;01;16;3
20240100006732;02;13;2
20240100006948;01;07;3
20240100007049;01;10;25
20240100007050;01;10;5
20240100007051;01;14;2
20240100007058;01;14;7
20240100007113;01;14;15
20240100007116;01;14;2
20240100007126;01;14;3
20240100007868;01;09;13
20240100007904;01;09;14
20240100008664;01;09;7
20240100009009;01;16;4
20240100009684;01;01;7
20240100009692;01;01;12
20240100010545;01;10;15
20240100011306;01;10;6
20240100011307;01;10;6
20240100011308;01;10;10
20240100011308;02;01;4
20240100011311;01;10;30
20240100011311;02;13;2
20240100011312;01;13;12
20240100011312;02;10;2
20240100011313;01;10;21
20240100011314;01;10;14
20240100011315;01;13;21
20240100011582;01;10;4
20240100011583;01;10;3
20240100011584;01;10;18
20240100011658;01;10;11
20240100011750;01;13;1
20240100012058;01;09;4
20240100012504;01;10;3
20240100012592;01;10;2
20240100013972;01;15;6
20240100014001;01;16;2
20240100014015;01;16;1
20240100015897;01;13;60
20240100020737;01;09;2
20240100020737;02;09;2
20240100020737;03;14;1
20240100020737;04;01;1
20240100020758;01;09;7
20240100020758;02;01;7
20240100020758;03;01;7
20240100020758;04;01;4
20240100020758;05;01;2
20240100020758;06;01;4
20240100020773;01;02;1
20240100021628;01;09;5
20240100021839;01;09;2
20240100021839;02;01;1
20240100021839;03;13;2
20240100022078;01;16;1
20240100024853;01;16;2
20240100024864;01;10;3
20240100024905;01;01;4
20240100024908;01;09;4
20240100024908;02;10;1
20240100024908;03;01;25
20240100024910;01;01;30
20240100024910;02;01;30
20240100024990;01;02;1
20240100024990;02;09;4
20240100024990;03;02;2
20240100026123;01;01;1
20240100026127;01;01;1
20240100027204;01;10;3
20240100027204;02;01;12
20240100027350;01;09;4
20240100027350;02;13;3
20240100027601;01;10;5
20240100027603;01;10;30
20240100029239;01;12;5
20240100029964;01;09;5
20240100029964;02;01;4
20240100029964;03;13;3
20240100029964;04;16;4
20240100030060;01;09;3
20240100030523;01;09;1
20240100031214;01;10;30
20240100031241;01;01;34
20240100031243;01;14;1
20240100031244;01;01;1
20240100031313;01;10;3
20240100031314;01;10;4
20240100031316;01;10;22
20240100031387;01;10;4
20240100031389;01;14;120
20240100031960;01;01;4
20240100032484;01;09;1
20240100032484;02;09;1
20240100032484;03;10;1
20240100032484;04;14;14
20240100032484;05;14;42
20240200000503;01;09;5
20240200000648;01;10;28
20240200000656;01;07;1
20240200000663;01;07;1
20240200000663;02;16;2
20240200000663;03;16;2
20240200001330;01;01;24
20240200001346;01;01;7
20240200001412;01;16;1
20240200001466;01;12;1
20240200002501;01;16;6
20240200002502;01;12;3
20240200002503;01;13;3
20240200002505;01;05;21
20240200002575;01;09;4
20240200002575;02;13;3
20240200002576;01;13;2
20240200004394;01;13;1
20240200004463;01;05;3
20240200004543;01;14;60
20240200004544;01;10;5
20240200004544;02;10;1
20240200004544;03;10;6
20240200004544;04;14;18
20240200004547;01;10;18
20240200004548;01;03;30
20240200004548;02;13;15
20240200004984;01;04;9
20240200005081;01;09;3
20240200005168;01;09;2
20240200005462;01;08;2
20240200005462;02;13;3
20240200005463;01;09;3
20240200005463;02;13;3
20240200005464;01;13;3
