mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
042025;2;20230400008744;2;3;01;04;3;2;1;1;264.57299024;1440.5139753
042025;2;20230400009361;2;2;09;10;2;1;1;6;646.09562983;1415.5137304
042025;2;20230400009362;2;2;09;10;4;3;3;6;632.86395258;313.93863518
042025;2;20230400009363;2;2;09;10;3;1;1;6;808.69281417;1092.287959
042025;2;20230400009365;2;2;09;10;3;1;1;6;808.69281417;546.14397948
042025;2;20230400013232;2;2;15;13;9;2;2;6;4444.2031432;809.26894549
042025;2;20230400014478;2;2;12;13;4;1;2;6;2252.6574034;232.3943585
042025;2;20230400016485;2;2;09;10;10;3;1;6;957.32471522;697.06380314
042025;2;20230400016486;2;2;09;10;14;3;3;6;1221.1802014;313.93863518
042025;2;20230400016487;2;2;09;10;2;1;1;6;646.09562983;1415.5137304
042025;2;20230400016848;2;2;15;01;7;1;1;6;3883.6000307;744.82966438
042025;2;20230400026502;2;2;09;10;7;3;3;6;1119.5245585;313.93863518
042025;2;20230400028137;2;2;15;13;7;1;2;6;3131.4850438;352.23102625
042025;2;20230400029876;2;2;12;06;35;3;3;6;2823.007618;287.00775692
042025;2;20230400032162;2;2;02;10;3;3;3;6;606.832379;15.069444611
042025;2;20230400032163;2;2;02;10;9;3;3;6;941.20152787;15.069444611
042025;2;20230400032164;2;2;02;10;21;1;3;6;2619.8902005;1.6014899266
042025;2;20230400032165;2;2;02;10;3;3;3;6;542.40305893;30.138889221
042025;2;20230400032166;2;2;02;10;7;3;3;6;847.33015518;15.069444611
042025;2;20230400032167;2;2;02;10;4;1;1;6;753.1849134;32.607680167
042025;2;20230400032168;2;2;02;10;3;3;3;6;579.4260879;15.069444611
042025;2;20230400040571;2;2;02;04;3;1;2;1;842.84458331;38.798524487
042025;2;20230400041190;2;3;09;04;7;1;1;1;612.97638543;96.866818253
042025;2;20230500015984;2;2;02;04;7;1;1;6;1177.3118973;64.668295066
042025;2;20230500023070;2;2;02;04;7;1;1;6;1639.1182819;32.334147533
042025;2;20230500023071;2;2;02;04;5;1;1;6;1582.4357719;50.563032737
042025;2;20230500023134;2;2;12;04;7;1;1;6;1629.4858935;42.90788293
042025;2;20230500023135;2;2;02;04;7;1;1;6;1177.3118973;97.002442599
042025;2;20230500023136;2;2;12;04;5;1;1;6;1445.9964927;35.401208966
042025;2;20230500023137;2;2;02;04;5;1;1;6;1582.4357719;50.563032737
042025;2;20230500028312;2;2;02;10;3;3;3;6;573.93497515;15.069444611
042025;2;20230500028314;2;2;02;10;8;3;1;6;838.77672343;33.459928771
042025;2;20230500028315;2;2;02;10;7;3;3;6;839.30016564;30.138889221
042025;2;20230500028316;2;2;02;10;3;3;3;6;574.46984015;30.138889221
042025;2;20230500028355;2;2;02;10;7;3;3;6;603.37746882;45.208333832
042025;2;20230500028363;2;2;02;10;7;3;1;6;821.16074681;56.924352507
042025;2;20230500028365;2;2;02;10;10;1;1;6;1920.937505;28.176956041
042025;2;20230500036168;2;2;02;04;9;2;1;6;2167.2631403;12.83660226
042025;2;20230500036170;2;2;02;04;10;2;1;6;2125.2580158;30.795374509
042025;2;20230500036172;2;2;02;04;7;1;1;6;1639.1182819;32.334147533
042025;2;20230600006319;2;3;13;09;7;1;1;1;663.41565602;389.79337234
042025;2;20230600006323;2;3;14;09;5;1;1;1;489.71552857;398.83922878
042025;2;20230600006324;2;3;13;09;6;1;1;1;338.12691681;542.51523623
042025;2;20230600006329;2;3;14;09;5;1;1;1;409.83154894;398.83922878
042025;2;20230600006331;2;3;13;09;6;1;1;1;574.87868047;1085.0304725
042025;2;20230600006332;2;3;13;09;6;1;1;1;477.16392989;1085.0304725
042025;2;20230600006333;2;3;14;09;5;1;1;1;905.77191022;398.83922878
042025;2;20230600006334;2;3;13;13;5;1;1;1;561.22751061;652.56900964
042025;2;20230600011232;2;3;13;09;4;1;1;1;400.96376043;640.03052034
042025;2;20230600047511;8;2;12;13;3;1;2;6;1904.6986383;349.51689128
042025;2;20240400000659;2;2;12;04;10;1;1;6;1408.542154;377.48734749
