mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
032023;2;20220100003154;2;2;02;10;15;3;3;6;1157.4661251;8.5310903941
032023;2;20220100003155;2;2;02;14;8;3;1;6;1013.2335948;43.874948263
032023;2;20220100003156;2;2;02;14;14;3;1;6;1029.591462;116.57146307
032023;2;20220100003157;2;2;02;14;15;3;1;6;1624.6529803;87.428597302
032023;2;20220100003158;2;2;02;10;17;3;1;6;2528.2987182;34.269987709
032023;2;20220100004118;2;2;15;13;4;3;3;6;2908.4460864;154.98834039
032023;2;20220100010010;2;2;15;13;2;1;1;6;2857.9948368;1107.0751314
032023;2;20220100012643;2;2;15;09;16;2;1;6;2784.2184501;2607.2368475
032023;2;20220100018301;2;2;12;13;50;3;3;6;4198.0528664;143.15763713
032023;2;20220100019491;2;2;15;09;2;1;1;6;2187.2408674;1086.866552
032023;2;20220100027318;2;2;15;08;31;3;3;6;5865.8677723;79.847267468
032023;2;20220100033017;2;2;12;13;3;1;1;6;1614.5898615;291.64117767
032023;2;20220100033894;2;2;15;09;5;1;1;6;1891.7203312;996.94070312
032023;2;20220200000514;2;4;03;09;11;3;1;6;502.46562522;72.325145502
032023;2;20220200000867;2;4;03;09;4;3;1;6;235.34761834;54.443204769
032023;2;20220200000884;2;4;03;09;1;1;2;6;352.01594998;90.384949742
032023;2;20220200000891;2;4;03;09;1;1;3;6;319.60933638;141.10276495
032023;2;20220200001000;2;2;12;02;4;1;2;6;1327.6360854;467.20964919
032023;2;20220200002500;2;4;03;09;4;1;2;6;743.87230455;41.178965805
032023;2;20220200002510;2;4;03;09;3;1;1;6;762.94585153;126.31516934
032023;2;20220200002516;2;4;03;09;4;3;3;6;378.16789116;36.00890431
032023;2;20220200002604;2;2;15;09;30;3;3;6;4110.1601884;474.71307416
032023;2;20220200003597;2;4;03;09;3;1;2;6;621.789278;53.515838009
032023;2;20220200003628;2;4;03;13;18;3;3;6;360.79432557;30.426620656
032023;2;20220200003634;2;4;03;09;5;2;1;6;939.45268457;197.76946723
032023;2;20220200003640;2;4;03;09;1;1;1;6;388.87227287;213.33853036
032023;2;20220200003649;2;4;03;09;14;2;1;6;1391.6108249;111.12777572
032023;2;20220200005038;2;4;03;09;1;3;1;6;197.31940413;54.443204769
032023;2;20220200005046;2;4;03;09;1;1;3;6;239.71603208;70.551382474
032023;2;20220200005053;2;4;03;09;10;3;1;6;751.06760489;54.443204769
032023;2;20220200005066;2;4;03;09;30;3;1;6;1569.0104317;54.443204769
032023;2;20220200005075;2;4;03;09;2;1;3;6;573.00499025;54.287348839
032023;2;20220200005194;2;2;15;09;4;1;1;6;2036.3642392;646.37561294
032023;2;20220200008961;2;4;03;09;5;3;1;6;731.06516928;54.443204769
032023;2;20220200008966;2;4;03;09;4;1;1;6;958.94380559;97.196049474
032023;2;20220200008985;2;4;03;09;3;3;1;6;513.76367754;54.443204769
032023;2;20220200008993;2;4;03;09;5;3;3;6;723.48931337;36.00890431
032023;2;20220200009805;2;4;03;09;1;1;1;6;319.60933638;213.33853036
032023;2;20220200009816;2;4;03;09;7;3;1;6;605.41813112;54.443204769
032023;2;20220200009822;2;4;03;09;5;3;3;6;499.54007051;36.00890431
032023;2;20220200009836;2;4;03;09;4;1;2;6;743.87230455;82.357931611
032023;2;20220200009861;2;4;03;09;7;3;3;6;636.07479639;47.836070418
032023;2;20220200009908;2;2;15;09;3;1;1;6;2466.1356297;1676.3341358
032023;2;20220200009996;2;2;12;09;4;1;1;6;1293.2066473;714.319428
032023;2;20220200010964;2;4;03;09;4;1;1;6;958.94380559;97.196049474
032023;2;20220200011016;2;4;03;09;9;1;2;6;1502.4352349;11.108130142
032023;2;20220200013149;2;4;03;09;1;1;1;6;394.29977371;213.33853036
032023;2;20220200013181;2;4;03;09;4;3;2;6;614.17834759;61.283863071
032023;2;20220200015042;2;4;03;09;5;1;1;6;1133.6423266;74.789687438
032023;2;20220200015056;2;4;03;09;19;3;3;6;988.64683733;72.01780862
032023;2;20220200015078;2;4;03;09;5;2;1;6;891.20641683;222.25555145
032023;2;20220200015091;2;4;03;09;2;3;2;6;326.29113947;46.131810493
032023;2;20220200015099;2;4;03;09;5;1;1;6;770.89671964;74.789687438
032023;2;20220200018387;2;2;02;10;36;3;1;6;2075.6508285;34.269987709
032023;2;20220200018389;2;2;02;01;10;3;1;6;845.90382535;61.694542318
032023;2;20220200018390;2;2;02;10;3;3;3;6;387.9427151;33.999414069
032023;2;20220200018391;2;2;02;14;3;3;1;6;672.96570472;116.57146307
032023;2;20220200018840;2;4;03;09;7;3;1;6;605.41813112;54.443204769
032023;2;20220200018852;2;4;03;09;4;1;1;6;958.94380559;48.598024737
032023;2;20220200018863;2;4;03;09;10;3;3;6;751.06760489;36.00890431
032023;2;20220200018877;2;4;03;09;4;3;1;6;605.33945284;54.443204769
032023;2;20220200018883;2;4;03;09;5;3;3;6;723.48931337;36.00890431
032023;2;20220200018885;2;4;03;09;5;3;1;6;694.78364314;54.443204769
032023;2;20220200019680;2;4;03;09;4;1;1;6;958.94380559;97.196049474
032023;2;20220200019689;2;4;03;09;4;3;1;6;634.36467376;54.443204769
032023;2;20220200019702;2;4;03;09;6;1;1;6;926.71039087;28.774303983
032023;2;20220200020439;2;2;12;09;5;3;1;6;945.42796942;394.12295731
032023;2;20220200020832;2;4;03;09;5;3;1;6;731.06516928;108.88640954
032023;2;20220200020835;2;4;03;09;5;3;1;6;389.63489591;54.443204769
032023;2;20220200020866;2;4;03;09;10;2;1;6;850.3837366;791.0778689
032023;2;20220200020879;2;4;03;09;12;2;1;6;961.92394477;791.0778689
032023;2;20220200020883;2;4;03;09;3;1;2;6;846.12156496;53.515838009
032023;2;20220200022162;2;4;03;09;6;1;1;6;958.89631882;57.548607967
032023;2;20220200022174;2;4;03;09;4;1;1;6;958.94380559;485.98024737
032023;2;20220200022192;2;4;03;09;14;3;3;6;899.51131036;36.008900625
032023;2;20220200022206;2;4;03;09;5;1;1;6;1077.8609017;74.789687438
032023;2;20220200023267;2;4;03;09;4;1;2;6;743.87230455;41.178965805
032023;2;20220200023274;2;4;03;09;5;1;1;6;1077.8609017;74.789687438
032023;2;20220200023294;2;4;03;09;21;3;1;6;302.77291662;54.443204769
032023;2;20220200023316;2;4;03;10;5;3;1;6;485.6401265;82.990093
032023;2;20220200023322;2;4;03;09;6;3;1;6;540.27306989;54.443204769
032023;2;20220200024873;2;2;15;10;17;3;3;6;4829.6644893;83.14125936
032023;2;20220200027070;2;4;03;12;1;1;1;6;260.58949937;164.11945228
032023;2;20220200028819;2;4;03;09;7;3;2;6;439.08518389;46.131810493
032023;2;20220200028841;2;4;03;09;7;3;3;6;605.41813112;36.00890431
032023;2;20220200029822;8;4;03;09;1;1;1;6;308.09612205;533.34632591
032023;2;20220200029825;2;4;03;09;7;3;2;6;599.03498388;46.131810493
032023;2;20220200029839;2;4;03;09;6;2;1;6;798.30456143;395.53893445
032023;2;20220200031200;2;4;03;09;5;3;3;6;389.63489591;72.01780862
032023;2;20220200031234;2;4;03;09;2;1;3;6;431.94143466;162.86204652
032023;2;20220200031242;2;4;03;09;3;2;1;6;485.45641646;791.0778689
032023;2;20220200031249;2;4;03;09;4;1;1;6;936.02866905;97.196049474
032023;2;20220200031649;2;2;12;09;14;3;1;6;1287.7230609;394.12295731
032023;2;20220200032186;2;4;03;09;7;3;2;6;616.58237388;122.56772614
032023;2;20220200032193;2;4;03;09;4;1;1;6;567.62873164;97.196049474
032023;2;20220200032203;2;4;03;09;2;3;2;6;302.99653005;46.131810493
032023;2;20220200032218;2;4;03;09;5;1;1;6;1077.8609017;74.789687438
032023;2;20220200032223;2;4;03;09;4;3;1;6;605.33945284;54.443204769
032023;2;20220200032229;2;4;03;09;2;1;1;6;583.85999193;164.15813288
032023;2;20220200032248;2;4;03;01;14;3;1;6;1019.5947153;37.350732497
032023;2;20220200034086;2;4;03;09;3;1;1;6;557.84076075;315.78792334
032023;2;20220200034109;2;4;03;09;4;1;1;6;958.94380559;97.196049474
032023;2;20220200034120;2;4;03;09;5;3;1;6;225.48445308;54.443204769
032023;2;20220200034128;2;4;03;09;7;1;1;6;794.92964001;88.564142794
032023;2;20220200034132;2;4;03;09;7;3;1;6;587.87074112;54.443204769
032023;2;20220200034138;2;4;03;09;7;2;1;6;675.75432344;988.84733613
032023;2;20220200036034;2;2;12;13;5;1;1;6;2033.2589492;190.80109518
032023;2;20220300000055;2;2;15;09;4;2;1;6;2186.2795731;1465.0211954
032023;2;20220300000465;2;2;08;10;16;3;3;6;859.01155902;8.8270706654
032023;2;20220300000466;2;2;08;10;7;3;3;6;697.28455458;1.9979339881
032023;2;20220300000467;2;2;08;10;3;1;1;6;745.8820585;8.4522602809
032023;2;20220300000468;2;2;08;10;3;3;3;6;483.45857327;2.9423568885
032023;2;20220300000469;2;2;08;10;4;3;3;6;387.1538309;2.9423568885
032023;2;20220300000470;2;2;08;10;3;3;3;6;447.88044518;2.9423568885
032023;2;20220300000471;2;2;08;10;3;3;3;6;467.23939307;5.8847137769
032023;2;20220300000472;2;2;08;10;8;3;3;6;661.64537537;2.9423568885
032023;2;20220300000473;2;2;08;10;10;3;3;6;860.99816853;7.817555597
032023;2;20220300000474;2;2;08;10;3;3;3;6;334.07929397;11.769427554
032023;2;20220300000475;2;2;08;10;15;3;3;6;703.81057959;8.8270706654
032023;2;20220300000476;2;2;08;10;8;3;3;6;661.64537537;5.8847137769
032023;2;20220300001502;2;2;02;04;3;3;3;6;695.42501124;122.61019585
032023;2;20220300003474;2;2;15;10;60;3;3;6;8652.2000739;139.80022154
032023;2;20220300003731;2;2;09;10;7;1;1;6;936.44956102;1343.6289897
032023;2;20220300004574;2;2;08;10;5;3;3;6;643.86451874;2.9423568885
032023;2;20220300004575;2;2;08;10;7;1;1;6;1300.4694233;11.440837589
032023;2;20220300004576;2;2;08;10;6;3;3;6;770.05882108;2.9423568885
032023;2;20220300004577;2;2;08;10;7;3;3;6;605.30119503;5.8847137769
032023;2;20220300004578;2;2;08;10;14;3;3;6;870.83802506;2.9423568885
032023;2;20220300004579;2;2;08;10;7;3;3;6;557.6576802;5.8847137769
032023;2;20220300004581;2;2;08;10;14;3;3;6;860.80068107;5.8847137769
032023;2;20220300004582;2;2;08;10;5;1;1;6;1186.3765313;27.813800479
032023;2;20220300004583;2;2;08;10;30;3;3;6;1521.4834687;2.9423568885
032023;2;20220300004584;2;2;08;10;8;2;1;6;1114.1808586;18.160928952
