A0_1;C9_0;ccaa_etapa;pernoc_etapa
20230700028493;01;14;7
20230700028494;01;14;7
20230700028495;01;14;6
20230700035455;01;14;11
20230700035456;01;14;12
20230700035457;01;14;90
20230700035458;01;14;14
20230800026713;01;14;14
20230800026714;01;14;6
20230800026715;01;14;11
20230800026716;01;01;14
20230800026717;01;14;7
20230800034401;01;14;7
20230800041089;01;14;5
20230800041103;01;10;9
20230800041104;01;10;6
20230800041105;01;14;7
20230800041106;01;14;4
20230800041107;01;14;6
20230800041108;01;10;10
20230800041115;01;14;20
20230800041116;01;01;28
20230800041118;01;10;30
20230800041120;01;14;12
20230800041121;01;10;14
20230900005321;01;10;60
20230900005392;01;09;20
20230900013710;01;14;10
20230900013711;01;14;7
20230900013712;01;10;12
20230900013713;01;14;7
20230900013714;01;14;4
20230900013715;01;14;6
20230900013716;01;14;21
20230900013717;01;14;4
20230900013718;01;14;9
20230900013719;01;10;4
20230900013720;01;14;9
20230900013721;01;14;11
20230900013722;01;14;6
20230900013723;01;14;10
20230900014905;01;09;1
20230900015186;01;07;21
20230900015291;01;04;60
20230900019344;01;13;5
20230900019761;01;14;7
20230900019762;01;14;7
20230900019763;01;14;7
20230900019764;01;14;7
20230900019806;01;10;6
20230900019807;01;01;5
20230900019808;01;14;5
20230900019809;01;14;4
20230900019810;01;14;4
20230900019811;01;14;4
20230900019812;01;10;17
20230900019813;01;10;7
20230900019814;01;14;7
20230900019815;01;14;41
20230900019816;01;14;3
20230900019817;01;14;4
20230900019818;01;01;6
20230900019819;01;14;7
20230900019820;01;14;7
20230900019821;01;14;21
20230900019822;01;14;4
20230900019823;01;14;4
20230900019824;01;14;7
20230900025193;01;09;30
20230900025549;01;12;17
20230900025674;01;13;1
20230900029528;01;09;7
20230900051599;01;09;3
20240700003543;01;09;10
20240700008470;01;09;15
20240700014768;01;09;18
20240700014791;01;09;10
20240700016586;01;09;2
20240700016606;01;01;2
20240700019552;01;09;2
20240700020921;01;15;4
20240700020921;02;13;3
20240700024174;01;10;7
20240700024175;01;10;14
20240700024177;01;10;7
20240700024178;01;10;4
20240700024179;01;10;7
20240700024180;01;10;7
20240700024181;01;10;6
20240700024182;01;10;2
20240700024909;01;07;1
20240700027815;01;09;14
20240700029277;01;09;10
20240700029278;01;09;9
20240700030686;01;09;21
20240700032125;01;07;6
20240700032125;02;07;6
20240700033928;01;09;7
20240700036882;01;09;7
20240700040270;01;09;21
20240700040360;01;01;30
20240700040405;01;01;18
20240700040405;02;01;2
20240700040989;01;09;9
20240700042959;01;09;7
20240700042965;01;09;6
20240700051210;01;09;14
20240800000742;01;04;12
20240800000743;01;04;7
20240800000744;01;04;7
20240800000745;01;04;11
20240800000784;01;04;20
20240800000786;01;04;5
20240800000790;01;04;10
20240800000791;01;04;11
20240800002165;01;10;30
20240800002165;02;13;1
20240800005119;01;09;7
20240800005147;01;15;1
20240800005179;01;09;12
20240800005179;02;13;2
20240800006804;01;07;1
20240800007730;01;04;23
20240800007731;01;04;6
20240800007732;01;04;3
20240800007733;01;04;11
20240800007738;01;04;4
20240800007790;01;04;9
20240800007791;01;04;4
20240800007797;01;04;7
20240800008351;01;01;6
20240800008374;01;01;5
20240800009777;01;16;1
20240800009931;01;01;1
20240800010921;01;09;1
20240800010921;02;13;1
20240800011477;01;15;1
20240800011915;01;12;4
20240800011916;01;12;4
20240800011917;01;12;3
20240800011918;01;12;5
20240800011919;01;12;7
20240800011920;01;12;4
20240800012661;01;04;5
20240800013259;01;13;5
20240800013259;02;01;21
20240800013318;01;01;14
20240800013366;01;02;3
20240800013369;01;02;3
20240800013372;01;09;20
20240800013373;01;02;1
20240800013373;02;02;1
20240800013376;01;07;1
20240800013378;01;02;1
20240800013378;02;02;1
20240800013387;01;02;1
20240800014470;01;13;10
20240800014470;02;09;6
20240800014581;01;13;4
20240800014584;01;09;6
20240800014584;02;13;6
20240800015546;01;12;4
20240800015777;01;01;1
20240800016121;01;13;4
20240800016121;02;01;3
20240800016121;03;01;3
20240800016121;04;09;3
20240800016121;05;04;2
20240800016121;06;10;3
20240800016121;07;12;1
20240800016122;01;12;7
20240800016123;01;09;1
20240800016123;02;12;1
20240800017480;01;16;1
20240800017596;01;09;30
20240800017609;01;09;7
20240800017883;01;13;1
20240800017899;01;01;2
20240800017908;01;01;1
20240800018485;01;12;4
20240800018486;01;12;1
20240800018487;01;09;3
20240800018487;02;12;14
20240800018488;01;13;5
20240800018488;02;10;4
20240800018488;03;01;4
