A0_1;C9_0;ccaa_etapa;pernoc_etapa
20220500000330;01;13;58
20220500000330;02;08;2
20220500005005;01;14;4
20220500005007;01;14;7
20220500009560;01;13;4
20220500024263;01;13;4
20220500026292;01;14;6
20220500026293;01;01;6
20220500026294;01;14;3
20220500026295;01;14;8
20220500026297;01;14;7
20220600000116;01;13;6
20220600000118;01;13;7
20220600009486;01;10;2
20220600009489;01;09;15
20220600009489;02;09;45
20220600024168;01;14;22
20220600024169;01;01;28
20220600024170;01;10;42
20220600024172;01;10;16
20220600024173;01;10;10
20220600028101;01;13;4
20220600036648;01;16;3
20220600037247;01;01;6
20220600044152;01;03;30
20220600044333;01;13;60
20230400013232;01;09;3
20230400013232;02;13;6
20230400014478;01;13;4
20230400016848;01;13;2
20230400016848;02;01;5
20230400028137;01;13;7
20230400029876;01;06;35
20230500025079;01;09;8
20230500027370;01;09;3
20230500028312;01;10;3
20230500028314;01;10;8
20230500028315;01;10;7
20230500028316;01;10;3
20230500028355;01;10;7
20230500028363;01;10;7
20230500028365;01;10;10
20230500028396;01;10;3
20230500032933;01;09;4
20230500034811;01;09;13
20230600006319;01;09;5
20230600006319;02;12;1
20230600006319;03;16;1
20230600006323;01;09;2
20230600006323;02;12;1
20230600006323;03;12;1
20230600006323;04;16;1
20230600006324;01;09;3
20230600006324;02;12;1
20230600006324;03;12;1
20230600006324;04;16;1
20230600006329;01;09;2
20230600006329;02;12;1
20230600006329;03;12;1
20230600006329;04;16;1
20230600006331;01;09;3
20230600006331;02;12;1
20230600006331;03;12;1
20230600006331;04;16;1
20230600006332;01;09;3
20230600006332;02;12;1
20230600006332;03;12;1
20230600006332;04;16;1
20230600006333;01;09;2
20230600006333;02;12;1
20230600006333;03;12;1
20230600006333;04;16;1
20230600006334;01;13;2
20230600006334;02;12;1
20230600006334;03;12;1
20230600006334;04;16;1
20230600007651;01;13;4
20230600010852;01;09;2
20230600011232;01;09;2
20230600011232;02;01;1
20230600011232;03;16;1
20230600012554;01;09;4
20230600012554;02;16;2
20230600013075;01;09;12
20230600013142;01;09;3
20230600013852;01;09;21
20230600022525;01;09;7
20230600026095;01;04;7
20230600026096;01;04;8
20230600026150;01;04;7
20230600026151;01;04;7
20230600026152;01;04;4
20230600026219;01;04;6
20230600026220;01;04;6
20230600026221;01;04;14
20230600031293;01;10;4
20230600031294;01;10;7
20230600031295;01;10;3
20230600031296;01;10;3
20230600031297;01;01;4
20230600031297;02;10;4
20230600031299;01;10;2
20230600031300;01;10;10
20230600034463;01;09;7
20230600034466;01;10;13
20230600034468;01;10;7
20230600034469;01;10;100
20230600043371;01;14;13
20230600043372;01;14;11
20230600043373;01;14;4
20230600043374;01;14;5
20230600043375;01;14;7
20230600043376;01;14;5
20230600043377;01;14;4
20230600043378;01;14;5
20230600043379;01;14;5
20230600043380;01;14;11
20230600043381;01;14;3
20230600043382;01;14;10
20230600043383;01;14;8
20230600043384;01;14;7
20230600043385;01;14;14
20230600043386;01;14;4
20230600043387;01;14;10
20230600043388;01;14;14
20230600043389;01;10;3
20230600043390;01;01;5
20230600043617;01;09;1
20230600043617;02;02;1
20230600047140;01;14;29
20230600047141;01;14;54
20230600047142;01;14;18
20230600047143;01;14;14
20230600047144;01;14;10
20230600047145;01;14;100
20230600047146;01;14;3
20230600047147;01;14;10
20230600047148;01;14;8
20230600047149;01;14;9
20230600047150;01;14;49
20230600047151;01;14;77
20230600047152;01;14;28
20230600047153;01;14;4
20230600047154;01;14;7
20230600047155;01;01;21
20230600047156;01;14;15
20230600047353;01;09;2
20230600047511;01;13;3
20230600048472;01;09;4
20230600048655;01;04;6
20230600048656;01;04;7
20230600048700;01;04;6
20230600048702;01;04;7
20230600048703;01;04;7
20230600048769;01;04;7
20230600048770;01;04;7
20240400001275;01;13;2
20240400001275;02;16;1
20240400001275;03;09;3
20240400001347;01;09;3
20240400001683;01;09;3
20240400002350;01;12;2
20240400003159;01;09;5
20240400004751;01;02;16
20240400004751;02;15;2
20240400005284;01;09;3
20240400005368;01;09;3
20240400005384;01;09;3
20240400005898;01;10;5
20240400005899;01;10;1
20240400005899;02;10;14
20240400005901;01;10;7
20240400005971;01;10;6
20240400005972;01;10;7
20240400005974;01;10;10
20240400008592;01;10;3
20240400013796;01;13;10
20240400015555;01;13;7
20240400016392;01;13;2
20240400016392;02;07;1
20240400016392;03;16;1
20240400016392;04;16;1
20240400016394;01;10;21
20240400017468;01;12;10
20240400017575;01;12;1
20240400017844;01;09;4
20240400017852;01;09;4
20240400021753;01;13;2
20240400026915;01;09;2
20240400026915;02;09;1
20240400026963;01;13;2
20240400026963;02;09;1
20240400027096;01;07;1
20240400030284;01;10;3
20240400030289;01;10;5
20240400031971;01;09;3
20240400033623;01;09;1
20240400033828;01;04;9
20240400033831;01;04;7
20240400033832;01;04;7
20240400033833;01;04;2
20240400033833;02;04;2
20240400033887;01;04;6
20240400033888;01;04;4
20240400033890;01;04;7
20240400033891;01;04;7
20240400034283;01;09;5
20240400035489;01;13;2
20240400035489;02;09;2
20240400035489;03;02;1
20240400035489;04;10;2
20240400035489;05;01;1
20240400037245;01;12;4
20240400037247;01;12;3
20240400037742;01;09;2
20240400037744;01;09;2
20240500000461;01;09;5
20240500000464;01;09;10
20240500000465;01;09;4
20240500000465;02;01;15
20240500000487;01;09;3
20240500000528;01;13;1
20240500000528;02;09;7
20240500000534;01;09;3
20240500000535;01;09;3
20240500000536;01;09;5
20240500000537;01;09;4
20240500000537;02;10;3
20240500001131;01;01;24
20240500001131;02;07;1
20240500002246;01;04;4
20240500003345;01;13;1
20240500003985;01;09;14
20240500004119;01;16;1
20240500004149;01;16;1
20240500004149;02;16;1
20240500004149;03;07;1
20240500004161;01;16;1
20240500004164;01;07;1
20240500004181;01;16;1
20240500004189;01;15;3
20240500004592;01;09;4
20240500005519;01;03;1
20240500005519;02;12;2
20240500005519;03;16;2
20240500005519;04;07;1
20240500005526;01;09;4
20240500006024;01;04;7
20240500006086;01;04;7
20240500006089;01;04;7
20240500006541;01;07;1
20240500006541;02;16;1
20240500006542;01;07;1
20240500006548;01;13;1
20240500006609;01;12;1
20240500006609;02;12;1
20240500006866;01;16;1
20240500007089;01;10;14
20240500007090;01;10;5
20240500007090;02;10;1
20240500007090;03;10;1
20240500007091;01;10;10
20240500007092;01;10;10
20240500007093;01;10;4
20240500007094;01;10;3
20240500007096;01;10;6
20240500007098;01;10;7
20240500007100;01;10;10
20240500007101;01;10;7
20240500007103;01;10;2
20240500007103;02;09;5
20240500007103;03;10;2
20240500007104;01;10;7
20240500007263;01;02;1
20240500007263;02;09;1
20240500007263;03;09;2
20240500007267;01;09;2
20240500007267;02;09;3
20240500007267;03;02;2
20240500007630;01;04;2
20240500007630;02;04;4
20240500007630;03;04;2
20240500007970;01;09;1
20240500008026;01;01;1
20240500008026;02;16;1
20240500008030;01;16;1
20240500008041;01;16;2
20240500008041;02;16;2
20240500008084;01;09;7
20240500008084;02;10;3
20240500008084;03;10;7
20240500008084;04;01;7
20240500008114;01;11;1
20240500008114;02;01;1
20240500008114;03;01;1
20240500008128;01;01;5
20240500008128;02;01;2
20240500008134;01;01;1
20240500008144;01;01;5
20240500008144;02;01;12
20240500008144;03;01;4
20240500008375;01;10;3
20240500008376;01;10;5
20240500008377;01;10;6
20240500008416;01;14;7
20240500008417;01;10;6
20240500008418;01;10;3
20240500008659;01;13;3
20240500008659;02;12;1
20240500008659;03;12;1
20240500008737;01;12;14
20240500009752;01;10;7
20240500009753;01;10;6
20240500009816;01;10;7
20240500009817;01;10;3
20240500009818;01;10;10
20240500009986;01;15;2
20240500009986;02;16;2
20240500009986;03;16;2
20240500010095;01;04;7
20240500010096;01;04;6
20240500010097;01;04;4
20240500010261;01;09;7
20240500010343;01;10;8
20240500010343;02;13;2
20240500010344;01;13;3
20240500010344;02;01;3
20240500010472;01;13;1
20240500010482;01;13;3
20240500010534;01;07;3
20240500010537;01;07;3
20240500010827;01;07;1
20240500010843;01;16;1
20240500011062;01;10;30
20240500011063;01;10;2
20240500011064;01;10;7
20240500011065;01;10;6
20240500011066;01;10;7
20240500011089;01;10;4
20240500011090;01;10;3
20240500011091;01;10;1
20240500011114;01;10;4
20240500011116;01;10;4
20240500011118;01;04;8
20240500011118;02;10;1
20240500011138;01;10;2
20240500011146;01;10;7
20240500011147;01;14;4
20240500011150;01;10;10
20240500011888;01;10;3
20240500011912;01;10;3
20240500012247;01;13;2
20240500012249;01;13;1
20240500012250;01;13;5
20240500012253;01;13;1
20240500012254;01;13;2
20240500012352;01;13;3
20240500012358;01;13;4
20240500012359;01;13;3
20240500012360;01;02;8
20240500012363;01;13;2
20240500012364;01;13;2
20240500012454;01;09;1
20240500012688;01;04;5
20240500012849;01;04;7
20240500013460;01;13;3
20240500013535;01;05;6
20240500013542;01;13;3
20240500013542;02;01;2
20240500013542;03;01;2
20240500013543;01;13;3
20240500013720;01;01;13
20240500013722;01;10;1
20240500013722;02;01;1
20240500013722;03;01;1
20240500013722;04;01;1
20240500013723;01;01;7
20240500013727;01;01;2
20240500013768;01;10;7
20240500013768;02;01;7
20240500013768;03;01;7
20240500013770;01;01;4
20240500013770;02;01;4
20240500013770;03;09;1
20240500013773;01;09;3
20240500013773;02;01;3
20240500013773;03;01;4
20240500013773;04;01;2
20240500013773;05;01;1
20240500013775;01;01;7
20240500013775;02;01;5
20240500013775;03;13;2
20240500013776;01;01;3
20240500013776;02;01;2
20240500013776;03;14;10
20240500013780;01;09;1
20240500013780;02;09;2
20240500013783;01;01;2
20240500013783;02;01;2
20240500013783;03;14;2
20240500013783;04;10;14
20240500014171;01;04;2
20240500014336;01;16;2
20240500014376;01;15;1
20240500014376;02;02;1
20240500014376;03;02;1
20240500014376;04;09;1
20240500014376;05;10;1
20240500014376;06;16;1
20240500014610;01;11;1
20240500015734;01;02;1
20240500017241;01;09;3
20240500017241;02;13;2
20240500017876;01;16;5
20240500017914;01;07;1
20240500017920;01;07;1
20240500017920;02;16;1
20240500018172;01;10;3
20240500018214;01;10;6
20240500018555;01;04;5
20240500018556;01;04;7
20240500019232;01;07;1
20240500019250;01;07;1
20240500019316;01;10;4
20240500019316;02;09;2
20240500019471;01;01;20
20240500019477;01;10;26
20240500019477;02;01;17
20240500019477;03;01;17
20240500019485;01;02;1
20240500019485;02;10;2
20240500019485;03;02;1
20240500019485;04;10;2
20240500019485;05;01;2
20240500019485;06;01;1
20240500019485;07;01;1
20240500019485;08;01;1
20240500019489;01;05;21
20240500019500;01;09;5
20240500019500;02;10;5
20240500019500;03;10;5
20240500019500;04;01;3
20240500019500;05;01;2
20240500019513;01;01;10
20240500019513;02;10;18
20240500019513;03;01;22
20240500019521;01;09;5
20240500019524;01;01;3
20240500020008;01;09;2
20240500020286;01;09;3
20240500020286;02;13;4
20240500020397;01;13;5
20240500020592;01;04;7
20240500021101;01;10;4
20240500021129;01;10;2
20240500021130;01;10;5
20240500021291;01;10;3
20240500021292;01;10;3
20240500021293;01;10;3
20240500021294;01;10;3
20240500021295;01;10;3
20240500021296;01;10;3
20240500021297;01;10;3
20240500021298;01;10;3
20240500021299;01;10;4
20240500021300;01;10;3
20240500021301;01;10;3
20240500021303;01;10;3
20240500021304;01;10;4
20240500021305;01;10;4
20240500021306;01;10;2
20240500021514;01;10;10
20240500021562;01;16;1
20240500021593;01;10;42
20240500021767;01;07;1
20240500021819;01;10;4
